range,In_rate_Apple,De_rate_Apple,In_rate_Amazon,De_rate_Amazon,In_rate_Tesla,De_rate_Tesla,In_rate_Google,De_rate_Google,In_rate_Microsoft,De_rate_Microsoft,In_rate_Facebook,De_rate_Facebook,In_rate_Intel,De_rate_Intel,In_rate_Sony,De_rate_Sony,In_rate_IBM,De_rate_IBM,In_rate_HP,De_rate_HP,In_rate_Acer,De_rate_Acer
0.2,3.37,5.2,5.48,7.42,8.72,13.34,7.85,7.56,5.46,6.02,8.48,13.88,8.7,9.06,9.83,10.13,3.28,6.34,20,26.67,44.44,36.84
0.25,3.78,5.49,5.83,7.58,9.33,15.07,8.21,7.56,5.65,7.02,9.07,14.82,9.03,9.67,10.68,11.01,3.28,6.83,24,26.67,44.44,36.84
0.3,4.32,5.64,6.67,8.21,10.7,15.7,8.76,8.14,6.43,7.52,9.27,16,10.03,9.97,11.11,11.89,3.28,7.32,24,26.67,44.44,36.84
0.35,4.72,5.78,7.62,8.85,11.77,16.8,10.22,9.11,7.41,8.77,10.65,19.06,10.7,10.88,13.25,12.78,7.65,9.27,28,30,44.44,36.84
0.4,5.4,6.65,8.33,9.79,13.15,17.74,11.31,10.66,7.99,10.28,10.85,19.29,12.04,12.69,14.1,13.66,9.84,9.27,28,30,44.44,36.84
0.45,6.48,7.37,9.17,10.43,15.14,19,11.68,11.63,8.19,11.03,12.03,20,13.71,14.2,15.81,14.54,11.48,10.24,28,30,44.44,52.63
0.5,7.29,8.24,10,11.22,16.82,20.25,11.86,12.6,9.16,12.78,13.21,21.18,15.38,16.31,17.09,15.86,12.02,11.71,28,33.33,50,52.63
0.55,8.37,9.97,10.95,12.16,17.74,21.82,13.87,14.53,9.75,14.79,14.6,22.12,16.39,17.22,18.8,17.18,13.66,12.68,28,36.67,50,52.63
0.6,9.04,10.55,12.74,13.9,19.72,23.55,14.78,15.7,11.5,16.04,15.78,23.76,19.73,17.82,23.5,20.26,14.75,14.15,44,36.67,50,52.63
0.65,11.34,11.99,14.76,15.8,21.56,25.9,16.97,18.22,13.26,18.55,17.75,25.88,21.74,20.85,25.64,22.47,16.39,14.15,44,36.67,50,52.63
0.7,13.5,13.15,16.9,17.69,24.46,28.89,18.98,19.96,15.4,20.55,20.71,27.06,23.41,23.87,28.21,25.11,19.13,16.59,48,36.67,55.56,52.63
0.75,14.71,15.61,18.93,19.43,27.06,31.24,22.45,25.78,18.13,22.81,23.47,30.59,26.76,27.19,29.91,27.75,22.4,20,56,36.67,55.56,52.63
0.8,17.54,19.36,23.69,23.85,31.8,35.64,25.55,30.04,21.25,25.56,26.63,34.35,31.77,31.42,31.62,30.4,25.68,22.44,60,36.67,55.56,63.16
0.85,22.4,24.71,30.12,30.02,40.83,41.13,31.39,35.66,28.07,31.33,31.95,40.71,35.45,35.95,38.46,37.44,28.96,31.71,68,43.33,61.11,73.68
0.9,31.44,31.65,38.69,40.44,52.6,52.28,41.06,46.51,37.43,42.36,43.98,49.41,44.15,42.9,49.15,48.46,37.7,40.98,76,46.67,61.11,78.95
0.95,51.96,49.71,57.14,61.61,72.17,68.76,60.4,63.95,57.12,58.15,60.95,63.76,63.88,61.03,67.95,67.4,55.74,59.51,84,63.33,72.22,89.47
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Apple,Amazon,Tesla,Google,Microsoft,Facebook,Intel,Sony,IBM,HP,Acer,,,,,,,,,,,
Increase,51.96,57.14,72.17,60.4,57.12,60.95,63.88,67.95,55.74,84,72.22,,,,,,,,,,,
Decrease,49.71,61.61,68.76,63.95,58.15,63.76,61.03,67.4,59.51,63.33,89.47,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Apple,Amazon,Tesla,Google,Microsoft,Facebook,Intel,Sony,IBM,HP,Acer,,,,,,,,,,,
Increase,7.29,10,16.82,11.86,9.16,13.21,15.38,17.09,12.02,28,50,,,,,,,,,,,
Decrease,8.24,11.22,20.25,12.6,12.78,21.18,16.31,15.86,11.71,33.33,52.63,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Apple,Amazon,Tesla,Google,Microsoft,Facebook,Intel,Sony,IBM,HP,Acer,,,,,,,,,,,
Increase,3.37,5.48,8.72,7.85,5.46,8.48,8.7,9.83,3.28,20,44.44,,,,,,,,,,,
Decrease,5.2,7.42,13.34,7.56,6.02,13.88,9.06,10.13,6.34,26.67,36.84,,,,,,,,,,,
