,Date,changed,title,details,news_score,news_result,average
0,2018-10-29,-1.01,Acer files U.S. marketing application for Edsivo for connective tissue disorder,"
Acer Therapeutics (NASDAQ:ACER) has filed a New Drug Application (NDA) with the FDA seeking approval for EDSIVO (celiprolol) for the treatment of vascular Ehlers-Danlos syndrome (vEDS), a connective tissue disorder caused by defects in a gene that encodes collagen. The company has requested Priority Review status.Celiprolol, a medication developed to treat high blood pressure, is believed to benefit vEDS patients by promoting normal collagen synthesis in the blood vessels and by shifting the pressure load away from vessels at highest risk of rupture.Previously: Acer plans U.S. marketing application for Edsivo for rare connective tissue disorder; shares ahead 10% (Sept. 25, 2017) ",0.935,positive,0.47904210526315794
1,2018-07-31,-1.5,Acer launches equity offering,"
Acer Therapeutics (NASDAQ:ACER) initiates a public offering of common stock. Price, volume and terms have yet to ge announced. ",0.4193,positive,0.47904210526315794
2,2017-12-28,-0.301,Acer Therapeutics announces partial exercise of over-allotment option in public offering,"
 Acer Therapeutics (NASDAQ:ACER) announces that the underwriters of its previous public offering of common stock have partially exercised their over-allotment option by purchasing an additional 130,000 shares at a price of $12 per share, resulting in additional gross proceeds of $1.56M.The total number of shares sold increased to 1,046,667 shares, after��giving effect to the partial exercise��and the total gross proceeds increased to $12.56M. Net proceeds will be used to fund its R&D efforts, for development and commercialization of EDSIVO, for working capital and general corporate purposes.Yesterday's close was $14.08.  ",0.7607,positive,0.47904210526315794
3,2017-12-12,-2.16,"Acer prices equity offering, shares down 12% premarket","
Acer Therapeutics (NASDAQ:ACER) prices its public offering of 916,667 shares of common stock at $12 per share. Underwriters over-allotment is an additional 137.5K shares. Closing date is December 14.Shares are down��12%��premarket on light volume.Yesterday's close was $14.15. ",0.826,positive,0.47904210526315794
4,2017-12-11,-0.42,Acer Therapeutics readies equity offering,"
Acer Therapeutics (NASDAQ:ACER) commences a public offering of common stock. Price, volume and terms have yet to be released. ",0.4227,positive,0.47904210526315794
5,2017-05-12,-0.20199999999999999,Opexa Therapeutics beats by $0.01,"
Opexa Therapeutics (OPXA): Q1 EPS of -$0.12 beats by $0.01.Cash and equivalents of $2.82MPress Release ",0.1074,positive,0.47904210526315794
6,2016-11-14,-0.196,"Opexa Therapeutics misses by $0.03,  revenue in-line","
Opexa Therapeutics (OPXA): Q3 EPS of -$0.28 misses by $0.03.Revenue of $0.72M in-line (flat Y/Y).Press Release ",-0.1425,negative,0.47904210526315794
7,2016-10-28,-24.335,Opexa's Tcelna flunks mid-stage MS study; shares crater 68% premarket,"
Thinly traded nano cap Opexa Therapeutics (OPXA) plummets��68%��premarket on robust volume in response to its announcement that a Phase 2b study, Abili-T, assessing Tcelna (imilecleucel-T) in patients with secondary progressive multiple sclerosis failed to meet the primary endpoint of a reduction in brain volume change (atrophy) nor the secondary endpoint of reduction in the rate of sustained disease progression. On the plus side, Tcelna was safe and well-tolerated.The company will continue its analysis of the data and will consider cash preservation options.Tcelna is a personalized T-cell immunotherapy that is specifically tailored to each patient's immune response profile to myelin, a white fatty substance that insulates nerve cells. Multiple sclerosis is characterized by damage to this insulation, called the myelin sheath. ",0.8406,positive,0.47904210526315794
8,2016-09-14,-9.009,Opexa longs head for the exits ahead of Roche data presentation for MS candidate ocrelizumab; shares down 22%,"
Thinly traded nano cap Opexa Therapeutics (OPXA -22.2%) slumps on more than an 8x surge in volume, albeit on turnover of only 406K shares, as investors reportedly hit the sell button over concerns that Roche's (OTCQX:RHHBY) multiple sclerosis (MS) candidate OCREVUS (ocrelizumab) will hit the U.S. market before Tcelna. If, indeed, this is the reason for the exodus, investors must have been asleep for some time. The FDA's action date (PDUFA) for the BLA is December 28, announced in June. Opexa has not filed its marketing application yet. Top-line data from a Phase 2b study, Abili-T, are expected in Q4.An upcoming data presentation may be the real reason for the bearish activity. On October 10, results from Roche's Phase 3 study, ORATORIO, will be presented at the 31st Congress of the European Committee for Treatment and Research in Multiple Sclerosis in Barcelona. The study involved patients with primary progressive MS. The study met its primary endpoint, a statistically valid reduction in the progression of clinical disability compared to placebo.The primary endpoint of Opexa's Abili-T is the percent change in brain volume at Month 24 measured by MRI. The indication is secondary progressive MS. If Roche's ocrelizumab is approved for primary progressive MS, it will be used to treat secondary progressive MS so Abili-T's top-line data need to be impressive. ",0.9725,positive,0.47904210526315794
9,2016-05-12,-2.3819999999999997,"Opexa Therapeutics beats by $0.04, beats on revenue","

Opexa Therapeutics (OPXA): Q1 EPS of -$0.31 beats by $0.04.
Revenue of $0.73M (+92.1% Y/Y) beats by $0.33M.
 ",0.0175,positive,0.47904210526315794
