,Date,changed,title,details,news_score,news_result,average
0,2018-12-26,1.87,FDA accepts Acer Therapeutics' NDA and priority review for EDSIVO for the treatment of vEDS,"
 Acer Therapeutics (NASDAQ:ACER) announces that the FDA has accepted for review Acer���s NDA for EDSIVO for the treatment of vascular Ehlers-Danlos syndrome (vEDS) in patients with a confirmed type III collagen (COL3A1) mutation.The FDA also granted a priority review of the NDA and assigned a PDUFA target action date of June 25, 2019.Priority Review shortens the review clock to six months from the standard 10 months.  ",0.9669,positive,0.4233555555555555
1,2018-08-17,2.7,Premarket analyst action - healthcare,"
Retrophin (NASDAQ:RTRX) initiated with Buy rating and $36 (33% upside) price target at Canaccord Genuity citing future catalysts such as proof-of-concept data on CNSA-001 in PKU in early 2019 and Phase 3 data on fosmetpantotenate in PKAN in H2 2019.Dar矇 Bioscience (NASDAQ:DARE) initiated with Buy rating at Maxim Group.Ligand Pharmaceuticals (NASDAQ:LGND) initiated with Neutral rating and $256 (8% upside) price target at Goldman Sachs.Esperion Therapeutics (NASDAQ:ESPR) upgraded to Buy at Citigroup. Shares up��3%��premarket.Acer Therapeutics (NASDAQ:ACER) upgraded to Strong Buy with a $46 (77% upside) price target at Raymond James. Shares up��10%��premarket.ATyr Pharma (NASDAQ:LIFE) upgraded to Neutral at Citigroup.Amicus Therapeutics (NASDAQ:FOLD) downgraded to Neutral with a $15 (11% upside) price target at Chardan Capital Markets citing diminished prospects for Galafold over the next six months. Shares down��3%��premarket. ",0.9659,positive,0.4233555555555555
2,2018-08-13,1.11,Acer Therapeutics misses by $0.09,"
Acer Therapeutics (NASDAQ:ACER): Q2 EPS of -$0.64 misses by $0.09.Cash and cash equivalents of $8.3MPress Release ",-0.1598,negative,0.4233555555555555
3,2018-08-13,1.11,Acer on track for Q4 NDA for Edviso for vEDS,"
Acer Therapeutics (NASDAQ:ACER) Q2 results ($M): Operating expenses: 4.9 (+157.9%); net loss: (4.8) (-54.8%).Cash and equivalents: 8.3 (-46.8%). Net proceeds of $42.5M from recent stock offering should be sufficient to fund operations into H1 2020.U.S. marketing application for EDSIVO in vascular Ehlers-Danlos syndrome (vEDS) on tap for Q4. Will request priority review. ",0.6582,positive,0.4233555555555555
4,2018-05-14,0.05,Acer Therapeutics on track for Edsivo NDA in June/July,"
Acer Therapeutics (NASDAQ:ACER) announces that it expects to submit its U.S. marketing application by the end of H1 seeking approval for EDSIVO (celiprolol) for the treatment of vascular Ehlers-Danlos syndrome��(vEDS), a rare inherited disorder of collagen production characterized by translucent skin, easy bruising and fragile arteries, muscles and internal organs.Celiprolol, a medication developed to treat high blood pressure, is believed to benefit vEDS patients by promoting normal collagen synthesis in the blood vessels and by shifting the pressure load away from vessels at highest risk of rupture. ",0.9135,positive,0.4233555555555555
5,2018-05-14,0.05,Acer Therapeutics EPS of -$0.11,"
 Acer Therapeutics (NASDAQ:ACER): Q1 EPS of -$0.11 may not be comparable to consensus of -$0.69. Cash, cash equivalents and securities available-for-sale of $22.1M Press Release  ",0.4935,positive,0.4233555555555555
6,2018-02-16,0.46,Premarket analyst action - healthcare,"
Acer Therapeutics (NASDAQ:ACER) initiated with Outperform rating with a $47 (178% upside) price target at William Blair. Shares are up��16%��premarket on light volume.Aerie Pharmaceuticals (NASDAQ:AERI) resumed with Buy rating and $78 (45% upside) at H.C. Wainwright.Calithera Biosciences (NASDAQ:CALA) upgraded to Buy with a $14 (101% upside) price target at Citigroup. Shares up��12%��premarket on light volume.Acorda Therapeutics (NASDAQ:ACOR) upgraded to Overweight with an $37 (47% upside) price target at Piper Jaffray. Shares are up��3%��premarket albeit on only 10 shares.Pacira Pharmaceuticals (NASDAQ:PCRX) downgraded to Hold at Needham after negative split Ad Com vote on EXPAREL. Shares down��18%��premarket on increased volume.Bio-Rad Laboratories (NYSE:BIO) downgraded to Neutral at CL King.Biogen (NASDAQ:BIIB) downgraded to Hold at Argus Research. ",0.9374,positive,0.4233555555555555
7,2017-12-20,0.44,Premarket analyst action - healthcare,"
Moleculin Biotech (NASDAQ:MBRX) initiated with Buy rating and $8 (373% upside) price target by Roth Capital. Shares up��7%��premarket on light volume.Audentes Therapeutics (NASDAQ:BOLD) initiated with Buy rating and $37 (18% upside) price target by H.C. Wainwright.Acer Therapeutics (NASDAQ:ACER) initiated with Buy rating and $50 (317% upside) price target by H.C. Wainwright.Voyager Therapeutics (NASDAQ:VYGR) initiated with Buy rating and $32 (129% upside) price target by BTIG Research.G1 Therapeutics (NASDAQ:GTHX) initiated with Buy rating and $38 (97% upside) price target by BTIG Research.BioCryst Pharmaceuticals (NASDAQ:BCRX) initiated with Equal Weight rating and $6 (20% upside) price target by Barclays.Biogen (NASDAQ:BIIB) upgraded to Outperform by Credit Suisse.Quorum Health (NYSE:QHC) upgraded to Equal Weight by Morgan Stanley.Zimmer Biomet Holdings (NYSE:ZBH) upgraded to Neutral by Goldman Sachs.Varex Imaging (NASDAQ:VREX) upgraded to Neutral by JPMorgan.HCA Healthcare (NYSE:HCA) and Tenet Healthcare (NYSE:THC) downgraded to Underweight by Morgan Stanley citing exposure to CVS Health and UnitedHealth after recent vertical integration deals. Both down��1%��premarket on light volume.Genomic Health (NASDAQ:GHDX) downgraded to Market Perform by William Blair.Gilead Sciences (NASDAQ:GILD) downgraded to Neutral by Credit Suisse. Shares down��1%��premarket on modest volume.Aetna (NYSE:AET) downgraded to Equal Weight by Morgan Stanley. ",0.981,positive,0.4233555555555555
8,2017-11-13,0.377,Acer Therapeutics beats by $0.15,"
Acer Therapeutics (NASDAQ:ACER): Q3 EPS of -$1.09 beats by $0.15.Cash of $8.4M.Press Release ",0.088,positive,0.4233555555555555
9,2016-08-11,0.414,"Opexa Therapeutics misses by $0.07,  revenue in-line","
Opexa Therapeutics (OPXA): Q2 EPS of -$0.30 misses by $0.07.Revenue of $0.73M in-line (flat Y/Y).Press Release ",-0.1425,negative,0.4233555555555555
