,Date,changed,title,details,news_score,news_result,average
0,2018-12-27,-9.26,Jefferies says Amazon's Solimo label decelerating,"
Jefferies says Amazon's (NASDAQ:AMZN) Solimo-branded private label products shows decelerating growth with the number of SKUs increasing 3% this month, a smaller gain than between prior months.The data came from the firm's monthly web scrape of Amazon's private label products. Solimo includes a wide range of items including plastic cups, vitamins, and other goods commonly found in retail drugstores.But the firm notes the deceleration could simply mean that Amazon has already penetrated the non-prescription drug side of health care products. With this year's PillPack acquisition, Amazon started moving into the prescription side. ",0.9641,positive,0.8000334913112165
1,2018-12-24,-33.49,SEC pressures Amazon on Prime revenue (update),"
Amazon (NASDAQ:AMZN) is among the companies the SEC is pressing to disclose more revenue information to investors, according to WSJ sources.The SEC wants Amazon to disclose how much of its revenue comes from Amazon Prime customers. Amazon argues that information isn't meaningful.In a letter to the tech giant, the SEC noted that Amazon publicly announced topping 100M paid Prime members and 5B shipped Prime items last year and should disclose the associated revenue figures.A recent accounting rule change says companies should consider revealing more revenue information if particular sources are mentioned in earnings releases or calls without any associated revenue data.The SEC isn't forcing the issue right now but plans to continue putting pressure on companies in the new year. If companies continue to refuse, the SEC could insist on the revenue information.Amazon shares are down 1.9% premarket to $1,352.Update: Ford (NYSE:F) and Paccar (NASDAQ:PCAR) shares are also down on revenue disclosure pressure from the SEC.The SEC asked Ford last summer about why it reports vehicle revenue together with parts and accessories revenue. Ford said the two were similar enough for disclosure purposes.Paccar was asked in June if it has considered breaking out fleet customer data since it was mentioned in an earnings call and filings. Paccar said it doesn't manage the business on that basis.As of about 10:50 AM ET, Amazon is up 0.8%, Ford is down 3.2%, and Paccar down 0.7%. ",0.9687,positive,0.8000334913112165
2,2018-12-21,-83.38,"Air Transport Services +4%, says Amazon to lease 10 additional aircraft","
Air Transport Services (NASDAQ:ATSG) +4.1% pre-market after announcing deals to lease and operate 10 additional Boeing 767-300 freighters for Amazon.com Services (NASDAQ:AMZN), to extend leases for 20 767 aircraft ATSG currently provides to Amazon, and to extend the operating agreement in which ATSG’s airlines operate those aircraft in the Amazon Air network.In return, AMZN will be granted warrant rights which if exercised would further expand its potential equity stake in ATSG to 33.2%, as well as warrant incentives available for AMZN to increase its potential ownership to 39.9% for leasing up to 17 additional freighter aircraft from ATSG. ",0.9558,positive,0.8000334913112165
3,2018-12-21,-83.38,RBC sees $19B in Alexa revenue,"
RBC Capital's fourth annual Amazon (NASDAQ:AMZN) Alexa survey shows a 31% U.S. penetration for the devices compared to 41% for overall smart speakers.RBC thinks Amazon could see $18B to $19B in Alexa-related revenue by 2021, which would represent about 5% of overall revenue.Rating reaffirmed at Outperform with a $2,300 target.Amazon shares are up 0.4% premarket to $1,466.72. ",0.9085,positive,0.8000334913112165
4,2018-12-20,-34.25,Report: Amazon lowering seller fees,"
Amazon (NASDAQ:AMZN) is lowering its minimum fees for third-party sellers and the percentage it charges for some Marketplace categories, according to an email viewed by Business Insider.The changes will reportedly take effect on February 19 and are an attempt to increase the variety of products.Amazon shares are down 3.2% to $1,447.19.Previously: Amazon struggles in grocery push (Dec. 20) ",0.2513,positive,0.8000334913112165
5,2018-12-20,-34.25,Amazon struggles in grocery push,"
The UBS annual consumer survey shows the number of Amazon (NASDAQ:AMZN) Prime members who shop for groceries at least once a month has dropped Y/Y despite the Whole Foods acquisition and Prime Now expansion.Research firm Brick Meets Click finds that Amazon grocery shoppers spend an average of $74 per month compared to the $200 per month for those using grocery delivery services like Instacart, which pick up from physical retailers.The news could benefit Walmart (NYSE:WMT), Target (NYSE:TGT), and Kroger (NYSE:KR). ",0.9854,positive,0.8000334913112165
6,2018-12-17,-71.0,Tech companies favor central role of Fed in real-time payments: American Banker,"
Big tech companies and some other fintech firms support the Federal Reserve taking a central role in developing a real-time payment system in the U.S., pitting them against the nation's big banks, who oppose the idea, American Banker reports.Amazon (NASDAQ:AMZN), Apple (NASDAQ:AAPL), and Google (NASDAQ:GOOG) are joined by PayPal (NASDAQ:PYPL), Square (NYSE:SQ), Stripe (STRIP), and Intuit (NASDAQ:INTU) in backing a payment system where the U.S. central bank takes a key role in building the system.""Only the Federal Reserve  can serve as the catalyst to achieve real-time payments ubiquity in a timely manner,"" the tech companies said in a letter submitted by a trade group.Big banks, though, already run their own real-time payment system through The Clearing House, a company they co-own. That system, though, hasn't yet been adopted by smaller financial institutions.The big banks say that starting another payment system could slow progress and interoperability between the two rapid payment systems would be a concern.Related tickers: C, BAC, WFC, JPM, GS ",0.9641,positive,0.8000334913112165
7,2018-12-17,-71.0,Aegis names internet M&A potentials for 2019,"
Aegis Capital analyst Victor Anthony thinks several SMID cap Internet names might be acquisition targets if the economy slows next year.Anthony lists the potential targets as Etsy (ETSY -6%), Yelp (YELP -3.7%), Shutterfly (SFLY -5.7%), Groupon (GRPN -3.5%), GrubHub (GRUB -4.1%), Wayfair (W -9.9%), Snap (SNAP -5.2%) and Criteo (CRTO +1.5%). Potential buyers stretch across large cap internet/tech stocks and PE firms.The analyst expects activist investors to push eBay (EBAY -1.2%) for the sale of the Classifieds and StubHub businesses. EBAY could use the cash for repurchases and a ""transformative"" acquisition.Other predictions/suggestions: IAC (IAC -4.1%) spinning off Match Group (MTCH -4.7%) shares and making a ""large"" acquisition and regulators pressuring Amazon (AMZN -4.3%) to split in two, though a forced split likely years away.Source: Bloomberg First Word. ",0.7988,positive,0.8000334913112165
8,2018-12-17,-71.0,JPMorgan sticks with Costco,"
 JPMorgan takes some lumps for riding into Costco's (COST -1.9%) earnings report with a positive view on the retailer. ""We share the pain of the 8% stock pullback, and acknowledge that our core margin estimates were too high,"" says analyst Chritopher Horvers, who is still positive on the name. ""It’s a consumer staples stock with low tariff risk, so it’s defensive into a slowing consumer environment in 2019, writes Horvers. ""And it is difficult to find mid-single-digit-plus longer term topline growth with very low Amazon.com (NASDAQ:AMZN)/brand risk,"" he adds. Shares of Costco are down 8% over the last three weeks, Analyst sentiment still leans to the bullish side (17 Buy-equivalent ratings, 11 Hold-equivalent ratings, 1 Sell-equivalent rating). ",0.8999,positive,0.8000334913112165
9,2018-12-17,-71.0,France moves ahead with tech tax,"
France will impose a new tech tax worth $570M annually starting the first of the year.The country failed to get support for an EU-wide levy and will now move forward alone on the GAFA tax, named for Google (GOOGL +0.1%), Apple (AAPL +1.4%), Facebook (FB), and Amazon (AMZN -1.4%).France is also working with Germany on plans for a 3% tax on EU ad sales that would begin in 2021. ",-0.3854,negative,0.8000334913112165
