,Date,changed,title,details,news_score,news_result,average
0,2018-12-28,16.38,"Yankees in talks with Amazon, Sinclair for Yes Network","
The New York Yankees are in talks with Amazon (NASDAQ:AMZN) and Sinclair Broadcast Group (NASDAQ:SBGI) about a joint bid for the team's regional sports network, Yes, WSJ reports.The baseball team, which owns 20% of Yes, has also been talking to other potential partners including cable and satellite TV provider Altice USA (NYSE:ATUS) and RedBird Capital about buying the remaining 80% stake from Walt Disney (NYSE:DIS).Disney is seeking a valuation of $5B-$6B for Yes Network. ",0.9786,positive,0.8167534523809524
1,2018-12-26,126.94,"India's new rules could hit Amazon, Walmart","
India will ban e-commerce companies from selling products in which they have an equity interest, which could impact Amazon (AMZN +5.9%) and Walmart's (WMT +3.3%) Flipkart.The companies also can't form exclusive agreements with sellers. But they can make bulk purchases through their wholesalers or retail groups and then sell those products to sellers with agreements.The rules, which are meant to appease local retailers, go into effect on February 1. ",0.4177,positive,0.8167534523809524
2,2018-12-26,126.94,Report: Amazon advised U.S. government on portal,"
Amazon (NASDAQ:AMZN) exec Anne Rung privately advised a top U.S. Government Services Authority official Marie Davie on a procurement portal that could be worth billions, reports The Guardian with emails obtained from a Freedom of Information Act request.Rung formerly served in the Obama administration and was credited with transforming federal procurement policies before leaving for Amazon.The talks happened before the legislation that created the portal was signed into law in late 2017.The National Defense Authorization Act moves Defense Department of commercial products to online marketplaces, and the program must ""enable government-wide use of such marketplaces,"" which implies the need for a large-scale platform like Amazon.The emails don't show any illegal activity but put into focus Amazon's close ties to the government, which is a key point in competitor objections to the pending $10B winner-takes-all Pentagon cloud contract. ",0.8249,positive,0.8167534523809524
3,2018-12-26,126.94,Amazon: 'This season was our best yet',"
""Amazon customers made this holiday season record-breaking with more items ordered worldwide than ever before,"" according to a company press release.Consumers purchased millions more Amazon Devices, and tens of millions of people worldwide started Prime free trials or began paid memberships.More than 50% of items sold in Amazon's (NASDAQ:AMZN) stores this holiday season also came from small and medium-sized businesses. ",0.9573,positive,0.8167534523809524
4,2018-12-18,30.57,CNBC: Amazon exec leaves after two-year hiatus,"
Amazon (AMZN +1.1%) senior exec Diego Piacentini leaves the company after taking a two-year hiatus to work with the Italian government, according to CNBC sources.The government project ended in October and Piacentini opted not to return to Amazon, where he had led the international business and served on the ""S-Team"" of insiders close to Jeff Bezos.Piacentini was Amazon's third largest employee shareholder at the time of his hiatus. ",0.4211,positive,0.8167534523809524
5,2018-12-18,30.57,Stocks gain strongly after blue Monday,"
U.S. stock markets start strongly, led by industrial goods (+1.6%), tech (+1.1%), and financial (+1.0%).S&P 500 1.1%, Nasdaq +1.1%, Dow +1.4%.Individual names gaining include Amazon (AMZN +1.8%), Alphabet (GOOG +1.6%), Boeing (BA +4.8%), Bank of America (BAC +2.4%).J&J (JNJ +1%) rebounds as it announces a $5B stock buyback; follows a sharp two-day decline on a Reuters story alleging asbestos was found in the company's baby powder.Oracle (ORCL +3.8%) gains after providing better-than-expected Q3 guidance.Crude falls 3.1% to $48.36; prices drop to a 14-month low.U.S. dollar index falls 0.2% to 96.98.U.S. 10-year Treasury bid up, pushing yield down almost 1 basis point to 2.85%; 2-year Treasury yield also down almost 1 basis point at 2.687%. ",0.8753,positive,0.8167534523809524
6,2018-12-12,20.3,N.J. labor coalition wants code of conduct for Amazon (update),"
A coalition of labor groups wants New Jersey to enforce a ""code of conduct"" for Amazon (NASDAQ:AMZN) warehouse workers that includes minimum wage, stable hours, and union rights.Warehouse Workers Stand Up release a report detailing the dangerous and unstable work conditions at warehouses for Amazon and other major companies including Costco and Macy's. The report says over 40K New Jersey residents work at warehouse distribution centers.The group wants the state to require companies to sign the code before receiving any potential tax breaks and subsidies such as those Amazon will receive for its NYC portion of HQ2.Read the full report here.Previously: Amazon workers in NYC want to unionize (Dec. 12)Update with Amazon's statement to Seeking Alpha: ""Amazon already provides each of the items suggested, including our $15 hourly minimum wage across the US, which in NJ ranges from $15 - $18.15. We also offer industry leading benefits, including comprehensive healthcare from day one, pre- paid education through Career Choice, and up to 20 weeks parental leave. We are proud of our focus on safety, employee engagement, open door communication culture and industry leading benefits. We encourage anyone to compare our compensation, benefits, and workplace to other retailers, and to come take a tour and see for yourself through our public fulfillment center tours.” ",0.9923,positive,0.8167534523809524
7,2018-12-12,20.3,Amazon workers in NYC want to unionize (update),"
Workers at Amazon's (AMZN +2.6%) new Staten Island fulfillment center announce plans to unionize through a partnership with the Retail, Wholesale and Department Store Union.The employees want to address a variety of issues including safety, insufficient breaks, and unreasonable quotas.An Amazon training video recently leaked that encourages fulfillment managers to look for signs of union organizing activities and to express strong personal disagreement with unions to those workers.Amazon recently selected Queens, New York as one of its HQ2 locations. The tech giant will invest $2.5B in the campus over 15 years and receive over $2B in tax breaks.Update with Amazon's statement to Seeking Alpha: “Amazon associates are the heart and soul of our operations, and we respect employees’ right to choose to join or not join a labor union. Amazon maintains an open-door policy that encourages employees to bring their comments, questions, and concerns directly to their management team for discussion and resolution. We firmly believe this direct connection is the most effective way to understand and respond to the needs of our workforce.” ",0.9872,positive,0.8167534523809524
8,2018-12-12,20.3,Amazon partners with Orange; launches Nordics region,"
French telecom Orange partners with Amazon (NASDAQ:AMZN) to combine voice assistants.The partnership means users can request Amazon products and services through Orange's Djingo assistant.Orange wants to ""go further"" and is working with Amazon to integrate Orange's AI, Djingo, and Alexa into ""our respective devices.""Amazon has a similar integration agreement with French telecom Iliad, which has Alexa in its new set-top box.In other Amazon global news, AWS officially opens its first cloud region in the Nordics after first revealing the plan last April.The AWS Europe (Stockholm) Region brings AWS to a total of 60 Availability Zones across 20 global infrastructure regions. ",0.9501,positive,0.8167534523809524
9,2018-12-12,20.3,Bigger footprint with smaller Amazon Go,"
Amazon (NASDAQ:AMZN) is taking its cashier-free shops in a new, smaller direction.Located in one of the company’s Seattle offices, the eighth Amazon Go store is about a quarter of the size of its predecessors, at a mere 450 square feet.Such small stores could help Amazon broaden its bricks-and-mortar footprint and keep ahead of startups which are trying to convince existing retailers to buy their cashierless technology. ",0.8778,positive,0.8167534523809524
