,Date,changed,title,details,news_score,news_result,average
0,2018-12-28,0.079,Citi nearly halves iPhone XS Max outlook,"
Citi cuts its first quarter Apple (AAPL -0.1%) iPhone production estimates from 50M to 45M citing a weak outlook for the iPhone XS Max.Analyst William Yang lowers his Max forecast by 48%. ",-0.3937,negative,0.8521341430499326
1,2018-12-26,10.255999999999998,CIRP: iPhone XR took 32% share in November,"
Apple's (NASDAQ:AAPL) iPhone XR took a 32% share of iPhones in November, according to CIRP data. The share was better than the 30% for the iPhone X in last year's period but lower than the iPhone 8/8 Plus at 39%.CIRP says that 16% of iPhone buyers in the month switched over from Android, up from the 12% switch in 2017.The CIRP study included 165 US customers who purchased an XR in the 30 days after launch.Apple shares are?up 1.9%?to $149.65. ",0.8912,positive,0.8521341430499326
2,2018-12-18,2.113,Qualcomm: Apple still violating Chinese court order,"
Qualcomm (NASDAQ:QCOM) believes Apple (NASDAQ:AAPL) remains in violation of a Chinese court's orders to stop selling older iPhones despite a software update that the tech giant pushed on Monday.""They are legally obligated to immediately cease sales... and prove compliance in court,??said Don Rosenberg, Qualcomm?�s general counsel.The case centers around patents on software features for switching between smartphone apps and resizing pictures before setting them as a wallpaper. ",-0.1788,negative,0.8521341430499326
3,2018-12-13,1.835,Piper trims Apple target on supplier cuts,"
Piper Jaffray cuts its Apple (NASDAQ:AAPL) price target from $250 to $222 saying that recent supplier guidance cuts suggest ""global unit uptake has not met expectations.""Analyst Michael Olson notes that the firm's domestic iPhone user survey hasn't shown unit weakness and the global weakness is largely priced in. Olson expects 2019E EPS will reach $13.45.Piper expects 39% of iPhones sold this year to be the XS and XS Max while 30% will be the XR. ",0.868,positive,0.8521341430499326
4,2018-12-13,1.835,"Qualcomm requests China ban on iPhone XR, XS","
Qualcomm (NASDAQ:QCOM) is asking a Chinese court to ban sales of Apple's (NASDAQ:AAPL) iPhone XS and XR models.The request comes days after a Chinese court awarded a preliminary injunction against the sale of older iPhone models found to violate Qualcomm patents. Apple has appealed the decision, and Qualcomm has complained to the court that iPhones remain on sale. ",0.7211,positive,0.8521341430499326
5,2018-12-13,1.835,ITC will review iPhone ban ruling,"
A U.S. tribunal will review a ruling that said an Apple (NASDAQ:AAPL) iPhone import ban was not in the public interest even if the devices violate Qualcomm (NASDAQ:QCOM) patents.Qualcomm initiated the ITC case in July of last year alleging that iPhones with Intel chips infringed in the way the phones implanted the chips. Qualcomm later dropped half of the patents from the case.In September, an ITC tribunal ruled Apple infringed on one of the three remaining patents. But the judge recommended that the ITC not give Qualcomm the relief it sought, saying it wasn't in the country's best interest.Now the ITC will decide whether that tribunal was correct that the one patent was in violation and that Qualcomm shouldn't have relief.A final ruling is due before February 19.Apple shares are?up 0.8%?premarket to $170.50.QCOM is?up 0.5%?to $58. ",0.9554,positive,0.8521341430499326
6,2018-12-13,1.835,Apple doubles down on U.S. job creation,"
Apple (NASDAQ:AAPL) is investing $1B in a new campus in Austin, Texas, that will have capacity for 15K employees and make it the largest private employer in the city.The company also announced plans to establish new sites in Seattle, San Diego and Culver City and expand in Pittsburgh, New York and Boulder, Colorado.Apple added 6K jobs to its American workforce in 2018 and now employs 90K people in all 50 states. It intends to create 20K U.S. jobs by 2023. ",0.891,positive,0.8521341430499326
7,2018-12-12,0.466,CNBC: Apple employs dozens of docs for health tech,"
Apple (NASDAQ:AAPL) has hired 40 to 50 doctors in recent years who work across teams on health tech, according to CNBC sources.Sources say the hires aren't for show and that many of the doctors haven't disclosed their role at the company.CNBC suggests that the number of doctors involved shows that Apple plans to help customers manage diseases rather than focusing on general wellness and fitness.Last week, Apple enabled the Apple Watch Series 4 features that allow the device to work as an electrocardiograph and early reviews are positive. ",0.9548,positive,0.8521341430499326
8,2018-12-12,0.466,"Apple roundup: Modem plans, Texture launch, target cut","
The Information reports that Apple (AAPL +0.7%) is working on a custom cellular modem citing a job listing and an inside source.But the source says Apple's modem could take up to three years to make its way into an iPhone.Texture:?Bloomberg reports Apple plans to launch its news and magazine subscription service Texture early next year. Apple is courting paywalled newspapers and working on a new display format for magazines that will look more like online content. Bloomberg says the efforts are getting a ""chilly reception"" from media execs.Analyst action: Macquarie cuts its Apple target from $222 to $188 but maintains an Outperform rating. Analyst Benjamin Schachter expects Services growth rate to decelerate in FY19 with slowdown in App Store, Licensing, and Apple Care. ",0.9677,positive,0.8521341430499326
9,2018-12-12,0.466,Qualcomm accuses Apple of ignoring China ban,"
Qualcomm (QCOM +1.4%) says Apple (AAPL +0.6%)?continues to sell iPhones in China despite a recent court order.Qualcomm presented evidence in court of Apple devices being unboxed and sold.The preliminary import and sales ban applied to older iPhones up to the iPhone X model, which were found to violate software-related Qualcomm patents. Apple responded that the ban only applies to devices using an older operating system and not those running the current iOS 12 software.Qualcomm says it's waiting to see if the court will enforce the injunction.Previously: Qualcomm wins preliminary iPhone ban in China (update) (Dec. 10)Previously: Apple appeals China's iPhone sales ban (Dec. 10) ",0.2096,positive,0.8521341430499326
10,2018-12-12,0.466,Apple could move production if tariffs skyrocket,"
Apple (NASDAQ:AAPL) could move its iPhone production away from China if tariffs hit 25%, according to Bloomberg sources.Apple's suppliers reportedly intend to stay with the existing model even if the U.S. levies a 10% tariff on some smartphones. But the situation could change with a hike in tariffs.Right now, the tariffs don't apply to smartphones. But President Trump indicated last month that the devices could move to include smartphones and laptops.Apple's supply chain includes hundreds of companies with a number dependent on the revenue to the point that Apple's relocation demands would hold sway.RBC analyst Amit Daryanani recently noted that a 10% tariff would reduce Apple's EPS by a dollar to 2019E $13.32. ",0.7597,positive,0.8521341430499326
