,Date,changed,title,details,news_score,news_result,average
0,2018-12-31,-2.11,Analyst: Market needs FAANG to recover,"
UBS' Art Cashin tells CNBC that if the market wants to head into 2019 higher, it needs ""unified and consistent"" FAANG stocks.Cashin, director of floor operations at the NYSE, says of FAANG: “If they don’t trade together again then we are going to have more volatility creep into the market.""Facebook (FB -2.2%), Apple (AAPL +0.9%), Amazon (AMZN +2%), Netflix (NFLX +4.5%), and Alphabet/Google (GOOGL -0.3%) lost a combined $1T in value in last month's rout but joined last week's rally.Facebook shares are down 21% in the quarter and 25% YTD after a year of user data scandals and rumored exec turmoil.Apple slips 31% in the quarter and nearly 8% YTD after a soft holiday quarter guidance, a wave of supplier guidance cuts, and supply chain chatter that the newest iPhones are underperforming with the iPhone XR indicated as the weakest selling model.Amazon followed its $15 an hour minimum wage by splitting its promised HQ2 between two locations. There were rumors that the grocery business wasn't going as smoothly as the company hoped after its Whole Foods acquisition. Amazon dropped 26% in the quarter but is up 26% YTD.Alphabet's Google had a year of antitrust acquisitions and fines related to its shopping service and the Android operating system. The company was also scrutinized for its use of user data. GOOGL is down 13% in the quarter and nearly 1% YTD.Related broad tech ETFs: XLK, VGT, TECL, FTEC, IYW, ROM, QTEC, RYT, FNG, TECS, IGM, FXL, XNTK, REW, JHMT, XITK. ",0.9698,positive,0.6727687058823529
1,2018-12-28,-1.32,"Zuckerberg says Facebook ""fundamentally"" altered its DNA","
In a Facebook (NASDAQ:FB) post, CEO Mark Zuckerberg says the company has ""fundamentally altered our DNA to focus more on preventing harm in all our services.""Zuckerberg says the company now has 30K people working safety and Facebook invests ""billions"" on security each year. He outlines how the company has improved its systems for identifying fake accounts and coordinated campaigns for election interference, built AI systems to identify and remove terrorism-related content, and changed its developer platform to limit access to user data.Key quote: ""To be clear, addressing these issues is more than a one-year challenge. But in each of the areas I mentioned, we've now established multi-year plans to overhaul our systems and we're well into executing those roadmaps. In the past we didn't focus as much on these issues as we needed to, but we're now much more proactive."" ",0.7999,positive,0.6727687058823529
2,2018-12-28,-1.32,Shutdown slows FTC's Facebook probe,"
The government shutdown could prolong the FTC investigation into Facebook's (NASDAQ:FB) user data conduct as the agency runs out of funding today, according to The Washington Post.The FTC's budget let it continue working until midday today. Until the shutdown ends, the agency can't conduct normal investigations or negotiate with companies. ",0.4915,positive,0.6727687058823529
3,2018-12-28,-1.32,NYT leaks Facebook moderation documents,"
More than 7,500 Facebook (NASDAQ:FB) moderators rely on a series of PowerPoint slides that contain inaccuracies and outdated information to determine what content to allow on the social network, the NYT reports.The company confirmed the authenticity of the documents, according to the publication.Moderators also say they must make decisions within seconds and often rely on Google Translate as they face pressure to review thousands of posts per day. ",0.3193,positive,0.6727687058823529
4,2018-12-24,-0.89,Bias concerns kill new Facebook feature,"
Facebook (FB +2.2%) shelved a ""Common Ground"" feature meant to expose users to opposing political views over concerns it would lead to bias claims from conservatives.The WSJ reports the feature was nixed in the summer. Common Grounds was meant to encourage users to reach across the aisle for less hostile discussions.The internal objections came from global policy chief Joel Kaplan, a conservative and former White House policy aide to George W. Bush. WSJ sources say Kaplan has become the deciding voice on hot-button issues or matters that might upset conservatives. ",0.3331,positive,0.6727687058823529
5,2018-12-24,-0.89,Wedbush removes Facebook from Best Ideas,"
Sell-side operation Wedbush removes Facebook (NASDAQ:FB) from its Best Ideas list while maintaining an Overweight rating and $220 target.Source: StreetAccount.The change comes after another week of personal data scandal.Facebook shares are down 0.8% premarket to $123.94.Post updated to add details to the first bullet. ",0.7906,positive,0.6727687058823529
6,2018-12-21,-8.45,"Facebook -5% on crypto plans, DZ Bank downgrade","
Facebook (NASDAQ:FB) shares are down 4.8% on plans to develop cryptocurrency for WhatsApp and a downgrade from German broker DZ Bank, which shifts FB from Hold to Sell and drops its target from $145 to $115.The broker cites management's continued missteps and questionable business model. The target cut is due to the possibility that advertisers will pull from the platform due to the controversies.Analyst Ingo Wermann sees the possibility for a fresh start under new management.Source: Bloomberg First Word. ",0.0686,positive,0.6727687058823529
7,2018-12-21,-8.45,Facebook developing crypto for WhatsApp transfers - Bloomberg,"
Focusing first on the remittances market in India, Facebook (NASDAQ:FB) is working on making a cryptocurrency - called stablecoin and pegged to the U.S. dollar - that will let users transfer money over WhatsApp, Bloomberg reports.The company has long been expected to make a move in financial services, after hiring former PayPal president David Marcus to run its Messenger app in 2014. In May, Marcus became the head of Facebook's blockchain initiatives. ",0.5741,positive,0.6727687058823529
8,2018-12-19,-10.42,D.C. AG files suit against Facebook (update),"
The attorney general for the District of Columbia filed suit against Facebook (NASDAQ:FB) for allowing Cambridge Analytica to access personal data without permission, according to The Washington Post sources.A source says the suit is likely to be amended in the future with other, more recent allegations of improper data use.Facebook shares are down 4% to $137.72.Previously: Another personal data scandal for Facebook (update) (Dec. 19)Update: AG Karl Racine confirms the suit with a press release. ",0.8746,positive,0.6727687058823529
9,2018-12-19,-10.42,Another personal data scandal for Facebook (update),"
Update: Facebook has a blog post responding to the NYT report. Key quote: ""None of these partnerships or features gave companies access to information without people's permission, nor did they violate our 2012 settlement with the FTC.""Netflix releases a statement about its alleged participation: “At no time did we access people’s private messages on Facebook or ask for the ability to do so.""Facebook (NASDAQ:FB) gave other tech companies more access to user personal data than was previously disclosed, according to hundreds of pages of documents obtained by the New York Times.Facebook user friends were visible in Microsoft Bing searches without permission, Netflix and Spotify could access Facebook messages, Amazon had user names and contact information through friends, and Yahoo could see shared friends posts, a practice Facebook said it ended, but Yahoo could still access as of the summer.Facebook tells Axios: ""Facebook’s partners don't get to ignore people’s privacy settings, and it’s wrong to suggest that they do.""Facebook shares are down 1.9% premarket to $141. ",0.8712,positive,0.6727687058823529
