,Date,changed,title,details,news_score,news_result,average
0,2018-12-27,0.34,Facebook: Bug caused Instagram feed change,"
Facebook's (FB -1.6%) Instagram temporarily switched to a horizontal feed today and users weren't happy.Instagram head Adam Mosseri tweeted an apology, saying it was ""supposed to be a very small test but we went broader than we anticipated.""But in a statement to The Verge, a Facebook spokesperson blamed the switch on a bug and apologized for any confusion. ",-0.4945,negative,0.777874358974359
1,2018-12-26,10.12,Citron boosts Facebook; shares up 3.5%,"
""Backing up the sleigh,"" on Facebook (NASDAQ:FB), tweets Andrew Left.Look past the rhetoric, he urges. ""Would you rather have your kids addicted to Nicotine or Instagram? Wall Street answer will amaze you.""Full report hereHis $160 price target suggests 30% upside from Monday's close. Shares this morning are up 3.5% to $128.50. ",0.8953,positive,0.777874358974359
2,2018-12-20,0.16,FT: WhatsApp bans 130K accounts in 10 days,"
Facebook's (NASDAQ:FB) WhatsApp has banned 130K user accounts in the past 10 days for sharing illegal material related to child sex abuse, according to Financial Times.WhatsApp has a total user base of about 1.5B.Sources say videos and pictures showing abuse are shared ""on a vast scale"" and WhatsApp isn't curbing the problems despite mass bans.In September, Israeli researchers warned Facebook it was easy to find and join groups sharing that type of content. FT found several of the identified groups were still active this week.WhatsApp's end-to-end encryption means the company (and law enforcement) can't see the content of messages, which makes it harder to check for illegal material.WhatsApp says it “has a zero-tolerance policy around child sexual abuse.”Facebook shares are down 0.9% premarket to $132. ",0.1209,positive,0.777874358974359
3,2018-12-13,0.51,Facebook pushes back on story dinging fact-check program,"
 Facebook (FB -0.2%) is fighting on another front today, responding to a scathing Guardian piece suggesting journalists are fleeing a high-profile fact-checking program that the company set up to combat fake news but which is now in disarray. The report says current and former fact-checkers say their collaboration with Facebook has produced minimal results and that they've lost trust in the company. ""They've essentially used us for crisis PR,"" says the former managing editor of Snopes. Facebook says it provided info to The Guardian but the paper chose not to include all of it. ""Contrary to a claim in the story, we absolutely do not ask fact-checkers to prioritize debunking content about our advertisers,"" the company says, arguing that instead potential fake news is surfaced via machine learning. In response to another claim in the story -- that Facebook has repeatedly refused to release meaningful data about the impact of the fact-checking effort -- the company says it's heard feedback and ""we’re starting to send fact-checkers quarterly reports that include customized statistics that reflect the work and impact of each fact-checker.""  ",0.0752,positive,0.777874358974359
4,2018-12-13,0.51,"Facebook: Watch has 400M monthly users, 75M daily users","
 With news about video-news funding changes in the air, Facebook (FB -0.2%) has issued an update on its ambitious video-programming efforts. More than 400M monthly users spend at least one minute on Facebook Watch, the company says, and more than 75M daily. On average, the 75M daily visitors spend more than 20 minutes in Watch. Amid the news about high-profile news shows getting less funding on Watch, Facebook says it will keep funding original programming, including renewing four programs for a second season: Huda Boss, Five Points, Sacred Lies, and Sorry For Your Loss. It's also giving some focus to the community aspect of its Watch tab, saying it's seen more than 12M real-time ""Watch Parties"" in Facebook's Groups, and that Watch Parties garner eight times more comments than regular videos in Groups. Meanwhile, after initially launching Ad Breaks to five countries in August, the company has now made the ad opportunities available to eligible pages in 40 countries.  ",0.9641,positive,0.777874358974359
5,2018-12-13,0.51,Report: Facebook cutting back some news video funding,"
 Facebook (FB +0.3%) is cutting back on investment in particular news programming for its video tab, The Information reports. That comes just months after a splashy launch of original programming from outlets including CNN, ABC and BuzzFeed. Overall spending on news content for the ""Watch"" tab is expected to remain the same (about $90M), but spread across a wider list of programs, according to the report, including the likelihood that more of that money will fund overseas news rather than the higher-profile programs.  ",0.8252,positive,0.777874358974359
6,2018-12-12,2.42,"Facebook, ZeniMax settle suit over Oculus VR tech","
 Facebook (FB +3.1%) and videogame maker ZeniMax have settled a lawsuit where the social-media giant was accused to stealing ZeniMax's secrets and technology for use in Oculus virtual-reality products. Terms weren't disclosed, but both companies expressed happiness with the outcome. “We’re pleased to put this behind us and continue building the future of VR,” says a Facebook spokesperson. Oculus Chief Technology Officer John Carmack was previously a ZeniMax employee, and ZeniMax said he used that knowledge to improve the Oculus Rift headset. It also said Oculus founder Palmer Luckey took code and proprietary info to develop Oculus products.  ",0.9583,positive,0.777874358974359
7,2018-12-11,0.23,Report: Japan to increase scrutiny of foreign big-data firms,"
 Japan's government is going to set up an oversight panel to keep a closer eye on foreign ""big data"" companies that deal with concentrated information from consumers and small businesses, Nikkei reports. That affects the usual tech suspects: Facebook (NASDAQ:FB), Amazon.com (NASDAQ:AMZN), Netflix (NASDAQ:NFLX), Google (GOOG, GOOGL), and even Alibaba (NYSE:BABA), among others. The panel is expected to be established as soon as 2020, according to a draft report, and a framework should be in place by next summer. Meanwhile, Japan's Fair Trade Commission will survey the IT industry as early as January with an eye to finding illegal business practices or contracts.  ",0.9562,positive,0.777874358974359
8,2018-12-11,0.23,Facebook testing search advertising as new revenue stream,"
 Facebook (FB +0.6%) is starting to test search ads, from its search bar and in Marketplace, in the U.S. and Canada. That squares off against AdWords from fellow duopolist Google (GOOG +1%, GOOGL +0.7%). It's a return of sorts to such advertising for Facebook, which shut down Sponsored Results five years ago but now could see an important revenue stream. The ads will be repurposed News Feed ads starting from a small set of automotive, retail and e-commerce advertisers, TechCrunch notes.  ",0.7617,positive,0.777874358974359
9,2018-12-11,0.23,Invesco QQQ ETF (QQQ) November Summary,"
November monthly performance was: -1.96%AUM of $66B52-week performance vs. the S&P 500 is: +5%$0.33 in dividends were paid in NovemberTop 10 Holdings as of 11/29/2018: Apple Inc (AAPL): 10.91098%, Microsoft Corp (MSFT): 10.63103%, Amazon.com Inc (AMZN): 10.26999%, Alphabet Inc Class C (GOOG): 4.79084%, Facebook Inc A (FB): 4.20797%, Alphabet Inc A (GOOGL): 4.11657%, Cisco Systems Inc (CSCO): 2.80112%, Intel Corp (INTC): 2.76728%, Comcast Corp Class A (CMCSA): 2.26782%, PepsiCo Inc (PEP): 2.10457% ",0.6276,positive,0.777874358974359
10,2018-12-10,4.43,U.S. stock markets mixed as Nasdaq edges up,"
The tech-heavy Nasdaq creeps up to a gain in early afternoon trading as the Dow and S&P 500 pare earlier losses.Nasdaq +0.2%, S&P -0.5%, Dow -0.7%.By sector, technology rises 0.3%. Among individual stocks, Alphabet (GOOG +0.1%), Facebook (FB +2.1%), and Microsoft (MSFT +1.2%) advance.Financials -1.4% and basic materials -1.4%, which includes oil & gas, experience the biggest sector declines. Individual laggards include Wells Fargo (WFC -3%), Bank of America (BAC -2.9%), Citi (C -2.4%), Occidental Petroleum (OXY -3.5%), Exxon Mobil (XOM -2.4%), and EOG Resources (EOG -2.7%).Crude slides 1.5% to $51.81.U.S. 10-year Treasury price slips, lifting yield by almost 1 basis point to 2.86%. Dollar index rises 0.5% to 97.14.Previously: Stock losses mount amid growth concerns, trade uncertainty (Dec. 10) ",0.8244,positive,0.777874358974359
11,2018-12-10,4.43,Report: Zuckerberg turns to Microsoft's Smith for advice,"
The Information sources say Facebook (FB +2.2%) CEO Mark Zuckerberg has spoken to Microsoft (MSFT +0.2%) president and CLO Brad Smith for advice on how to rebuild trust at his company.Zuckerberg occasionally turns to Bill Gates for advice and Gates recommended speaking with Smith.Though the discussion wasn't a formal job offer, Smith told Zuckerberg he was happy at Microsoft. ",0.853,positive,0.777874358974359
12,2018-11-30,1.93,Report: Facebook hired Republican strategy firm,"

Facebook (NASDAQ:FB) quietly hired Republican strategy firm Targeted Victory, according to TechCrunch sources.
Facebook worked with Targeted Victory on the Community Boost roadshow, which pushed Facebook as a business and ad opportunity for small businesses, and on its ad transparency efforts.
Facebook hosted Targeted Victory members twice this year for panels on ad transparency, election integrity, and election best practices. It's not clear if Facebook disclosed a financial relationship at the time.
Targeted Victory, PR firm Definers, and Facebook's communications team all have ties to Mitt Romney's presidential campaign.
Facebook shares are down 0.5% premarket.
Previously: Facebook admits Sandberg requested Soros research (Nov. 30)
 ",0.9919,positive,0.777874358974359
13,2018-11-30,1.93,Facebook admits Sandberg requested Soros research,"

BuzzFeed News reports that Facebook (NASDAQ:FB) COO Sheryl Sandberg requested research on company critic George Soros, contrary to Sandberg's prior claim that she was unaware of the work done by opposition research firm Definers.
Facebook acknowledged its ties to Definers after a New York Times report but said Sandberg and CEO Mark Zuckerberg had little to no knowledge of the firm's work.
A FB spokesperson now admits that Sandberg did request research on Soros but says she did not direct Definers.
Key quote from the statement: ""Mr. Soros is a prominent investor and we looked into his investments and trading activity related to Facebook. That research was already underway when Sheryl sent an email asking if Mr. Soros had shorted Facebook's stock. Sheryl never directed research on Freedom from Facebook. But as she said before she takes full responsibility for any activity that happened on her watch.""
Previously: Facebook publishes memo where policy chief owns up to PR firm hiring (Nov. 21)
Previously: Open Society head wants Facebook oversight (Nov. 23)
 ",0.9927,positive,0.777874358974359
14,2018-11-29,1.92,Facebook debated charging for user data access?,"

Internal Facebook (NASDAQ:FB) emails in court filings viewed by the WSJ provide a window into a document trove a British lawmaker plans to make public next week - based on a lawsuit filed by a company called Six4Three.
The emails - mostly from 2012 to 2014 - suggest Facebook considered charging companies for continued access to user data and may have pushed some advertisers to spend more in return for increased access to user information.
 ",0.8405,positive,0.777874358974359
15,2018-11-28,1.76,Rights groups press for secret docs in Facebook Messenger case,"
 Civil rights groups are pressing a judge to release documents around a secret effort to force Facebook (NASDAQ:FB) to decrypt voice calls on its Messenger app. The public right to know encryption laws outweighs reasons the Justice Dept. might have for protecting a criminal probe, say the ACLU and Electronic Frontier Foundation via a joint motion. The government was reportedly pressing for an encryption break in the summer, around a gang investigation. That attempt failed, Reuters reported. The groups compared this legal fight to a 2016 dispute where the FBI asked courts to force Apple to break into an iPhone related to the San Bernardino, Calif., shootings that year. They say it's vital to the privacy debate about government's authority over tech companies.  ",0.5486,positive,0.777874358974359
