,Date,changed,title,details,news_score,news_result,average
0,2018-12-21,-29.87,RBC: Google hardware will hit $20B in three years,"
RBC analyst Mark Mahaney says Google's (GOOG -2.3%)(GOOGL -2.8%) hardware business has ""gained critical success"" and is ""starting to gain material commercial traction.""The firm projects the segment will generate a combined $8.8B in revenue (or 6% of total revenue) and $3B in profits this year and grow to $19.6B in revenue (8% of total) and $6.1B in profits by 2021.Alphabet reports hardware sales under the catchall Other Bets category, which contributed 14% to Q3 revenue.RBC also estimates there are 43M Google Home devices currently installed in the U.S. and 9M internationally. The firm expects Home to contribute $8.2B of that 2021 revenue total. ",0.9764,positive,0.7662577519379845
1,2018-12-20,-13.6,Dealreporter: Atlassian good acquisition target for Google,"
Dealreporter cites industry sources saying Atlassian (TEAM +0.6%)would be a good acquisition target for Google (GOOG -1.6%)(GOOGL -1.4%) to further its cloud strategy.Google could step up its acquisitions after the departure of Google Cloud head Diane Greene, reportedly due to the lack of market share growth in the unit.Source: Bloomberg First Word. ",0.8094,positive,0.7662577519379845
2,2018-12-20,-13.6,"Walgreens, Verily partner to cut health costs","
Declaring the start of a strategic partnership, Walgreens (NASDAQ:WBA) said it would team with Verily, Alphabet's (GOOG, GOOGL) life sciences unit, on lowering the cost of medical care and improving outcomes for patients with chronic conditions.Their first project will develop a ""medication adherence pilot project that will deploy devices and other approaches"" to ensure patients are taking their medications. ",0.9673,positive,0.7662577519379845
3,2018-12-17,-25.57,"Report: Google ""effectively"" ends China project","
Google (GOOG -0.5%)(GOOGL -0.6%) has ""effectively ended"" its work on a censored search engine for China, according to The Intercept sources.Google shut down the data analysis system it was using to create the engine after internal protests from its privacy team, which said the work was kept secret from them.The privacy team safeguard's user rights and only found out that Google engineers were using Chinese search data from 265.com after The Intercept's initial report.Access to the 265.com data is now suspended, and that has ""stopped progress"" on the overall project. ",0.938,positive,0.7662577519379845
4,2018-12-17,-25.57,France moves ahead with tech tax,"
France will impose a new tech tax worth $570M annually starting the first of the year.The country failed to get support for an EU-wide levy and will now move forward alone on the GAFA tax, named for Google (GOOGL +0.1%), Apple (AAPL +1.4%), Facebook (FB), and Amazon (AMZN -1.4%).France is also working with Germany on plans for a 3% tax on EU ad sales that would begin in 2021. ",-0.3854,negative,0.7662577519379845
5,2018-12-17,-25.57,Russia disinformation report calls out big tech,"
A new report prepared for the Senate highlights the ""belated and uncoordinated response"" of tech companies to the Russian disinformation campaign during the 2016 election.The Washington Post has a draft of the report from Oxford University?�s Computational Propaganda Project and network analysis firm Graphika. The report studies millions of posts tech companies provided to the Senate Intelligence Committee.The authors urge tech companies to provide data in ""meaningful and constructive ways"" in the future. Researchers called out Twitter (NYSE:TWTR), Facebook (NASDAQ:FB), and Google (NASDAQ:GOOGL) for making data collection difficult. The information Google provided was so unhelpful that researchers tracked links to YouTube videos from outside sites to understand the information better. ",0.9547,positive,0.7662577519379845
6,2018-12-17,-25.57,Goldman Sachs makes defensive picks,"
 Goldman Sachs recommends that investors take a defensive posture for 2019. ""Investors should increase portfolio defensiveness given our forecast for heightened risk and fat tails,"" reads the firm's Monday morning note. GS sees concerns of a 2020 recession hanging over the market next year, prompting its call that defensive sectors such as utilities and communication services will outperform. Individual stocks making the Goldman ""high quality"" bucket include Alphabet (GOOGL, GOOG), Mastercard (NYSE:MA) and PepsiCo (NYSE:PEP).  ",0.7392,positive,0.7662577519379845
7,2018-12-17,-25.57,Google to spend $1B on new New York campus,"
Google (GOOG, GOOGL) is investing over $1B to establish a new campus in New York city, as it expands its presence in the city's technology corridor along the Hudson River.The new leased campus, which is over 1.7M square-foot, will be the primary location for Google's global business organization.The news comes on the heels of Amazon picking New York as its second headquarters. ",0.6863,positive,0.7662577519379845
8,2018-12-14,-19.8,Google Shopping comes to India,"
Google (GOOG -0.8%)(GOOGL -1.1%)?launches its Shopping aggregator in India, which allows users to make purchases through the Shopping home page, app, and a new tab on the search engine.The products will come from a variety of retailers including Walmart's Flipkart and Amazon.Google says that of the 400M Indians online today, less than one in three buys products online. ",0.8843,positive,0.7662577519379845
9,2018-12-13,-1.78,YouTube removed 58M videos in Q3,"
YouTube (GOOG -0.3%)(GOOGL -0.1%) removed more than 58M videos and 224M comments in Q3 for policy violations. Alphabet says most of the content was spam.YouTube removed 1.67M channels and the associated 50.2M videos for three violations in 90 days or egregious violations with 80% related to spam, 13% to nudity, and 4.5% to child safety.Earlier this year, YouTube began issuing quarterly reports about its policy enforcement efforts. The move followed advertiser boycotts due to ads appearing next to obscene or questionable content. ",-0.9607,negative,0.7662577519379845
10,2018-12-13,-1.78,Google launches AI program for eye disease,"
Google?(GOOG, GOOGL)?launches an AI program in Thailand to screen for diabetic eye disease, following a similar program in India.The Thailand program is in collaboration with state-run?Rajavithi Hospital.A joint study found the AI program had a disease detection accuracy rate of 95% compared to the 74% from eye doctors.As one of the world's largest sugar producers, Thailand's government has campaigned for diabetes prevention and made diabetic eye screening one of the national health indicators. ",0.9688,positive,0.7662577519379845
11,2018-12-13,-1.78,Should Google licensing fees be halted?,"
A German rule which gives publishers the right to demand a license fee from Google (GOOG, GOOGL) for using news snippets should be halted, according to the ECJ's top legal advisor.While the decision is not binding, in around 75% of cases ECJ judges will follow the advice of their Advocate General's opinion.The EU is also considering copyright rules on the same issue, triggering fierce lobbying and pitting the content and tech industries against each other. ",0.4483,positive,0.7662577519379845
12,2018-11-27,-4.21,"FTC hearing sees call for regulating Facebook, Google","
 There's more regulatory risk ramp-up for big tech at a D.C. hearing addressing oversight of the Federal Trade Commission. FTC Chairman Joe Simons says the agency is still investigating Facebook (FB -1.4%) over the Cambridge Analytica data-leak scandal, but doesn't have new info on when it might be resolved. And Democratic Sen. Richard Blumenthal says firms like Facebook and Google (GOOG -0.6%, GOOGL -0.6%) may be violating antitrust laws and can't be trusted to police themselves. He says the FTC has fallen short on consumer privacy protection and calls for new privacy laws. (h/t Bloomberg) For his part, Simons agrees on new legislation and says he lacks sufficient authority to solve the problem.  ",-0.6975,negative,0.7662577519379845
13,2018-11-27,-4.21,THR: YouTube pulling back from scripted content spending,"
 YouTube (GOOG -0.6%, GOOGL -0.6%) is pulling back from scripted content output, a reversal of a strategy that pushed a premium subscription tier, The Hollywood Reporter says. The video platform will cut back starting in 2020, and executive will double down on the ad-supported video by making all its originals free to all users, not just those paying $12/month for YouTube Premium. That means a ""serious budget reduction,"" if not a total pullback from what has been hot competition among distributors for bigger-budget content. The platform might release a show week-to-week for free while giving Premium subscriber the option to binge. YouTube's originals budget (said to be hundreds of millions of dollars a year) is still overshadowed by the billions annually at Netflix (NFLX +1.7%) and Amazon.com (AMZN -0.1%). Also a player here: Hulu, co-owned by Comcast (CMCSA +1.6%), Disney (DIS +1.3%), Fox (FOX +0.6%, FOXA +0.5%) and WarnerMedia (T +1.5%).  ",0.9344,positive,0.7662577519379845
14,2018-11-27,-4.21,Disney picks Google over Comcast for digital ad handling,"
 Disney (DIS +0.8%) is switching up its digital advertising handler, dropping Comcast's FreeWheel (CMCSA +1.1%) to go instead with Google Ad Manager (GOOG, GOOGL) -- the technology formerly known as DoubleClick. That marks a key win for Google in its fight with FreeWheel over TV powers migrating toward digital. The deal also providers for collaboration on new ad solutions across video, mobile, apps and display. It will let Disney use one solution across video and display ads in the whole portfolio, including ABC, ESPN, Freeform and Marvel, Disney's Rita Ferro says.  ",0.9636,positive,0.7662577519379845
