,Date,changed,title,details,news_score,news_result,average
0,2018-12-18,12.18,Auto safety agency speeds self-driving reviews,"
The U.S. National Highway Traffic Safety Administration issues a final regulation streamlining the review process for self-driving vehicles and whether automakers can deploy vehicles without controls like brakes or steering wheels.The NHTSA eliminated the need for the agency to determine a petition is complete before publishing the summary for public comment.Automakers can petition for an exemption for up to 2.5K vehicles for safety standards as long as those vehicles are as safe as existing models.GM (GM +0.3%) filed a petition with the NHTSA seeking an exception to use fully automated vehicles in the ride-hail fleet it plans to debut next year. The agency hasn't declared the petition complete or publish a summary.Other autonomous vehicle players: Alphabet's (GOOG +1.2%)(GOOGL +1.3%) Waymo, Uber (UBER), Toyota (TM +0.3%), Ford (F -0.9%). ",0.946,positive,0.7771034671532846
1,2018-12-18,12.18,EU court kicks Yelp out of Google appeal,"
An EU court says Yelp (YELP +0.6%) has no direct interest in Google's (GOOG +2.5%)(GOOGL +2.6%) legal challenge against its $2.7B EU antitrust fine for its shopping practices.Yelp wanted to take part in the proceedings so that its rights/interests were covered by the final ruling.Key quote from the judges:??�As Yelp does not operate a search service that specializes in comparison shopping results, it cannot be directly affected by the ruling regarding the contested act and thus does not satisfy the criterion laid down in the case-law.??",0.9584,positive,0.7771034671532846
2,2018-12-11,12.2,Report: Japan to increase scrutiny of foreign big-data firms,"
 Japan's government is going to set up an oversight panel to keep a closer eye on foreign ""big data"" companies that deal with concentrated information from consumers and small businesses, Nikkei reports. That affects the usual tech suspects: Facebook (NASDAQ:FB), Amazon.com (NASDAQ:AMZN), Netflix (NASDAQ:NFLX), Google (GOOG, GOOGL), and even Alibaba (NYSE:BABA), among others. The panel is expected to be established as soon as 2020, according to a draft report, and a framework should be in place by next summer. Meanwhile, Japan's Fair Trade Commission will survey the IT industry as early as January with an eye to finding illegal business practices or contracts.  ",0.9562,positive,0.7771034671532846
3,2018-12-11,12.2,Facebook testing search advertising as new revenue stream,"
 Facebook (FB +0.6%) is starting to test search ads, from its search bar and in Marketplace, in the U.S. and Canada. That squares off against AdWords from fellow duopolist Google (GOOG +1%, GOOGL +0.7%). It's a return of sorts to such advertising for Facebook, which shut down Sponsored Results five years ago but now could see an important revenue stream. The ads will be repurposed News Feed ads starting from a small set of automotive, retail and e-commerce advertisers, TechCrunch notes.  ",0.7617,positive,0.7771034671532846
4,2018-12-11,12.2,Google CEO testifies for House committee (updates),"
Google (GOOG, GOOGL)?CEO Sundar Pichai testifies today in front of the U.S. House Judiciary committee.Update: Pichai says Google has no current plans to launch a censored search engine in China, but doesn't rule out a future launch. He says he will be ""fully transparent"" with lawmakers if Google resumes search products in the region.Pichai says users are in charge of the personal information available to Google: ?�For Google services, you have a choice of what information is collected, and we make it transparent.""Pichai says the company reminds users to do privacy checkups and that 160M users went into their My Account settings in the past 28 days. My Account displays what information Google has and toggles for turning that access off.When asked if Google could improve its dashboard and privacy education methods, Pichai responds that it's ""something I think we can do better"" and that it's ""something we are working on.""Previously: Google admits unauthorized location tracking (Aug. 17) ",0.9738,positive,0.7771034671532846
5,2018-12-11,12.2,Invesco QQQ ETF (QQQ) November Summary,"
November monthly performance was: -1.96%AUM of $66B52-week performance vs. the S&P 500 is: +5%$0.33 in dividends were paid in NovemberTop 10 Holdings as of 11/29/2018: Apple Inc (AAPL): 10.91098%, Microsoft Corp (MSFT): 10.63103%, Amazon.com Inc (AMZN): 10.26999%, Alphabet Inc Class C (GOOG): 4.79084%, Facebook Inc A (FB): 4.20797%, Alphabet Inc A (GOOGL): 4.11657%, Cisco Systems Inc (CSCO): 2.80112%, Intel Corp (INTC): 2.76728%, Comcast Corp Class A (CMCSA): 2.26782%, PepsiCo Inc (PEP): 2.10457% ",0.6276,positive,0.7771034671532846
6,2018-12-11,12.2,Google CEO faces first Congressional hearing,"
Google CEO Sundar Pichai is in the hot seat today, testifying before U.S. House Judiciary Committee on Alphabet's (GOOG, GOOGL) social media practices.The hearing officially focuses on ""Google and its Data Collection, Use and Filtering Practices,"" but it's also likely to cover accusations of political bias, a controversial plan to return to China, and whether the tech giant violates antitrust laws. ",-0.6303,negative,0.7771034671532846
7,2018-12-10,2.97,Google speeds Plus shutdown after new bug exposes data,"
 Google (GOOG +0.2%, GOOGL +0.3%) is accelerating the shutdown of its Google Plus product after revealing a ""new bug"" that inadvertently exposed access to data. The company had said in October that it would shut the product down after reports that Google didn't disclose a known issue last spring that exposed data of hundreds of thousands of users. Now, some users were impacted by a software update introduced last month, the company says: ""No third party compromised our systems, and we have no evidence that the app developers that inadvertently had this access for six days were aware of it or misused it in any way."" The new bug affected about 52.5M users, it says. Google Plus APIs will now shut down within the next 90 days, Google says, and the sunset of consumer-facing Google Plus will now come in April rather than next August.  ",0.616,positive,0.7771034671532846
8,2018-12-10,2.97,Google acquires Indian travel app developer,"
Google?(GOOG, GOOGL)?acquires Indian travel app developer Sigmoid Labs for undisclosed terms.Sigmoid Labs created the popular ""Where is my train"" app, which operates using data from cell towers rather than GPS or data. The app has millions of users in an emerging market where Google wants a stronger foothold.Google tells VentureBeat Sigmoid will continue to work on the app. ",0.828,positive,0.7771034671532846
9,2018-11-30,6.13,Google execs left privacy team out of China search,"

Google?(GOOG, GOOGL)?shut out its own privacy and security team from its censored search engine project for China, according to The Intercept.
Yonatan Zunger, then a Google engineer, was involved in some of the early Project Dragonfly meetings and pointed out that Chinese citizens could face interrogation or detention if caught using Google to search for prohibited materials. Google's China operations head Scott Beaumont dismissed the concern.
The privacy and security team was then shut out of key meetings. Beaumont and other execs wanted to soften a privacy review into potential human rights abuses.
Zunger says Beaumont ?�wanted the privacy review [of Dragonfly] to be pro forma and thought it should defer entirely to his views of what the product ought to be. He did not feel that the security, privacy, and legal teams should be able to question his product decisions, and maintained an openly adversarial relationship with them ??quite outside the Google norm.??
 ",0.9286,positive,0.7771034671532846
