,Date,changed,title,details,news_score,news_result,average
0,2018-11-29,-0.561,Helmerich & Payne forms new tech entity in bid for better well performance,"

Helmerich &��Payne (NYSE:HP) says it has formed a new business entity, H&P Technologies, to be used to drive development of advanced technologies and directional drilling automation solutions, resulting in greater reliability and well performance.
HP says a key benefit of its performance-driven drilling services is the reduced  positional uncertainty in the directional drilling process and that the technology can be used on any rig, regardless of the drilling or service provider.
HP also said it acquired Scotland-based Angus Jamieson Consulting, a software-based, training and consultancy firm.
 ",0.9372,positive,0.6082133333333333
1,2018-11-19,-0.601,Helmerich & Payne +3% as SunTrust issues two-notch upgrade to Buy,"

Helmerich & Payne (HP +2.8%) is higher after SunTrust upgrades shares two notches to Buy from Sell with a $75 price target, lifted from $58, saying the recent correction in its stock price has created an attractive entry point.
While most oilfield services names anticipate a pause in activity over their upcoming few quarters, HP has the ""contracts in hand"" to continue delivering ""12 super-spec rig upgrades per quarter"" into Q2 of next year, says SunTrust's Ken Sill, who also points to the company's dividend providing downside protection for the stock price and for its ""strong balance sheet"" to provide an advantage when the new rig build cycle starts in FY 2020.
Also, Citigroup upgrades shares to Buy from Neutral with a $74 price target, up from $70, believing HP ""offers a great combination of offensive and defensive qualities,"" and Credit Suisse raises the stock to Neutral from Underperform, citing the economic benefit of superspec rigs and the surety of the dividend.

Earlier: Helmerich &��Payne +4% as quarterly revenue rises 31% Y/Y��(Nov. 16)
 ",0.9807,positive,0.6082133333333333
2,2018-11-16,-0.01,Helmerich & Payne +4% as quarterly revenue rises 31% Y/Y,"

Helmerich &��Payne (HP +4.5%) is sharply higher after reporting better than expected FQ4 earnings and a 31% Y/Y revenue increase to $696M.
Q4 operating revenue in HP's U.S. Land segment jumped 33% Y/Y to $587M, with average rig revenue per operating day up 11% to $24,449, and average rig margin per day climbing 28% to $10,340; 65% utilization in Q4 vs. 55% in the year-ago quarter helped segment operating income swing to a $64.5M profit from a year-ago loss of $4.2M.
HP says it expects to see additional demand for its super-spec FlexRigs heading into the new fiscal year as customers continue to push increased lateral lengths and their use of pad drilling; it upgraded 54 FlexRigs to super-spec capacity during FY 2018, including 16 during Q4.
""The super-spec rig market in the U.S. is effectively fully utilized, and we continue to see indications that additional demand is forthcoming, even as oil prices have recently moved lower,"" says President and CEO��John Lindsay.
 ",0.9646,positive,0.6082133333333333
3,2018-09-25,-0.305,Helmerich & Payne +3% after B. Riley FBR upgrades to Buy,"
 Helmerich &��Payne (NYSE:HP) jumps at the open after B. Riley FBR upgrades shares to Buy from Neutral and raises its price target to $83 from $68, citing valuation as well as HP's technology and super spec strategy. The firm foresees HP reaping the rewards from a proven growth strategy for a U.S. super-spec land  drilling market with bullish cyclical and secular dynamics, and potential earnings upside that could be generated by HP's AutoSlide automated directional drilling service, which is set for commercial launch in H1 2019. In a full catch-up for CY Q2 results and  guidance as well as recent land drilling market trends, B. Riley raises its outlook for EBITDA and EPS for FY 2018 and 2019 from $608M/$0.02 and $795M/$1.28 to $625M/$0.13 and $901M/$1.95.  ",0.9717,positive,0.6082133333333333
4,2018-08-15,-0.11699999999999999,Helmerich & Payne goes ex-dividend tomorrow,"
Helmerich & Payne (NYSE:HP) had declared $0.71/share quarterly dividend, 1.4% increase from prior dividend of $0.70.Payable Aug. 31; for shareholders of record Aug. 17; ex-div Aug. 16.See HP Dividend Scorecard, Yield Chart, & Dividend Growth. ",0.8425,positive,0.6082133333333333
5,2018-07-30,-0.127,Oceaneering +6% after Gabelli ups to Buy on improving offshore drilling view,"
 Oceaneering (OII +6%) shoots higher after Gabelli upgrades  shares to Buy from Hold, as the firm sees an improving environment for offshore drilling via channel checks which have been reaffirmed by other offshore service providers. Gabelli says OII owns a unique set of assets in the oilfield service industry, continues to generate free cash flow and maintains a strong balance sheet, with debt/EBITDA of 4.2x and no debt maturity until 2024. The firm also sees increasing floater rig contracting activities benefiting OII. Other offshore drilling related names also are higher: RIG +5%, HP +4.8%, ESV +4.4%, NE +4.4%, NOV +3.2%, DO +2.2%, PTEN +2%, NBR +1.6%.  ",0.9658,positive,0.6082133333333333
6,2018-06-19,-0.127,"Helmerich & Payne upped to Buy at Jefferies, seeing Permian falloff shallow","
 Helmerich & Payne (HP +1.4%) is higher after Jefferies upgrades shares to Buy from Hold with an $80 price target, raised from $72, saying the 13% pullback over the past month is unwarranted. Shares of land drillers are down 21% since mid-May as investors fret over potential Permian activity decline and the recent oil weakness, but Jefferies analyst Brad Handler believes any Permian drop-off will be shallow and limited to H2 of the year. ""HP retains best-in-class exposure to a super-spec rig market that should tighten further and allow for strong [free cash flow] inflection through the next 24 months,"" Handler writes, adding that U.S. land drilling fundamentals remain strong. ",0.9094,positive,0.6082133333333333
7,2018-01-29,-0.09699999999999999,Helmerich & Payne downgraded at Bernstein on valuation,"
 Helmerich & Payne (HP +1%) extends recent gains despite receiving a Bernstein downgrade to Market Perform from Outperform after the stock's 76% run-up since August. ���With strong market share gain, a leading position in the Permian, the best ���super-spec��� rig upgrade economics, improving rig rates and tax benefits all modeled in, we think the stock is now fairly valued and requires another structural leg up in oil price for more upside,""��Bernstein analyst Colin Davies writes. Oil prices would need to approach $80/bbl to get constructive on HP again, and even at those price levels additional upside would be modest, Davies says. ",0.9868,positive,0.6082133333333333
8,2018-01-25,-0.32899999999999996,Helmerich & Payne +3% as quarter shows strength in industry's 'sweet spot',"
 Helmerich &��Payne (HP +3.2%) pushes higher after reporting better than expected FQ1 earnings and a 53% Y/Y revenue increase, HP says its contracted U.S. land rig count rose ~4% to 204 by the end of the quarter compared to a slight decline in the industry rig count, with spot pricing continuing to rise by ~4%, resulting in an 11% increase in adjusted average rig margin per day. Q2 revenue days are seen rising 1%-2%  Q/Q, representing a 3%-4% increase in the average number of  active rigs, given the lower number of calendar days during FQ2; average rig revenue per day is seen roughly flat to slightly up vs. FQ1. HP also raises its 2018 capex budget to $350M, up from a previous range of $250M-$300M. Analyzing the results, Bloomberg's Liam Denning says ""HP is in shale's sweet spot,"" citing its ~40% share of active super-spec rigs, which offer more power, can drill longer horizontal wells and move quickly from well to well to speed things up.""Having the rigs that the exploration and production industry needs means you can charge more, [which] came through"" in the quarterly results, Denning writes.  ",0.9874,positive,0.6082133333333333
9,2018-01-25,-0.32899999999999996,"Helmerich & Payne beats by $0.11, beats on revenue","
Helmerich & Payne (NYSE:HP): Q1 EPS of -$0.02 beats by $0.11.Revenue of $564.09M (+53.0% Y/Y) beats by $18.44M.Press Release ",0.0992,positive,0.6082133333333333
10,2017-07-28,-0.038,Helmerich & Payne cut to Sell at Citigroup as dividend cut risk seen,"
 Helmerich & Payne (HP -2.1%) is downgraded to Sell from Hold with a $43 stock target, cut from $58, at Citigroup, which sees a risk of a dividend cut since the company is likely to fall well short of consensus EBITDA expectations in a declining rig count environment. HP shares have slumped ~6% following Q2 results and management comments in the earnings conference call indicating the company would not raise debt to support the dividend amid elevated capex, even as demand for rigs in the U.S. appears to be declining; Citi believes HP's 5.3% yield does not fully reflect the downside risk.  ",-0.4502,negative,0.6082133333333333
11,2017-07-27,-0.048,"Helmerich & Payne beats by $0.05, beats on revenue","
Helmerich & Payne (NYSE:HP): Q3 EPS of -$0.25 beats by $0.05.Revenue of $499M (+74.6% Y/Y) beats by $41.53M.Press Release ",0.0992,positive,0.6082133333333333
12,2017-06-27,-0.37200000000000005,"Eight oil services stocks cut, Hi-Crush Partners new Best Idea at Guggenheim","
 Guggenheim analysts downgrade eight oil services companies as they cut their 2017 oil price forecast to $48/bbl from $55, saying they do not expect a recovery until H2 2018. But even as the firm cuts Baker Hughes (BHI), Forum Energy Technologies (NYSE:FET), Fairmount Santrol (NYSE:FMSA), Halliburton (NYSE:HAL), Helmerich &��Payne (NYSE:HP), Nabors Industries (NYSE:NBR), Schlumberger (NYSE:SLB) and Superior Energy Services (NYSE:SPN) to Neutral from Buy, the firm finds Hi-Crush Partners (NYSE:HCLP) worthy enough to add to its Best Ideas List. In highlighting HCLP, Guggenheim cites a strong, fundamental backdrop for frac sand; the addition of dedicated Permian basin cash flows; the company���s commitment to re-instating distributions before year-end (it currently trades at a 12% yield to expected 2018 distributions); and valuation. The firm recommends focusing on ""relative value and cash return until growth reaccelerates"" in H2 2018,"" and it says stocks that fit the bill include HCLP, U.S. Silica (NYSE:SLCA), Weatherford (NYSE:WFT), Patterson-UTI��Energy (NASDAQ:PTEN) and TechnipFMC (NYSE:FTI). ",0.9911,positive,0.6082133333333333
13,2017-06-21,-0.115,"It's downgrade-palooza at Seaport, cutting 50-plus energy-related stocks","
 Seaport Global Securities downgrades no fewer than 51 energy-related stocks, warning that $40/bbl oil will keep supply/demand balances in check compared to its previous assumption of $50/bbl oil. The firm thinks the industry���s current trajectory, if left unchecked, will result in an oil market that is as much as 2.2M bbl/day oversupplied in 2018 and only getting worse through 2020.""Something has to give, and first and foremost we think it���s further downside to the price of crude,""��Seaport analysts say, envisioning oil revisiting the $20s early next year and averaging $35/bbl in H1 2018.Downgraded to Sell: APA, AREX, BBG, CIR, CLR, CRZO, DO, EGN, ESV, FI, HP, MRO, NBL, NFX, OII, RDC, SN, WLL, WPX, XECCut to Neutral: AXAS, BAS, BHI, CPE, CXO, DOV, DVN, ECR, ESES, ESTE, FTI, GST, HAL, HK, OTC:JONE, KEG LONE, LPI, NBR, NE, OAS, PDCE, PES, PQ, PTEN, RES, SD, SM, SNDE, SPN, TWIN, WFT ",-0.873,negative,0.6082133333333333
14,2017-06-21,-0.115,Morgan Stanley downgrades oil services as bear case odds rise,"
 Morgan Stanley lowers its outlook for the oil services industry to In-Line, citing increasing odds of a bear case scenario that sees 30%-50% downside to historical  valuation support. ""It is now consensus that global oil markets will swing into surplus in 2018, and the burden of proof that this will not happen lies with the bulls,"" Stanley analyst Ole Slorer writes, as he expects the sector to be out of favor until more material bullish data points emerge.The firm downgrades Helmerich & Payne (NYSE:HP), Oceaneering (NYSE:OII) and Frank's International (NYSE:FI) to Underweight from Equal Weight, and cuts Oil States (NYSE:OIS), Precision Drilling (NYSE:PDS), Nabors Industries (NYSE:NBR), Superior Energy (NYSE:SPN) and Independence Contract Drilling (NYSE:ICD) to Equal Weight from Overweight.Trican Well Services (OTCPK:TOLWF) is upgraded to Overweight; rating on Tidewater (NYSE:TDW) and Hornbeck Offshore (NYSE:HOS) are removed due to restructuring concerns.Source:��Bloomberg First Word  ",0.862,positive,0.6082133333333333
