,Date,changed,title,details,news_score,news_result,average
0,2018-11-15,0.433,"Helmerich & Payne EPS in-line, beats on revenue","

Helmerich & Payne (NYSE:HP): Q4 Non-GAAP EPS of $0.19 in-line; GAAP EPS of $0.02 misses by $0.14.
Revenue of $696.83M (+30.9% Y/Y) beats by $14.63M.
Shares -0.07% AH.
Press Release
 ",0.5893,positive,0.593252
1,2018-09-20,0.423,Transocean +4% after RBC upgrade cites improved offshore drilling activity,"
 Transocean (NYSE:RIG) +3.8% pre-market after RBC Capital upgrades shares to Outperform from Sector Perform with a $30 price target, doubled from the firm's previous $15 target, citing ""definitive improvement"" in offshore drilling activity and higher asset utilization leading to renewed offshore spending. Hallead also lowers his implied enterprise value to expected EBITDA for 2022 multiple to 8.2x from 8.9x while raising his mid-cycle 2022 EPS target to $2.94 from $1.35 to reflect RIG's ""meaningful and sustained pricing power.""RBC also upgrades Rowan (NYSE:RDC), Diamond Offshore (NYSE:DO) and Helmerich &��Payne (NYSE:HP) to Outperform from Sector Perform.RIG rose 4% yesterday after Wells Fargo upgraded the stock and Morgan Stanley named RIG one of its favorites among smaller caps in the offshore drilling sector. ",0.9826,positive,0.593252
2,2018-07-25,0.294,"Helmerich & Payne misses by $0.06, beats on revenue","
Helmerich & Payne (NYSE:HP): Q3 EPS of -$0.01 misses by $0.06.Revenue of $648.8M (+30.1% Y/Y) beats by $31.74M.Press Release ",-0.1316,negative,0.593252
3,2018-07-23,0.098,Oil service stocks drop as Halliburton's Q2 fails to calm concerns,"
 Oil service stocks are dropping amid Halliburton���s (HAL -8.3%) Q2 earnings  conference call, as the company comments on Permian bottlenecks, pricing and  temporary softness in the Marcellus Shale. HAL, which fell slightly in premarket trading after reporting in-line Q2 results, has plunged as much as 8% after the opening bell, the most intraday since August 2015; other sector losers include RES -6.9%, PTEN -4.6%, SPN -3.4%, PKD-OLD -3.1%, WFT -3%, NBR -2%, HP -1.5%, NOV -1.3%. Societe General's Edward Muztafago says HAL's Q2 is less about the earnings number and more about worries over transportation constraints in the Permian Basin.Wells Fargo���s Jud Bailey says investor expected a strong Q2 beat, adding that HAL���s outlook for  North American activity and margins in H2 2018 is critical; the firm sees the outlook ""likely to soften given the recent weakness in  pressure pumping supply/demand fundamentals."" (Briefing.com)HAL��CEO Jeff Miller in the conference call, on concerns about transporation bottlenecks in the Permian Basin: ""In some ways, we're a victim of our own success, as we develop longer  laterals with better production. As a result, we expect this area to  have temporary softness in the back half of 2018, but it's poised to  regain activity as a calendar turns to 2019 and additional pipeline  capacity is available... I expect that these temporary efficiency drags will create headwinds for additional upward pricing"" in Q3. ",0.9782,positive,0.593252
4,2018-05-16,0.185,Helmerich & Payne goes ex-dividend tomorrow,"
Helmerich & Payne (NYSE:HP) had declared $0.70/share quarterly dividend, in line with previous.Payable June 1; for shareholders of record May 18; ex-div May 17. ",0.5948,positive,0.593252
5,2018-04-26,0.165,"Helmerich & Payne beats by $0.01, beats on revenue","
Helmerich & Payne (NYSE:HP): Q2 EPS of -$0.05 beats by $0.01.Revenue of $577.5M (+42.5% Y/Y) beats by $14.66M.Press Release ",0.0992,positive,0.593252
6,2018-02-15,0.155,"Halliburton sand delivery problems may be widespread, analyst says","
 Oilfield service companies are mostly lower after Halliburton (HAL -2.3%) Executive VP and CFO Christopher Weber said the company's Q1 earnings would be reduced by $0.10/share due to delays in deliveries of sand used in fracking. Goldman Sachs analyst Waqar Syed thinks HAL's delivery delays likely are widespread across the industry and Q1 estimates for the entire oil service industry are at risk, although he maintains his view that fundamentals in the business are strong (source:��Briefing.com). But Tudor Pickering Holt's Byron Pope believes the delays will not affect other oilfield services companies, saying ""this feels to me as though it���s more of a Halliburton-specific issue.���SLB +0.1%, WFT -0.5%, BHGE -0.8%, NOV -0.8%, WFT -0.7%, NBR -2.4%, HP -1.2%, PTEN -1.5%, RIG -1.3%, ESV -0.8%, DO -2.5%. ",0.7488,positive,0.593252
7,2018-01-26,0.5710000000000001,"Baker Hughes price target cut, H&P's raised at Cowen","
 Baker Hughes' (BHGE +1.2%) stock price target is lowered to $50 from $60 by the analyst team at Cowen after sharply underperforming peers in the wake of Q4 results that included negative revisions, lack of free cash flow and continued negative headlines from GE. But the firm says that while moving its estimates ~10% lower it continues to see attractive value that could be unlocked as BHGE begins to demonstrate stronger free cash flow. Meanwhile, Cowen raises its target for Helmerich & Payne (HP +0.1%) to $60 from $50 after the stock outperformed peers following a strong FQ1 beat, as the firm revises its 2018-20 estimates 18%-37% higher on stronger U.S. Land margins.Cowen believes HP's dividend can be sustained and continues to support the stock's rich valuation, but with a lower cash balance than in prior periods, HP could be less defensive in a commodity pullback. Source:��Briefing.com  ",0.8899,positive,0.593252
8,2017-11-16,0.20199999999999999,Helmerich & Payne says 2017 was largest-ever ramp up in land rig activity,"
 Helmerich &��Payne (HP +1%) is higher after posting a smaller than expected FQ4 loss and a 60% Y/Y increase in revenues, also better than expected.HP says FY 2017 saw ""the largest ramp up of U.S. land rig activity in the company's history,"" closing the year with 197 rigs running compared with 95 rigs at the start of the year.HP says its U.S. Land segment recorded a $4.2M operating loss in the quarter vs. a $69.7M loss in the year-ago period, its U.S. Land market share rose to 20% from 15% a year ago, and revenue days rose ~6% Q/Q.For FY 2018, HP forecasts capex of $250M-$300M.  ",0.3362,positive,0.593252
9,2017-11-16,0.20199999999999999,"Helmerich & Payne beats by $0.05, beats on revenue","
Helmerich & Payne (NYSE:HP): Q4 EPS of -$0.14 beats by $0.05.Revenue of $532.3M (+60.5% Y/Y) beats by $40.64M.Press Release ",0.0992,positive,0.593252
