,Date,changed,title,details,news_score,news_result,average
0,2018-12-20,-3.3310000000000004,"Reuters: IBM, HPE victims of Chinese hacking","
Reuters sources?say Chinese state-backed hackers breached IBM (IBM -3.2%) and HPE (HPE -3.6%) networks. The hackers then accessed client computers.The attacks were part of the Cloudhopper security threat warned of by cybersecurity experts and government agencies since last year.Cloudhopper infiltrated the networks of IBM, HPE, and other unnamed companies multiple times and for weeks and months.IBM reportedly investigated an attack as recently as this past summer while HPE conducted an investigation early last year.Previously: Justice Departments accuses China of tech giant hacks (Dec. 20) ",-0.4977,negative,0.8037756097560975
1,2018-12-20,-3.3310000000000004,IBM taps Samsung for 7nm processes,"
IBM (NYSE:IBM) expands its strategic partnership with Samsung to include manufacturing 7nm processes.Samsung will manufacture microprocessors for?IBM Power Systems, IBM Z and LinuxONE, high-performance computing systems, and cloud offerings.IBM was using GlobalFoundries for its process technologies, but GlobalFoundries announced earlier this year it would put its 7nm FinFET program on hold indefinitely. Samsung and TSMC (NYSE:TSM) are the remaining 7nm players.The agreement expands and extends the 15-year strategic process tech R&D partnership between the companies.IBM shares are?down 0.9%?to $115.49. ",0.9713,positive,0.8037756097560975
2,2018-12-17,-3.7119999999999997,Red Hat reports mixed Q3 ahead of acquisition,"
Red Hat (NYSE:RHT) reports a Q3 EPS beat but revenue miss with revenue up 13% Y/Y. The company isn't providing guidance or hosting a conference call due to the pending acquisition by IBM (NYSE:IBM).Revenue breakdown:?Infrastructure-related subscription revenue, $534M;?Application Development-related and other emerging technology subscription, $207M.Press release.Previously: Red Hat beats by $0.09, misses on revenue (Dec. 17) ",0.8016,positive,0.8037756097560975
3,2018-12-17,-3.7119999999999997,RBC cuts IBM's target on headwinds,"
RBC Capital maintains an Outperform rating on IBM (NYSE:IBM) and lowers the price target from $175 to $167.The firm is lowering its CY19 and CY20 revenue and EPS estimates to reflect software asset sales and FX headwinds.IBM shares closed Friday?down 0.7%?to $119.90. ",0.7397,positive,0.8037756097560975
4,2018-11-19,-1.2309999999999999,NAR: TSMC close to IBM chip order,"

TSMC (NYSE:TSM) is close to securing a significant premium server chip order from IBM (NYSE:IBM), according to Nikkei Asian Review.
The order would help TSMC compete with Intel (NASDAQ:INTC) in the data center market.
The chips power the core processors of Apple's newer iPhones, but IBM wants the chips in its next-gen mainframe servers.
Intel supplies 96% of data center server chips, according to TrendForce. IBM, the world's largest server builder by revenue, designs its own chips and was using Globalfoundries before the producer halted its 7nm process tech. The suspension left TSMC as the only remaining 7nm maker.
 ",0.9221,positive,0.8037756097560975
5,2018-10-30,-4.09,International Business Machines declares $1.57 dividend,"
International Business Machines (NYSE:IBM) declares $1.57/share quarterly dividend, in line with previous.Forward yield 5.35%Payable Dec. 10; for shareholders of record Nov. 9; ex-div Nov. 8.The board also authorized $4B in additional funds for use in the company?�s stock repurchase program.With this new authorization, IBM will have approximately $5.4B for its stock repurchase program.See IBM Dividend Scorecard, Yield Chart, & Dividend Growth. ",0.9605,positive,0.8037756097560975
6,2018-10-30,-4.09,Chances of a higher Red Hat buyout?,"
Red Hat (NYSE:RHT) probably won't get an offer higher than the $190-per-share price from IBM, because it already spoke with ""all of the logical buyers"" including Google (GOOG, GOOGL), Reuters reports.Another deterrent? Should the current deal be terminated, Red Hat would be obligated to pay a $975M breakup fee.While it's possible a company - like Cisco (NASDAQ:CSCO) or Oracle (NYSE:ORCL) - could come in with a higher bid, potential suitors view IBM as a safe buyer that won't dramatically alter the competitive landscape.Previously: Analysts pick top cloud M&A targets after Red Hat acquisition (Oct. 29 2018)Previously: Red Hat would owe IBM $975M to breakup (Oct. 29 2018) ",0.9252,positive,0.8037756097560975
7,2018-10-29,-4.968,Red Hat would owe IBM $975M to breakup,"
        The IBM (NYSE:IBM) and Red Hat (NYSE:RHT) breakup fee has been revealed and Red Hat would owe $975M if it wanted to terminate the deal under specific conditions.        Recent breakup fee numbers include the $2B Qualcomm paid to walk away from NXP Semiconductors, the $8B Broadcom offered in its ultimately failed grab at Qualcomm, and the relatively low $500M AT&T would?�ve owed Time Warner.?IBM shares are?down 1%?aftermarket.????Previously: IBM acquires Red Hat for $34B (Oct. 28) ",0.5101,positive,0.8037756097560975
8,2018-10-29,-4.968,"IBM, Red Hat and recent IPOs move on $34B deal","
        IBM (NYSE:IBM) shares?drop 3.9%?premarket on its planned $34B purchase of Red Hat (NYSE:RHT), which is trading?up 49.4%.               The $190/share offer price and pending breakup fee, which will be among the largest ever in the tech industry, will likely keep away any other potential buyers.?               Recent open-source and enterprise-oriented IPOs are trading up after the deal: Cloudera (NYSE:CLDR)?+3.9%?and Hortonworks (NASDAQ:HDP)?+5.8%, which have plans to merge and Salesforce (NYSE:CRM)?+3.2%?scooped up MuleSoft. Other movers: (NASDAQ:DBX)?+2.8%, (NYSE:ZUO)?+2%,?(NASDAQ:DOCU) +3.2%.??Previously: Salesforce buys MuleSoft for $44.89 per share (March 20)Previously: Cloudera soars on Hortonworks merger (Oct. 3)Previously: IBM acquires Red Hat for $34B (Oct. 28) ",0.9181,positive,0.8037756097560975
9,2018-10-25,-0.733,Whirlpool partners with IBM Cloud,"
        Whirlpool announces it will use IBM?�s (NYSE:IBM) Cloud to run its SAP HANA environments, which includes insights into 70 manufacturing sites, distribution and call centers, and other systems.               The setup uses IBM?�s new SAP-certified IBM Services for Managed Applications to provide constant access to Whirlpool?�s critical applications including enterprise resource planning, CRM, and business warehousing.??? ",-0.2591,negative,0.8037756097560975
