,Date,changed,title,details,news_score,news_result,average
0,2018-11-27,0.45899999999999996,IBM weighs into debate over privacy regulation,"

Endorsing some EU efforts to police the web, IBM CEO Ginni Rometty is the latest to call out fellow tech companies in the debate over privacy regulation.
""The genesis of the trust crisis is the irresponsible handling of personal data by a few dominant consumer-facing platforms,"" she told an event for the EU Commission in Brussels. The websites ""have more power to shape public opinion than newspapers or the television ever had, yet they face very little regulation or liability.""
 ",0.7841,positive,0.8271857923497268
1,2018-11-16,0.127,"IBM extends ServiceNow partnership, Cloud Migration","
 IBM (NYSE:IBM) extends its partnership with ServiceNow (NYSE:NOW) to extend IBM's Multicloud Management Platform with ServiceNow's IT Service Management and IT Operations Management Solutions. IBM also announces adding new services to its IBM Cloud Migration Factory. The automation tools make it easier for an enterprise to move and modernize its infrastructure, data, applications, and workloads. IBM shares are?down 0.2%?to $121.10 in what will likely be a rough day for tech after Nvidia and AMAT reported downside guidance. ServiceNow shares are?down 1.1%?to $171.01.
Post updated to correct typo in headline, second bullet.  ",0.9599,positive,0.8271857923497268
2,2018-10-23,1.148,IBM makes its Mac provisioning code open source,"
        IBM (IBM +1%) announces it is open sourcing its Mac@IBM provisioning code.               The change will allow businesses using Mac@IBM to collect more data about employees during setup. Employees get improved app install customization. ??               Mac@IBM is an IBM-created Mac system administration program developed after IBM started giving its workers the choice to move to Macs.?                  IBM found that each Mac deployment saved it up to $543 over four years compared to Windows PCs.???  ",0.9407,positive,0.8271857923497268
3,2018-10-16,3.8489999999999998,"IBM Q3: Revenue miss, server weakness, and Cognitive Solutions drop","
        IBM (NYSE:IBM)?drops 4.3%?aftermarket following Q3 results that missed on revenue with the second consecutive revenue drop in Cognitive Solutions (the house of Watson) and a 1% Y/Y growth in the Systems server business (+25% growth last quarter.) The Systems consensus miss suggests weaker sales for the z14 servers, which launched a year ago.?           FY18 guidance reaffirmed with EPS of at least $13.80 (consensus: $13.81) and FCF of about $12M with a greater than 100% realization rate.  Revenue breakdown: Cognitive Solutions, $4.1B (-5% Y/Y in constant currency, consensus: $4.3B); Global Business Services, $4.1B (+3%, consensus: $4.06B); Technology Services & Cloud Platforms, $8.3B (flat Y/Y, consensus: $8.43B); Systems, $1.7B (+2%, consensus: $1.79B); Global Financing, $388M (-7%, consensus: $408.7M).  Strategic imperatives revenue was $39.5B, up 11% in the past 12 months. Cloud revenue was up 18% in that period to $19B.  Earnings call is scheduled for 5 PM ET with a webcast available here.  Press release.? Previously: What to watch in IBM's Q3 report (Oct. 16)Previously: International Business Machines beats by $0.02, misses on revenue (Oct. 16) ",0.9352,positive,0.8271857923497268
4,2018-10-16,3.8489999999999998,"International Business Machines beats by $0.02, misses on revenue","
International Business Machines (NYSE:IBM): Q3 Non-GAAP EPS of $3.42 beats by $0.02; GAAP EPS of $2.94 beats by $0.02.Revenue of $18.76B (-2.0% Y/Y) misses by $330M.Shares -1.9%.Press Release ",0.1058,positive,0.8271857923497268
5,2018-10-16,3.8489999999999998,What to watch in IBM's Q3 report,"
        IBM (NYSE:IBM) is set to report Q3 results aftermarket today. Here?�s what to watch with consensus estimates provided by FactSet.               Revenue consensus breakdown: Total, $19.1B; Cognitive Solutions, $4.3B; Global Business Services, $4.06B; Technology Services and Cloud Platform, $8.43B; Systems, $1.79B; Global Financing, $408.7M.?               Gross margin consensus breakdown: ?Cognitive, 78%; Global Business, 26.9%; Technology Services and Cloud, 41.2%; Systems, 52.7%; Global Financing, 29.4%.?               EPS is expected to come in at $3.39.?               Segments to watch: Cognitive Solutions (the house of Watson) had revenue down 1% Y/Y in the last quarter so investors will look for improvements. The strategic imperatives and cloud business (cloud computing and AI) represented over half of last quarter?�s revenue and Nomura expects a 7% growth here.?               Past performance: The past two quarters have featured revenue and EPS beats while gross margins fell below estimates. Revenue has beaten consensus 9 of the past 20 quarters while EPS beat 18 and had one in-line performance.               IBM shares are?up 2.3%?to $144.48.???Previously: IBM -7.8% in worst day in years as analysts parse margins (April 18)Previously: IBM +1% on Q2 revenue beat (July 18) ",0.4464,positive,0.8271857923497268
6,2018-10-15,0.27,IBM announces Multicloud manager,"
        IBM (NYSE:IBM) announces the Multicloud Manager, an open technology that makes it easier to manage, move, and integrate apps across different cloud computing infrastructures.               Multicloud Manager is optimized on the IBM Cloud but extends the ability to manage and integrate workloads on other clouds from Amazon to Microsoft to Red Hat.?               IBM shares are?up 0.7%?to $141.77. ?? ??? ",0.9337,positive,0.8271857923497268
7,2018-10-12,1.765,Anaplan starts first day up 43%,"
Connected planning platform company Anaplan (NYSE:PLAN) opens trading?up 43%?to $24.25 after pricing its IPO at $17/share, the higher end of its price rangeThe company intended to raise $248M through the offering of 15.5M shares.In the 12 months ending in July, Anaplan brought in $200M in revenue. Revenue grew 39.8% to $168M in 2018. User growth jumped from 434 in 2016 to 979 in 2018.Anaplan?�s clients include The Coca-Cola Co., VMware, and HP.Competitors: Oracle (NYSE:ORCL), SAP (NYSE:SAP), and IBM (NYSE:IBM).Previously: Anaplan prices initial public offering at top of raised range (Oct. 11)Previously: Connected planning company Anaplan files for $233M IPO (Oct. 1) ",0.8805,positive,0.8271857923497268
8,2018-09-26,2.6039999999999996,LPL Financial taps IBM exec to lead recruiting effort,"
LPL Financial (LPLA) hires Scott Posner from IBM (NYSE:IBM) as executive vice president of business development to head its recruiting efforts.Most recently, Posner served as vice president and partner at IBM.Besides sales and business leadership experience, Posner brings a ""vision for applying emerging technologies that enable productivity and improve outcomes,"" says Rich Steinmeier, managing director and divisional president of business development.Previously: LPL Financial July assets served rise 1.5% from June (Aug. 21) ",0.9322,positive,0.8271857923497268
9,2018-09-26,2.6039999999999996,IBM +1.7% premarket after upgrade by UBS to buy,"
IBM (NYSE:IBM) gains 1.7%?in premarket actions after UBS analyst John Roy raises his rating on the stock to buy from neutral, saying that consensus revenue estimate of a 0.2% decline is beatable.Furthermore, a sum-of-the-parts analysts indicates the market isn't applying any value to IBM's hardware business, he writes.He sees operating margin improving by 130 basis points on stronger services performance.Roy raises price target to $180 from $160.Source: Bloomberg First Word.Previously: Walmart will require some suppliers to use IBM's food safety solution (Sept. 24) ",0.9285,positive,0.8271857923497268
