,Date,changed,title,details,news_score,news_result,average
0,2018-12-17,-0.77,Intel plans fab expansion,"
Intel (INTC +0.4%)��says it's in the early planning phase for manufacturing site expansions in Oregon, Ireland and Israel.The multi-year construction activities should start next year.Intel will hold discussions with local governments in the coming weeks and months, and the related investments are subject to change.Key quote: ""Having additional fab space at-the-ready will help us respond more quickly to upticks in the market and enables us to reduce our time to increased supply by up to roughly 60 percent."" ",0.9004,positive,0.7539172205438066
1,2018-12-14,-0.425,Thoma Bravo could buy McAfee for over $4.2B; SYMC -4%,"
Intel (INTC -0.7%) and TPG are in early talks to sell McAfee to private equity firm Thoma Bravo for ""significantly"" more than $4.2B, according to CNBC sources.Intel bought McAfee for $7.6B in 2010.TPG acquired a stake in McAfee in 2006 that valued the cybersecurity company at $4.2B. TPG later brought Thoma Bravo in as a minority investor.Deal talks could change or fall apart. Sources say that if Thoma Bravo does buy McAfee, it will back away from a Symantec (NASDAQ:SYMC) purchase.SYMC is��down 4.1%��to $21.55. ",0.8354,positive,0.7539172205438066
2,2018-11-29,-1.146,Analysts stick up for C-band as Intelsat drops amid offering,"
 Intelsat (NYSE:I) is 10.1% lower, building on yesterday's postmarket declines from a 10M-share offering that will let BC Partners and Silver Lake cut stakes. While it's tempting to read into that a take on prospects for Intelsat's high-stakes bet on mid-band spectrum monetization, RBC Capital expects it's more about private-equity portfolio management as the year's end draws near. Operators are still in an enviable position to monetize the ""Goldilocks"" band -- sitting at the just-right spot among the three main 5G bands -- and a crystallizing event in C-band should come in early to mid-2019, analyst Wilton Fry says. He has an Outperform rating on Intelsat with a price target of $66, implying 149% upside. (h/t Bloomberg) It's hard to blame BC and Silver Lake for taking profit after the year Intelsat's had, ""but the obvious question is 'why now'?"" asks Barclays. Like RBC, the firm doesn't see new issues around C-band. C-band plan partners: OTCPK:SGBAF, OTCPK:EUTLY +1.4%, LORL +5.2%, INTC -1.8%
  ",0.9394,positive,0.7539172205438066
3,2018-11-20,-0.602,"Intelsat, partners press FCC for action on mid-band spectrum plan","
 Intelsat (I -2.7%) and its partners in the push to sell access to mid-band satellite airwaves, including SES (OTCPK:SGBAF), are pressing the FCC to wrap up consideration of its plan ""as soon as possible."" The C-Band Alliance also include Eutelsat (EUTLY -3.1%) and Telesat (LORL -1.8%), and the plan is backed by Intel (INTC -0.9%). The group's eager to move forward with repurposing its airwaves for wireless carrier use and potential 5G development, though, according to a filing detailing a staff meeting. Reps for the satellite firms have reiterated a target of clearing 200 MHz within 18-36 months of a final FCC order. (h/t Bloomberg)
Previously: RBC raises satellite targets on boost to mid-band spectrum value (Oct. 25 2018)
Previously: Satellite alliance boosts plan for monetizing spectrum (Oct. 23 2018)  ",0.9897,positive,0.7539172205438066
4,2018-11-20,-0.602,"Chips drop on Micron downgrade, iPhone demand","
 Chip stocks are feeling the pressure from Bair's two-notch downgrade for Micron citing falling memory prices. Apple iPhone demand concerns continue with Goldman slashing its target on iPhone XR weakness, pushing down chips and Apple's supply chain. The Philadelphia Semiconductor Index is down %. Among the movers: (QCOM -0.3%), (MXIM -0.4%), (IDCC -1.6%), (LRCX -0.7%), (CRUS -0.9%), (INTC -1.2%), (TSM -1.5%), (QRVO -1.3%), (CREE -1.3%), (MRVL -0.9%), (MCHP -1.1%), (MPWR -2%), (AVGO -1.9%), (SWKS -2.3%), (ASML -2.9%), (XLNX -3.3%), (AMD -2.3%), (SIMO -4.9%). Previously: Goldman slashes Apple target on XR weakness (Nov. 20) Previously: Micron -5% after two-notch downgrade (Nov. 20)  ",-0.8663,negative,0.7539172205438066
5,2018-11-19,-0.82,NAR: TSMC close to IBM chip order,"

TSMC (NYSE:TSM) is close to securing a significant premium server chip order from IBM (NYSE:IBM), according to Nikkei Asian Review.
The order would help TSMC compete with Intel (NASDAQ:INTC) in the data center market.
The chips power the core processors of Apple's newer iPhones, but IBM wants the chips in its next-gen mainframe servers.
Intel supplies 96% of data center server chips, according to TrendForce. IBM, the world's largest server builder by revenue, designs its own chips and was using Globalfoundries before the producer halted its 7nm process tech. The suspension left TSMC as the only remaining 7nm maker.
 ",0.9221,positive,0.7539172205438066
6,2018-11-19,-0.82,NAND Flash's Q3 demand growth lower than expected,"
 NAND Flash bit output increased steadily in Q3, but demand has yet to catch up despite the busy season, according to Trendforce's DRAMeXchange. Flash revenue was up 4.4% Q/Q. Headwinds: US-China trade war, Intel's (NASDAQ:INTC) CPU shortage, and lower-than-expected iPhone sales. Top NAND makers for the quarter: Samsung��(OTC:SSNNF, OTC:SSNLF), $6.05B (+2% Q/Q) and a 36% market share; Toshiba��  (OTCPK:TOSBF, OTCPK:TOSYY), $3.2B (+2%) and a 19% share; Western Digital (NYSE:WDC), $2.5B (+7%) and a 15% share; Micron (NASDAQ:MU), $2.2B (+15%) and a 13% share; SK Hynix��  (OTC:HXSCF, OTC:HXSCL), $1.8B (+6%) and an 11% share; Intel, $1.1B (0.2%) and a 6% share. The market is expected to remain in oversupply in Q4 with steeper price declines. Western Digital shares are��down 2.2%��premarket. Micron shares are��down 2%.
 Previously: WSJ: Apple cut production orders on new iPhone models (Nov. 19)  ",0.9718,positive,0.7539172205438066
7,2018-11-14,-0.29600000000000004,Intel tech reduces bus injuries by 60%,"

        Intel���s (NASDAQ:INTC) Mobileye autonomous vehicle research unit announces preliminary results of a trial using its advanced driver assistance systems in U.K. operator�� Abellio London���s buses.
               The company says its tech reduced avoidable collisions by 29% and injuries by 60%.��
               The ongoing pilot started in May and focuses on collision reductions with cyclists, motorcycles, pedestrians, and other vehicles.��
               About 66 buses on three London routes have Mobileye���s ADAS, which includes a camera on the inside of the windshield and a display in the cab. Drivers receive audio and visual alerts on impending collisions, lane deviations, and speeding.��
               Intel shares are��up 0.5%��to $47.62.����
Previously: Volkswagen, Intel, and Champion launch self-driving JV (Oct. 29)
 ",0.9375,positive,0.7539172205438066
8,2018-11-12,-1.442,Intel accelerates 5G modem production,"

        Intel (INTC -2.4%)��accelerates production of its first 5G modem by more than six months with availability in 2H19.
               Moving up production of the XMM 8160 chip allows Apple and other smartphone makers to test the chip before making the 5G-supporitng devices that will start hitting the market in 2020.��
               Rival Qualcomm (QCOM -3.3%) has at least 18 major companies including Samsung and Xiaomi signed up for its Snapdragon X50 5G NR modems. Huawei and Samsung are also working on in-house 5G modems.��
               Apple switched to using Intel modems exclusively for this year���s iPhone XS and XR models. The company reportedly plans to stick with Intel when making the jump to 5G models.����
Previously: Fast Company: Apple and Intel working together on 5G modem (Nov. 17, 2017)
Previously: Apple supplier optimistic on iPhone 8 demand; Intel replacing Qualcomm modems? (Feb. 5)
 ",0.9545,positive,0.7539172205438066
9,2018-11-12,-1.442,"Apple suppliers drop on Lumentum guide, iPhone target cuts","

        Apple���s iPhone suppliers are dropping after peer Lumentum lowered guidance on cut shipments and analysts warned of soft iPhone sales.
                  On the move: Cirrus Logic (CRUS -11%), Finisar (FNSR -4.7%), II-VI (IIVI -11.5%), STMicroelectronics (STM -7%), Skyworks Solutions (SWKS -4.5%), Qorvo (QRVO -7%), Broadcom (AVGO -6.8%), Micron (MU -4.7%), Cypress Semi (CY -3.6%), Texas Instruments (TXN -2.5%), Amkor Tech (AMKR -3%), Amphenol (AMPH -4.4%), Analog Devices (ADI -2.6%), Corning (GLW -3.3%), Diodes (DIOD -3.7%), Infineon (OTCQX:IFNNY -9.1%), Intel (INTC -2.1%), Jabil (JBL -3.8%), KEMET (KEM -9.8%), Knowles (KN -9.9%), Maxim Integrated (MXIM -1.7%), Microchip (MCHP -2.3%), NXP Semiconductors (NXPI -3.3%), ON Semi (ON -4.6%), Qualcomm (QCOM -2.7%), Seagate (STX -2.2%), TSMC (TSM -2.2%), Western Digital (WDC -4.4%).    
               Apple���s supplier list (February 2018).����
Previously: Cit steps to Skyworks sidelines (Nov. 12)
Previously: Citi trims Qorvo target (Nov. 12)
Previously: Finisar upgraded at Goldman, trimmed at Craig-Hallum after buyout deal (Nov. 12)
Previously: Lumentum drops Q2 guide on shipment cut (Nov. 12)
Previously: Apple slips after supplier cuts guidance (Nov. 12)
Previously: Analysts negative on iPhone shipments (Nov. 12)
 ",0.4908,positive,0.7539172205438066
