,Date,changed,title,details,news_score,news_result,average
0,2018-12-20,-2.1630000000000003,Microsoft issues emergency IE patch,"
Microsoft (NASDAQ:MSFT) issues a rare ""emergency"" security patch for Internet Explorer to correct a hole criminals are using to gain broad access to computer systems.The flaw sends users to an infected website that covertly downloads malware giving hackers access to any system the user can access.The issue was discovered by Google's Threat Analysis Team and affects older versions of the IE browser.Microsoft shares are up 0.9% aftermarket. ",0.3877,positive,0.7933293233082708
1,2018-12-19,-0.278,Mellanox +4% on report of Microsoft acquisition interest,"
Microsoft (MSFT +1.5%) is considering acquiring Mellanox (NASDAQ:MLNX), according to The Marker via The Times of Israel.Goldman Sachs is reportedly managing negotiations.Microsoft is a client of Mellanox's server and storage switch solutions.As always with deal rumors, take details with a grain of salt.Last month, CNBC reported that Xilinx (XLNX +0.2%) was working with Barclays on a potential Mellanox acquisition.Mellanox shares are up 4.3% to $92.72. ",0.7789,positive,0.7933293233082708
2,2018-11-29,-0.9229999999999999,WSJ: White House plans tech exec roundtable,"

The White House will hold an innovation roundtable with tech executives next week, according to WSJ sources.
The guest list could include Microsoft's (MSFT -0.9%) Satya Nadella, Alphabet's (GOOGL -0.2%) Sundar Pichai, and Oracle's (ORCL -0.7%) Safra Catz.
Pichai is also expected to testify before Congress next week. Microsoft and Oracle are among those still in the running for the $10B, winner-takes-all JEDI cloud contract from the Pentagon.
Previously: Google drops out of race for $10B Pentagon cloud contract (Oct. 8)
Previously: Google CEO will testify to Congress next week (Nov. 28)
 ",0.8988,positive,0.7933293233082708
3,2018-11-29,-0.9229999999999999,Microsoft Surface monitor could arrive in 2020,"

Brad Sams' new book Beneath a Surface details the history of Microsoft's (MSFT -0.8%) Surface brand and the last chapter includes a hardware roadmap for 2019 and part of 2020.
Current plans include: Surface-branded ambient computing device (Spring 2019), Surface Pro refresh with USB-C and smaller bezels (4Q19), AMD-based Surface Laptop (4Q19); Foldable tablet named Andromeda with dual screens and LTE connectivity (2H19), Surface Book update (1Q20), and a Surface monitor (2020).
Sams is a reliable Microsoft watcher but, as always, roadmap plans can change for a variety of reasons.
Previously: Microsoft plans Xbox for 2020, HoloLens for 2019, and Surface products this year (June 12)
 ",0.4088,positive,0.7933293233082708
4,2018-11-29,-0.9229999999999999,U.S. Army could become major HoloLens customer,"

Microsoft (NASDAQ:MSFT) is readying its HoloLens augmented reality headset for combat, winning a $480M military contract with the U.S. Army to help soldiers during training and military missions.
The two-year deal may result in follow-on orders of more than 100K HoloLens headsets.
Magic Leap was also pursuing the contract according to the report in Bloomberg.
 ",0.6308,positive,0.7933293233082708
5,2018-11-20,-2.887,Key October releases pace videogame sales to record,"
 Videogame sales leapt 73% to an October record, with gains in all categories as a pair of heavily awaited software titles gave the holiday season a jump start. It was the seventh straight month of Y/Y gains for the sales numbers. Overall sales rose 73% to $1.545B, according to NPD Group. That's the highest October spend recorded since NPD began tracking in 1995, surpassing the $1.36B in October 2008. Hardware rose 26% to $300M, accessories gained 54% to $280M, and software more than doubled to $965M. Year-to-date overall sales are up 21%, to $10.5B (highest since the January-October period in 2010). Hardware was paced by growth in PlayStation 4 (NYSE:SNE) and Xbox One (NASDAQ:MSFT) with declines elsewhere. PS4 was the best-selling platform in units and dollars. And in accessories, spending on headsets and headphones doubled Y/Y (led by Turtle Beach (NASDAQ:HEAR)), while gamepad spending was up 63%, analyst Mat Piscatella notes. Software's all-time high was led by the stellar launch of Call of Duty: Black Ops 4 (NASDAQ:ATVI), which immediately becomes the year's best-selling game. Meanwhile, with just nine days of sales, Red Dead Redemption 2 (NASDAQ:TTWO) slotted into second and became the No. 2 best-seller YTD. Those were followed up by a strong holdover at No. 3 by Assassin's Creed: Odyssey (OTCPK:UBSFY). Rounding out the software top 10: No. 4, NBA 2K19 (TTWO); No. 5, Super Mario Party (OTCPK:NTDOY); No. 6, Soul Calibur VI (OTC:NCBDY); No. 7, FIFA 19 (NASDAQ:EA); No. 8, Marvel's Spider-Man (SNE); No. 9, Madden NFL 19 (EA); No. 10, WWE 2K19 (TTWO). Related tickers: OTCPK:CCOEY. Retail stock: GME +1.7% after hours. ETFs: GAMR, ESPO  ",0.9818,positive,0.7933293233082708
6,2018-11-20,-2.887,Microsoft adds security key support,"

Microsoft (MSFT -3.1%) announces security key support that allows users to log into accounts or devices without passwords or usernames.
The security keys are enabled through the Edge browser. The move makes Microsoft the first company to support password-less authentication using the FIDO2 WebAuthn and CTAP2 standards.
Users can either set up Windows Hello's biometric facial recognition or use a physical USB security key from Yubico or FEITIAN that supports the FIDO2 standard.
 ",0.9542,positive,0.7933293233082708
7,2018-11-19,-3.641,Microsoft acquisition boosts 365 virtualization,"

Microsoft (MSFT -3.6%) acquires next-gen app-provisioning platform FSLogix for undisclosed terms.
FSLogix tech reduces the time, resource, and labor requirements for supporting virtualization.
The acquisition will help extend the virtualization capabilities for Microsoft 365 customers.
Last month, Microsoft announced the Windows Virtual Desktop service that lets customers run a modern desktop on the Azure cloud platform.
 ",0.939,positive,0.7933293233082708
8,2018-11-14,-1.4980000000000002,Microsoft's new products tie to acquisitions,"

 Microsoft (NASDAQ:MSFT) unveils the virtual assistant accelerator on GitHub to help partners develop branded assistants.

The accelerator is essentially a template utilizing pre-made skills to find local services or answer simple questions using the Microsoft Bot Framework and conversational AI.
The product ties in nicely with the company’s newly acquired bot company.
Microsoft also launches the public preview for the PlayFab multiplayer server platform that helps developers handle the backend requirements for this type of online game. The tech giant acquired PlayFab earlier this year to integrate live games into the Azure cloud. 
Previously: Microsoft acquires backend game platform provider for Azure (Jan. 29)
Previously: Microsoft launches cloud gaming division, offers $250K CPU bug bounty (March 15)
Previously: Microsoft acquires AI bot startup (Nov. 14)
 ",0.9686,positive,0.7933293233082708
9,2018-11-14,-1.4980000000000002,Microsoft acquires AI bot startup,"

        Microsoft (NASDAQ:MSFT) will acquire Xoxco, a software developer focusing on conversational AI and bot development. Terms weren’t disclosed.
               The Austin-based startup was founded nearly a decade ago and raised $1.5M in private funding. 
               Microsoft’s AI-related acquisitions this year:  Semantic Machines, Bonsai, and Lobe. 
               Microsoft shares are up 0.5% premarket to $107.51.  
Previously: Microsoft acquires AI startup Lobe (Sept. 13)
Previously: Microsoft acquires machine learning startup for autonomous systems (June 20)
Previously: Microsoft dips further into 'conversational AI' (May 21)
 ",0.8508,positive,0.7933293233082708
