,Date,changed,title,details,news_score,news_result,average
0,2018-12-13,0.36700000000000005,BlackRock and Microsoft collab on retirement platform,"
BlackRock and Microsoft (MSFT +0.1%) are jointly exploring next-generation solutions to help Americans with retirement needs.The companies are exploring a platform to help people improve saving and investment habits through regular engagement. BlackRock will bring investment products it will design and manage to the table while Microsoft supplies the technology.Microsoft CEO Satya Nadella: “Today millions of Americans are struggling to achieve their financial goals for retirement. Together with BlackRock we will apply the power of the cloud and AI to introduce new solutions that address this important challenge and reimagine retirement planning.” ",0.9682,positive,0.8242555555555556
1,2018-12-11,0.992,Invesco QQQ ETF (QQQ) November Summary,"
November monthly performance was: -1.96%AUM of $66B52-week performance vs. the S&P 500 is: +5%$0.33 in dividends were paid in NovemberTop 10 Holdings as of 11/29/2018: Apple Inc (AAPL): 10.91098%, Microsoft Corp (MSFT): 10.63103%, Amazon.com Inc (AMZN): 10.26999%, Alphabet Inc Class C (GOOG): 4.79084%, Facebook Inc A (FB): 4.20797%, Alphabet Inc A (GOOGL): 4.11657%, Cisco Systems Inc (CSCO): 2.80112%, Intel Corp (INTC): 2.76728%, Comcast Corp Class A (CMCSA): 2.26782%, PepsiCo Inc (PEP): 2.10457% ",0.6276,positive,0.8242555555555556
2,2018-12-10,2.748,U.S. stock markets mixed as Nasdaq edges up,"
The tech-heavy Nasdaq creeps up to a gain in early afternoon trading as the Dow and S&P 500 pare earlier losses.Nasdaq +0.2%, S&P -0.5%, Dow -0.7%.By sector, technology rises 0.3%. Among individual stocks, Alphabet (GOOG +0.1%), Facebook (FB +2.1%), and Microsoft (MSFT +1.2%) advance.Financials -1.4% and basic materials -1.4%, which includes oil & gas, experience the biggest sector declines. Individual laggards include Wells Fargo (WFC -3%), Bank of America (BAC -2.9%), Citi (C -2.4%), Occidental Petroleum (OXY -3.5%), Exxon Mobil (XOM -2.4%), and EOG Resources (EOG -2.7%).Crude slides 1.5% to $51.81.U.S. 10-year Treasury price slips, lifting yield by almost 1 basis point to 2.86%. Dollar index rises 0.5% to 97.14.Previously: Stock losses mount amid growth concerns, trade uncertainty (Dec. 10) ",0.8244,positive,0.8242555555555556
3,2018-12-10,2.748,Report: Zuckerberg turns to Microsoft's Smith for advice,"
The Information sources say Facebook (FB +2.2%) CEO Mark Zuckerberg has spoken to Microsoft (MSFT +0.2%) president and CLO Brad Smith for advice on how to rebuild trust at his company.Zuckerberg occasionally turns to Bill Gates for advice and Gates recommended speaking with Smith.Though the discussion wasn't a formal job offer, Smith told Zuckerberg he was happy at Microsoft. ",0.853,positive,0.8242555555555556
4,2018-11-30,0.6940000000000001,Microsoft overtakes Apple as most valuable U.S. company,"

Microsoft (NASDAQ:MSFT) has reclaimed its title as the most valuable U.S. company by market cap at the close of trading, unseating Apple (NASDAQ:AAPL) after a more than six-year run in the top spot.
MSFT ended the week with a stock market value of $851.2B, while AAPL's market cap has slipped to $847.4B after topping $1T in August.
The two stocks jostled for the top spot all week long, with MSFT's market cap topping AAPL at several points  in intraday trading but not at the close.
AAPL shares have tumbled 19.6% since Nov. 1, when the company  warned that Q4 sales likely would miss Wall Street estimates.
But don't count out AAPL, Heartland Financial's Nancy Tengler tells CNBC: ""Clearly the fundamentals are better for Microsoft in terms of which space they're in - the cloud space, the growth they're experiencing - but I'm not willing to walk away from Apple at these levels.""
Tengler says she is betting that AAPL will make a successful transition to the  next big thing and will bring Wall Street along, although it may take some  time.
 ",0.9793,positive,0.8242555555555556
5,2018-11-30,0.6940000000000001,Videogame sales rise 24% in Q3 summary look,"
 A Q3 wrap-up of videogame sales showed consumer spending in the sector rose 24% Y/Y, hitting $9.1B overall. That's the July-September period before the key holiday release season, which kicked off with a bang last month via a record October spurred by new Call of Duty (ATVI -6.1%) and Red Dead Redemption 2 (TTWO -2.5%) releases. Videogame content sales were up 25% to $7.9B, NPD Group says, with broad gains led by mobile games and digital content for consoles/portables. Hardware sales were up 11% for the quarter, to $737M, while accessory sales rose 44% with all-time quarterly records in headsets as well as in game cards. The software releases with the biggest quarterly impact on dollar sales, according to NPD Group? Alphabetically: Candy Crush Saga (NASDAQ:ATVI), Fortnite (Epic, 40% owned by OTCPK:TCEHY), Madden NFL 19 (EA -2.9%), Marvel's Spider-Man (SNE +1.9%) and NBA 2K19 (NASDAQ:TTWO). Weighing on industry shares today is a dim forecast from GameStop, which projects holiday sales skewing toward hardware from software. Industry tickers: MSFT +0.2%, OTCPK:NTDOY -1.6%, HEAR -5.2%, OTCPK:UBSFY +1.7%, OTC:NCBDY, OTCPK:CCOEY -5.1%, GME -6.4%. ETFs: GAMR -0.7%, ESPO -0.6%
  ",0.9719,positive,0.8242555555555556
6,2018-11-28,3.948,Microsoft declares $0.46 dividend,"

Microsoft (NASDAQ:MSFT) declares $0.46/share quarterly dividend, in line with previous.

Forward yield 1.66%
Payable March 14; for shareholders of record Feb. 21; ex-div Feb. 20.
See MSFT Dividend Scorecard, Yield Chart, & Dividend Growth.
 ",0.8561,positive,0.8242555555555556
7,2018-11-27,0.665,FTC head promises look at videogame 'loot boxes',"
 As part of today's hearing into FTC oversight, agency Chairman Joe Simons promised he would look into videogame ""loot boxes"" -- a method of recurring revenue that's growing increasingly important for big game releases. Such boxes, which in the game contain virtual items like powerful weapons or equipment, can be bought with real money and are a growing revenue stream for videogame makers faced with huge budgets for their games. Those boxes are ""endemic"" to the industry from console flagships to smartphone apps, Sen. Maggie Hassan said in the hearing. She shares other observer's concerns about such boxes contributing to problem gambling. Sen. Ed Markey expressed concerns about manipulative loot-box marketing, including a character who continues to cry if the child playing the game doesn't make a purchase. Key videogame software makers: ATVI, EA, TTWO, SNE, MSFT, OTCPK:NTDOY, OTCPK:UBSFY, OTC:NCBDY, OTCPK:CCOEY. ETFs: GAMR, ESPO
Previously: Key October releases pace videogame sales to record (Nov. 20 2018)  ",0.9768,positive,0.8242555555555556
8,2018-11-27,0.665,Microsoft takes market cap crown from Apple,"

Microsoft (NASDAQ:MSFT) briefly surpassed Apple (NASDAQ:AAPL) on Monday as the world's largest public company, reaching a market cap value of $812.93B.
Apple's stock has seen phenomenal growth over the past five years, culminating in a $1T valuation earlier this year, but investors are concerned about slowing iPhone sales and Wall Street estimates for the holiday quarter.
While iPhones make up nearly 60% of Apple's entire revenue, Windows, Xbox, and Surface make up just 36% of Microsoft's sales.
 ",0.9317,positive,0.8242555555555556
9,2018-11-21,1.389,"Microsoft, Google making Chrome work for Windows ARM","

Microsoft (MSFT +2.3%) joins Qualcomm (QCOM +1.7%) and Google (GOOG +1.9%)(GOOGL +2%) to make a version of the Chrome browser that works on Windows on ARM.
9to5Google spotted that Microsoft engineers are contributing code to Chrome to help make it a native app for Windows on ARM, MSFT's second attempt at PCS that run on ARM processors.
The latest attempt can run x86 programs in an emulator, which expands the software the PCs can use. But apps that aren't native can suffer in terms of performance.
Chrome, the most popular third-party app on Windows, runs on ARM systems but doesn't compile properly on Windows on ARM.
Where does Qualcomm come in? Last month, an exec said the company was working on bringing native ARM port to Windows.
 ",0.9418,positive,0.8242555555555556
10,2018-11-16,1.002,"Microsoft, Nintendo loyal to E3 as PlayStation exits","

Microsoft (MSFT +0.2%) and Nintendo (OTCPK:NTDOY -8.7%) remain committed to the E3 video expo despite Variety's report that Sony's (SNE -2.5%) PlayStation won't attend next year's show.
Nintendo of America President and COO Reggie Fils-Aime calls E3 an ""outstanding opportunity for us to share new games and experiences with fans and business partners from across the globe.""
Phil Spencer, Microsoft's EVP of gaming: E3 is an incredible platform to showcase the vibrancy and creativity of the video game industry. The ESA continues to expand the event’s reach to fans and the industry, both in attendance and online, and we look forward to what’s ahead at E3 2019.”
In 2018, E3 had over 2.9M concurrent viewers on Twitch 55M Facebook interactions, 15M tweets, and 69M YouTube viewers of game trailers.
PlayStation will skip E3 for the first time in its 24-year history as the show starts to have more offshoot events and companies (including Nintendo) focus more on online reception.
Key quote from Sony's statement: “PlayStation fans mean the world to us and we always want to innovate, think differently and experiment with new ways to delight gamers. As a result, we have decided not to participate in E3 in 2019. We are exploring new and familiar ways to engage our community in 2019 and can’t wait to share our plans with you.”
 ",0.9892,positive,0.8242555555555556
11,2018-11-15,2.292,Microsoft alliance with Facebook signals shift in AI approach,"
 In a team-up with Facebook (FB -0.5%), Microsoft (MSFT +2.2%) is shifting course in its approach to artificial intelligence software, opting for the social network's particular flavor in recent weeks, CNBC says. TensorFlow from Google (GOOG +1.9%, GOOGL +1.5%) is the most popular open-source AI software, and Facebook came out with its answer (PyTorch) in late 2016, not too long after Microsoft put its Cognitive Toolkit on GitHub with a more permissive open-source license. While Microsoft still updates Cognitive Toolkit, it's clearly acknowledging the quick adoption of Facebook's PyTorch and is working to add its strengths to the system. ""The momentum of community, really, is around PyTorch and TensorFlow, and so that's where were throwing the bulk of our emphasis,"" says Microsoft's Eric Boyd. ""Having community adoption is hugely important.""  ",0.9626,positive,0.8242555555555556
12,2018-10-25,5.907,Microsoft guides Q2; Wedbush out positive,"
        Microsoft (NASDAQ:MSFT) guided Q2 on the earnings call last night with revenue from $31.9B to $32.7B (consensus: $32.25).               Guidance by segment: Productivity and Business Processes, $9.95B to $10.15B (consensus: $10.03B); Intelligent Cloud (now with GitHub), $9.15B to $9.35B ($9.16B); More Personal Computing, $12.8B to $13.2B ($10.18B).                Earnings call transcript.                Wedbush is out positive on Microsoft’s earnings report, saying the company “just delivered an eye popping cloud beat and a performance that speaks to a secular cloud story which is still in the early innings of playing out and supports our thesis that core enterprise cloud spending is actually accelerating into 2019.”                The firm says Microsoft is “front and center along” along with Amazon Web Services in a “two horse race.”                Wedbush reiterates its Outperform rating and $140 price target.                Source: Research note.                Microsoft shares are up 3% premarket to $105.36.  Previously: Microsoft +2.9% on Q1 strength in cloud, Surface, and gaming (Oct. 24) ",0.9912,positive,0.8242555555555556
13,2018-10-25,5.907,Tech giants seek assurances over Brexit,"
The U.K. chiefs of Microsoft (NASDAQ:MSFT), Facebook (NASDAQ:FB) and Google (GOOG, GOOGL) met with British government ministers on Wednesday to seek assurances over the impact of a no-deal Brexit on jobs and investment, the Telegraph reports.The executives, part of the government's Digital Economy Council, particularly expressed mounting concern over the potential impact on staff visas, rules on data sharing and U.K. research and education. ",0.819,positive,0.8242555555555556
14,2018-10-19,0.158,Reuters: CrowdStrike considers 1H19 IPO,"
        Cybersecurity software company CrowdStrike has hired Goldman Sachs to prepare for an IPO that could come in 1H19, according to Reuters sources.               CrowdStrike wants to be valued at more than the $3B funding assigned during a funding round earlier this year.                Competitors in the endpoint protection space include Carbon Black (NASDAQ:CBLK), Symantec (NASDAQ:SYMC), Microsoft (NASDAQ:MSFT), and Palo Alto (NYSE:PANW).   ",0.6479,positive,0.8242555555555556
15,2018-10-19,0.158,Microsoft will tie CEO's pay to LinkedIn performance,"
        Microsoft (NASDAQ:MSFT) will tie LinkedIn’s performance to Satya Nadella’s paycheck, which owes one-third of its annual total to performance stock awards.               LinkedIn is one of six areas tracked alongside metrics like Windows 10 monthly active devices. But LinkedIn will get the headlines because Microsoft paid $27B for the company two years ago and it’s a new PSA consideration.                According to its regulatory filing, Microsoft will count the “number of times longed-in members visit LinkedIn, separated by 30 minutes of inactivity"" on both desktop and mobile devices over a three-year period and give out awards accordingly.                Other execs with checks tied to this plan: CFO Amy Hood, EVPs Jean-Philippe Courtois and Peggy Johnson, and CLO Brad Smith.                The LinkedIn-based payouts won’t happen until 2020.   ",0.9732,positive,0.8242555555555556
16,2018-10-19,0.158,Microsoft launches Spend app that could compete with SAP,"
        Microsoft (MSFT +1.1%) launches the spending tracking app Spend to the App Store.               Spend offers automatic expense tracking for taxes or work reimbursement purposes.                The project comes from Microsoft Garage, the internal incubator, and tracks a bank account/credit card to identify expenses. The user can mark the expenses as personal or business and add tags and notes.  There’s also the option for receipt scanning.                If Spend gains traction, the app would compete with SAP’s (SAP +2%) Concur.  Previously: EU approves Microsoft's GitHub buy (Oct. 19) ",0.7052,positive,0.8242555555555556
17,2018-10-19,0.158,EU approves Microsoft's GitHub buy,"
        The European Commission approves Microsoft’s (NASDAQ:MSFT) $7.5B acquisition of GitHub without conditions.               Key quote: “The Commission found that the combination of Microsoft and GitHub’s activities on these markets would raise no competition concerns because the merged entity would continue to face significant competition from other players on both markets.”                The acquisition was announced in June.                Microsoft shares are up 1% to $109.54.    Previously: Microsoft acquires GitHub for $7.5B (June 4)Previously: CNBC: Google was in talks for GitHub buy but Microsoft won out (June 5)Previously: Reuters: EU will approve Microsoft's GitHub buy (Oct. 8) ",0.9509,positive,0.8242555555555556
18,2018-10-12,3.615,Microsoft +3% after Macquarie upgrade,"
        Macquarie upgrades Microsoft (NASDAQ:MSFT) from Neutral to Outperform with a $121 price target, a 14% upside to yesterday’s close.               Analyst Sarah Hindlian cites recent spending checks and long-term trends, calling the company “a name we have sorely missed.”                Microsoft shares are up 3.1% premarket to $109.20.   ",0.8294,positive,0.8242555555555556
19,2018-09-27,0.425,Consumer Reports returns recommendation to Microsoft Surface products,"
 Consumer Reports returns its recommendation to Microsoft’s (NASDAQ:MSFT) Surface laptops after removing the designation last year over reliability concerns.”               CR senior research associate Martin Lachter: “Microsoft’s reliability is now on-par with most other laptop brands.”                  A prior survey had shown 25% of Surface owners having problems by the end of their second year of ownership. CR says that’s no longer the case but didn’t provide a new number.                Now recommended: Surface Pro, Surface Laptop, and Surface Book 2. But not the Surface Go, which misses out due to lab testing performance, not reliability concerns.                Microsoft shares are up 0.6% to $114.62.    Previously: Consumer Reports removes recommendation for Microsoft's Surface (Aug. 10, 2017)Previously: Microsoft disagrees with Consumer Reports decision on Surface devices (Aug. 11, 2017)Previously: Microsoft internal memo pushes back on Consumer Reports decision (Aug. 14, 2017) ",0.7806,positive,0.8242555555555556
20,2018-09-24,0.405,Microsoft unveils AI-focused Azure Data Box,"
        Microsoft (MSFT +0.2%) unveils the Azure Data Box Edge, which allows businesses to run AI computations efficiently without installing special processors.               The product improves upon Amazon’s (AMZN +0.3%) Snowball, which blends specialized hardware with its AWS cloud services. Snowball sends customers hardware, which the customer fills up with data, then mails it back for long-term AWS cloud storage.                Microsoft came out with its direct Snowball competitor last year with Azure Data Box, which had room for 100T of data.                The new product has a tighter focus on AI with the chip in the Box Edge handling inference about new data.  The chips are field-programmable gate arrays (FPGAs) that can be bought and adjusted to deliver high performance for specific computing jobs.               The Box Edge works with Microsoft’s open-source software, making third-party software customizations a possibility.   Previously: Microsoft announces new products, partners with SAP and Adobe (Sept. 24) ",0.9626,positive,0.8242555555555556
21,2018-09-24,0.405,"Microsoft announces new products, partners with SAP and Adobe","
Microsoft (MSFT -0.3%), Adobe (ADBE +0.3%), and SAP (SAP +0.5%) announce the partnered Open Data Initiative to create common data standards and put the customer “back in control of their own data.”The Initiative will eliminate data silos by combining all of a single customer’s data into one real-time and renewable package for the company to retain.Microsoft also introduced new offerings and provided product updates during its Ignite conference.Slack rival Teams has 329K organizations as customers including 87 of the Fortune 100.Microsoft Windows and Office apps will get a search box that checks both Bing and internal documents and data. Office apps users will also be able to share documents with LinkedIn direct connections.Microsoft says it will spend $40M to put its AI products to work helping refugees, disaster response, and children in conjunction with aid organizations like World Bank. ",0.9304,positive,0.8242555555555556
