,Date,changed,title,details,news_score,news_result,average
0,2018-12-28,-0.39,Sony ramps 3D sensors on smartphone demand,"
Sony (SNE -0.3%) is boosting production of its next-gen sensor for 3D cameras by an unspecified amount after interest from customers including Apple.Sony will kick off mass production late next summer to meet demand for the sensors, which power the 3D cameras found in smartphones.SNE holds about half of the camera chip market with other clients including Alphabet and Samsung.Rivals: Lumentum (LITE +2%), STMicroelectronics (STM +1.7%). ",0.8948,positive,0.7392436123348017
1,2018-12-24,-0.85,"InterDigital, Sony extend wireless JV","
InterDigital (NASDAQ:IDCC) and Sony (NYSE:SNE) extend the terms of the Convida Wireless JV to sharpen its 5G focus.The agreement will include Sony investing in InterDigital's IoT platform Chordant and InterDigital providing a patent license. ",0.8499,positive,0.7392436123348017
2,2018-12-24,-0.85,'Aquaman' dominates pre-Christmas weekend box office with $72M debut,"
AT&T (NYSE:T) subsidiary Warner Bros' (T) Aquaman won the pre-Christmas weekend U.S. box office race with a $72M debut including previews, with Disney's (NYSE:DIS) Mary Poppins Returns a distant second at $22.2M.Aquaman, which stars Jason Momoa in the title role, already had amassed $410M overseas for a global total of $482.8M.Rounding out the top five were Paramount's (NASDAQ:VIAB) Bumblebee at $20.9M in its debut weekend, Sony's (NYSE:SNE) Spider-Man: Into The Spider-Verse with $16.3M for a 10-day total of $65M, and Warner Bros' The Mule with $9M and a total $35M so far. ",0.9081,positive,0.7392436123348017
3,2018-12-20,-0.49,Rosenblatt: Apple could cut 4M iPhone units,"
Rosenblatt thinks Apple (AAPL -2.2%) could cut iPhone production by another 4M units for the March quarter due to China weakness related to the Huawei CFO arrest.Analyst Jun Zhang notes that many Chinese companies showed support for Huawei by subsidizing employees who purchased devices from the company instead of iPhones.Zhang thinks the iPhone XR will take the highest cuts at about 2.5M with the XS dropping 1M and the XS Max trimming 500K units.Zhang warns investors to be cautious on Skyworks (SWKS -0.7%), Taiwan Semi (TSM -0.6%), Qorvo (QRVO +0.5%), Cirrus (CRUS +0.2%), and Knowles (KN +0.1%).Rosenblatt is positive on Viavi (VIAV -0.4%), Lumentum (LITE -1.8%), and Sony (SNE -0.5%) on Android adoption of 3D sensing next year.Source: Bloomberg First Word. ",0.804,positive,0.7392436123348017
4,2018-11-20,-1.46,Key October releases pace videogame sales to record,"
 Videogame sales leapt 73% to an October record, with gains in all categories as a pair of heavily awaited software titles gave the holiday season a jump start. It was the seventh straight month of Y/Y gains for the sales numbers. Overall sales rose 73% to $1.545B, according to NPD Group. That's the highest October spend recorded since NPD began tracking in 1995, surpassing the $1.36B in October 2008. Hardware rose 26% to $300M, accessories gained 54% to $280M, and software more than doubled to $965M. Year-to-date overall sales are up 21%, to $10.5B (highest since the January-October period in 2010). Hardware was paced by growth in PlayStation 4 (NYSE:SNE) and Xbox One (NASDAQ:MSFT) with declines elsewhere. PS4 was the best-selling platform in units and dollars. And in accessories, spending on headsets and headphones doubled Y/Y (led by Turtle Beach (NASDAQ:HEAR)), while gamepad spending was up 63%, analyst Mat Piscatella notes. Software's all-time high was led by the stellar launch of Call of Duty: Black Ops 4 (NASDAQ:ATVI), which immediately becomes the year's best-selling game. Meanwhile, with just nine days of sales, Red Dead Redemption 2 (NASDAQ:TTWO) slotted into second and became the No. 2 best-seller YTD. Those were followed up by a strong holdover at No. 3 by Assassin's Creed: Odyssey (OTCPK:UBSFY). Rounding out the software top 10: No. 4, NBA 2K19 (TTWO); No. 5, Super Mario Party (OTCPK:NTDOY); No. 6, Soul Calibur VI (OTC:NCBDY); No. 7, FIFA 19 (NASDAQ:EA); No. 8, Marvel's Spider-Man (SNE); No. 9, Madden NFL 19 (EA); No. 10, WWE 2K19 (TTWO). Related tickers: OTCPK:CCOEY. Retail stock: GME +1.7% after hours. ETFs: GAMR, ESPO  ",0.9818,positive,0.7392436123348017
5,2018-11-16,-0.84,Variety: Two studios set to restart video-release fight,"
 At least two Hollywood majors -- Warner Bros. (NYSE:T) and Universal (NASDAQ:CMCSA) -- are ready to re-stir the hornet's nest around video-on-demand release windows, Variety reports. That could restart tensions and a larger fight with large theater chains like AMC, Cineworld and Cinemark. Studios had pressed for a deal where they would be able to pursue earlier home releases, to help beat piracy and better monetize the expensive marketing campaigns that peak with theatrical releases, in return for more profit participation. But talks broke down with the transformative news of Disney's (NYSE:DIS) deal to acquire Fox's (FOX, FOXA) film/TV assets; Disney is considered a defender of the traditional theatrical model. And Time Warner, another advocate for shorter windows, had to turn its attention to its acquisition by AT&T (T). Affecting various content creators' take on the windowing question is the rapidly changing development of their own streaming services; AT&T and Comcast are at the vanguard of restarting talks, and AT&T plans a large Warner-based streaming service next year while Comcast is exploring options for digital video. Key exhibitor stocks: AMC, CNK, OTC:CNWGY. Other studios: VIA, VIAB, SNE  ",0.97,positive,0.7392436123348017
6,2018-11-16,-0.84,"Microsoft, Nintendo loyal to E3 as PlayStation exits","

Microsoft (MSFT +0.2%) and Nintendo (OTCPK:NTDOY -8.7%)��remain committed to the E3 video expo despite Variety's report that Sony's (SNE -2.5%) PlayStation won't attend next year's show.
Nintendo of America President and COO Reggie Fils-Aime calls E3 an ""outstanding opportunity for us to share new games and experiences with fans and business partners from across the globe.""
Phil Spencer, Microsoft's EVP of gaming: E3 is an incredible platform to showcase the vibrancy and creativity of the video game industry. The��ESA��continues to expand the event���s reach to fans and the industry, both in attendance and online, and we look forward to what���s ahead at E3 2019.���
In 2018, E3 had over 2.9M concurrent viewers on Twitch 55M Facebook interactions, 15M tweets, and 69M YouTube viewers of game trailers.
PlayStation will skip E3 for the first time in its 24-year history as the show starts to have more offshoot events and companies (including Nintendo) focus more on online reception.
Key quote from Sony's statement: ���PlayStation��fans mean the world to us and we always want to innovate, think differently and experiment with new ways to delight gamers. As a result, we have decided not to participate in��E3��in 2019. We are exploring new and familiar ways to engage our community in 2019 and can���t wait to share our plans with you.���
 ",0.9896,positive,0.7392436123348017
7,2018-11-14,-0.1,CPI report read-outs,"
 A couple of other notable price movements out of today's CPI report other than the energy component (+9% Y/Y) are listed below. Pork prices fell 3.5% Y/Y on an unadjusted basis in another margin squeezer for Tyson Foods (NYSE:TSN) and Hormel (NYSE:HRL). Packaged coffee prices were down 1.7%. J.M. Smucker (NYSE:SJM), Dunkin' Brands (NASDAQ:DNKN), Starbucks (NASDAQ:SBUX) and Kraft Heinz (NASDAQ:KHC) are battling new competition. The major appliances category saw a 8% jump in prices. Whirlpool (NYSE:WHR), Best Buy (NYSE:BBY) and Home Depot (NYSE:HD) stand to benefit. Women's apparel prices were off 2.5%, driven lower by a 5.5% decline in outerwear. Nordstrom (NYSE:JWN), L Brands (NYSE:LB) and Kohl's (NYSE:KSS) are in that mix. TV prices sank 18% compared to a year ago. The declining price tend on UHD TVs is a factor for Samsung (OTC:SSNLF, OTC:SSNNF), LG Electronics (OTC:LGEAF) and Sony (NYSE:SNE). Toy prices fell 10% as the Toys ""R"" Us liquidation still weights. Heads-up Hasbro (NASDAQ:HAS) and Mattel (NASDAQ:MAT). Previously: Core CPI +0.2% as expected (Nov. 14)  ",0.9629,positive,0.7392436123348017
8,2018-11-12,-2.54,'Grinch' steals box-office lead; 'Venom' blows up in China,"
 An update on a classic holiday tale was the box-office standout on a week with wide releases picking up, as Dr. Seuss' The Grinch (CMCSA -0.4%) ran away with the weekend grosses. The film drew $66M to easily top repeat visitor Bohemian Rhapsody (FOX +0.1%, FOXA +0.2%), which fell off nearly 40% W/W to end with $30.85M. Those two films topped relatively disappointing debuts by war/horror film Overlord (VIA +2.6%, VIAB +1.9%), which was third with $10.1M, and The Girl in the Spider's Web: A New Dragon Tattoo Story (SNE -4.3%), which settled at No. 5 with $8M, behind The Nutcracker and the Four Realms (DIS -0.7%), fourth with $9.6M. Among longer-running successes, A Star is Born's (T +0.8%) $8M in its sixth week pushed its domestic total over $178M and worldwide gross to $322.8M, and a $100M-plus opening in China pushed Venom (NYSE:SNE) to a cumulative worldwide total of $673.5M so far.  ",0.938,positive,0.7392436123348017
9,2018-10-29,-1.41,Strong repeat from 'Halloween' marks studios' best October ever,"
 Box office receipts hit an October record with the help of a strong repeat at the top of the chart from Halloween (CMCSA +3.4%), against no significant new competition. The horror thriller -- the 11th in a franchise -- fell off 58% from its strong debut weekend but pulled in $32B to repeat on top, ahead of A Star is Born (T +3.1%), drawing $14.1M in its fourth week, and Venom (SNE -1.2%), with $10.8M in its fourth week. Of those two, Venom has the better domestic four-week total with $187.3M (and a worldwide total of $508.4M) vs. A Star is Born with $148.7M (and just $253.3M worldwide). Overall, with still three weekdays left, the month has become the highest-grossing October ever, topping $785M in receipts.  ",0.9397,positive,0.7392436123348017
