,Date,changed,title,details,news_score,news_result,average
0,2018-11-30,0.94,Videogame sales rise 24% in Q3 summary look,"
 A Q3 wrap-up of videogame sales showed consumer spending in the sector rose 24% Y/Y, hitting $9.1B overall. That's the July-September period before the key holiday release season, which kicked off with a bang last month via a record October spurred by new Call of Duty (ATVI -6.1%) and Red Dead Redemption 2 (TTWO -2.5%) releases. Videogame content sales were up 25% to $7.9B, NPD Group says, with broad gains led by mobile games and digital content for consoles/portables. Hardware sales were up 11% for the quarter, to $737M, while accessory sales rose 44% with all-time quarterly records in headsets as well as in game cards. The software releases with the biggest quarterly impact on dollar sales, according to NPD Group? Alphabetically: Candy Crush Saga (NASDAQ:ATVI), Fortnite (Epic, 40% owned by OTCPK:TCEHY), Madden NFL 19 (EA -2.9%), Marvel's Spider-Man (SNE +1.9%) and NBA 2K19 (NASDAQ:TTWO). Weighing on industry shares today is a dim forecast from GameStop, which projects holiday sales skewing toward hardware from software. Industry tickers: MSFT +0.2%, OTCPK:NTDOY -1.6%, HEAR -5.2%, OTCPK:UBSFY +1.7%, OTC:NCBDY, OTCPK:CCOEY -5.1%, GME -6.4%. ETFs: GAMR -0.7%, ESPO -0.6%
  ",0.9719,positive,0.729358547008547
1,2018-11-30,0.94,"Sony +1.4% as Citigroup sees 52% upside, raises to Buy","
 Sony (NYSE:SNE) is up 1.4% in premarket NYSE trading with Citigroup boosting its rating to Buy. That's based largely on a structural shift away from ""electronics heavyweight"" toward a content/platform company, a move that the market has noticed, analyst Kota Ezawa writes, but has failed to give the proper valuation. The firm raised its price target to 瞼9,000 from 瞼6,000 (implying 52% upside), and expects enterprise value to rise overall to 瞼10T (about $88.1B).  ",0.8503,positive,0.729358547008547
2,2018-11-27,0.35,FTC head promises look at videogame 'loot boxes',"
 As part of today's hearing into FTC oversight, agency Chairman Joe Simons promised he would look into videogame ""loot boxes"" -- a method of recurring revenue that's growing increasingly important for big game releases. Such boxes, which in the game contain virtual items like powerful weapons or equipment, can be bought with real money and are a growing revenue stream for videogame makers faced with huge budgets for their games. Those boxes are ""endemic"" to the industry from console flagships to smartphone apps, Sen. Maggie Hassan said in the hearing. She shares other observer's concerns about such boxes contributing to problem gambling. Sen. Ed Markey expressed concerns about manipulative loot-box marketing, including a character who continues to cry if the child playing the game doesn't make a purchase. Key videogame software makers: ATVI, EA, TTWO, SNE, MSFT, OTCPK:NTDOY, OTCPK:UBSFY, OTC:NCBDY, OTCPK:CCOEY. ETFs: GAMR, ESPO
Previously: Key October releases pace videogame sales to record (Nov. 20 2018)  ",0.9768,positive,0.729358547008547
3,2018-11-26,1.33,"Wedbush: SNE, ATVI, TTWO Black Friday videogame winners","
 Who won Black Friday in the videogame world? Sony (SNE +1.9%), Activision Blizzard (ATVI +0.5%) and Take-Two Interactive (TTWO +1.5%), Wedbush says. Software winners looked to be Activision's Call of Duty: Black Ops 4 and Take-Two's Red Dead Redemption 2, analyst Michael Pachter writes. Meanwhile, with a number of retailers offering a Spider-Man bundle for the PlayStation 4, ""The only sell-out that we saw over Black Friday was the primary PS4 deal."" (h/t Bloomberg) Elsewhere, Fitbit (FIT +1.2%) and GoPro (GPRO +1.7%) seemed to benefit from ""more compelling"" discounts this year, driving unit sales, he writes.  ",0.8573,positive,0.729358547008547
4,2018-10-30,2.43,Sony riding 4.9% higher after serious boost to profit outlook,"
 Sony (NYSE:SNE) is sitting solidly 4.9% higher in NYSE trading after its quarterly results featured a huge boost to operating profit outlook thanks in large part to accelerating trends toward a record year at its videogaming operation. It now expects operating profit of 瞼870B (up 18%, to about $7.71B), up from a previous forecast for 瞼670B ($5.94B). The forecast includes an 8% boost to expected gaming profits, but the buyout of EMI adds a significant chunk. Net profits rose 32% to 瞼173B for the quarter, up from 瞼131B. Operating income was up 17%. Sales rose to 瞼550B in Game & Network Services from 瞼433.2B, and Financial Services rose to 瞼353.5B from 瞼279.2B. Those gains more than offset revenue declines in Mobile Communications (to 瞼117.8B from 瞼172B) and Home Entertainment & Sound (to 瞼274.9B from 瞼300.9B).Previously: Sony reports Q2 results (Oct. 30 2018) Earnings call transcript Press release  ",0.9914,positive,0.729358547008547
5,2018-10-30,2.43,Sony reports Q2 results,"
Sony (NYSE:SNE): Q2 GAAP EPS of��瞼133.43.Revenue of��瞼1.81T (+2.5% Y/Y).Shares��+4.41%��PM.Press Release ",0.0858,positive,0.729358547008547
6,2018-10-30,2.43,Overnight earnings roundup,"
BP (NYSE:BP) +5.1% premarket as profits more than doubled and far exceeded analyst expectations amid stronger oil prices.Sony (NYSE:SNE) +4.4% hiking its annual profit outlook thanks to strong performance from its gaming business in Q3.Volkswagen (OTCPK:VWAGY) +4% in Frankfurt despite industry headwinds including trade tensions, slowing demand in China and tightened emissions standards in Europe. ",0.9443,positive,0.729358547008547
7,2018-10-22,0.11,"""Halloween"" scares up $77.5M debut weekend","
        Universal Pictures��� (NASDAQ:CMCSA) ���Halloween��� raked in $77.5M in its debut weekend, nearly beating the October opening record set two weeks ago by Venom.                  ���A Star is Born,��� from Warner Bros. (NYSE:T), came in second place with $19.3M for a three-week total of $126.4M. Sony���s (NYSE:SNE) Venom took third with $18.1M for a $171.1M total.                      Related movie theater stocks: (NYSE:AMC), (NYSE:CNK), (NYSE:IMAX).�� Previously: U.S. box office cruising to record year (Oct. 17) ",-0.0735,negative,0.729358547008547
8,2018-10-17,0.4,U.S. box office cruising to record year,"
 The U.S. box office is projected to bring in a record $11.6B to $11.8B this year and show a double-digit rise from last year's level. The industry has an outside chance of hitting the $12B mark for the first time ever. The upcoming slate of movies include Dr. Seuss' The Grinch, Fantastic Beasts: The Crimes of Grindelwald and Ralph Breaks the Internet in November to be followed by Spider-Man: Into the Spider-Verse, Mary Poppins Returns, Aquaman and Bumblebee in December. Entertainment industry analysts says a willingness by studios to go to a year-long window of introducing new movies has contributed to the improved revenue tally. Movie subscription services like MoviePass, AMC Stubs A-List and Sinemia have also resonated with younger moviegoers. Related stocks: AMC, CNK, IMAX, MCS, RDI, IPIC, NCMI, T, DIS, SNE, CMCSA, LGF.A, LGF.B, HMNY.  ",0.9854,positive,0.729358547008547
9,2018-10-16,1.25,Europe probes antitrust aspects of $2.3B Sony-EMI music deal,"
 European antitrust watchdogs are seeking input from rivals and users of Sony (SNE +1.9%) as they weigh the Japanese tech group's $2.3B bid to become the world's biggest music publisher through a buyout of EMI. The combined company would have rights to 2.1M songs. So the European Commission is seeking info on whether Sony could use the combined market power of its publishing and recording arms to secure favorable deals in digital media.  ",0.8761,positive,0.729358547008547
