,Date,changed,title,details,news_score,news_result,average
0,2018-12-27,-9.96,Tesla registers leasing company in China,"
Tesla (NASDAQ:TSLA) has registered a financial leasing company in China, according to a registration filing.The wholly-owned unit in Shanghai was opened with $30M in registered capital.Earlier this month, Reuters reported Tesla opened the tender process to build its $2B Gigafactory in Shanghai, marking the company's first factory in China. ",0.6722,positive,0.6888558869701726
1,2018-12-24,-24.38,"Tesla tumbles after price cuts, reimbursement promise","
Responding to a comment on Twitter, Elon Musk over the weekend said Tesla (NASDAQ:TSLA) will ""cover the tax credit difference"" for those customers for whom production delays mean they won't receive their cars until next year.The tax law allow allows for a full tax credit of $7.5K this year, but that drops to $3,750 on January 1. Tesla earlier pledged those who placed orders by Oct. 15 would receive their cars (and the full tax credit) by year-end, but production delays have at least some still waiting for delivery.Also from the weekend: Tesla cuts Model 3 prices in China (Dec. 23)Shares��-2.2%��premarketUpdate at 12:55 ET: Tesla's slide has��extended to 7.2%��just ahead of the close. ",0.7018,positive,0.6888558869701726
2,2018-12-20,-17.59,"Tesla roundup: Service app, 5-minute buy-and-drive coming","
Tesla (NASDAQ:TSLA) will be out with a phone app next week that will allow service scheduling with just a few taps, tweeted Elon Musk overnight. ""No more need to call!""Meanwhile, Elektrek is reporting on the introduction of ""Instant Drive Away,"" a program for the entire buying and delivery process to take just five minutes. ",0.8744,positive,0.6888558869701726
3,2018-12-18,-11.39,High-level Tesla exec bolts for Airbnb,"
 Tesla's (TSLA +0.1%) head of global sales and marketing left the company to join Airbnb (AIRB), according to Bloomberg. Dan Kim exited the company earlier this month after being hired last January. Kim's LinkedIn page currently lists him as a director of Airbnb Plus.  ",0.8783,positive,0.6888558869701726
4,2018-12-18,-11.39,"Tesla takes from Morgan Stanley, Goldman Sachs","
 Morgan Stanley sees the rally in Tesla (NASDAQ:TSLA) running out of steam shortly. ""While we acknowledge the significance of Tesla���s very strong 3Q result, we do not believe investors will assume the company is fully self-sufficient without a more sustained period of execution,"" writes analyst Adam Jonas. Jonas points to the ongoing concerns with Tesla's business in China and the European Union, while warning on an ""emerging peak"" in investor sentiment. Also weighing today on Tesla is the Goldman Sachs team, reiterating the firm's Sell rating and pointing once again to the new EV competition that Tesla faces. Shares of Tesla are up 0.84% in premarket action to $351.35 and are up 12% YTD.  ",0.9417,positive,0.6888558869701726
5,2018-12-17,-17.29,SpaceX investors bore in,"
 A group of longtime investors in SpaceX (SPACE) that includes Peter Thiel are questioning the use of the company's employees and resources for Elon Musk's Boring company project in Hawthorne, California, sources tell The Wall Street Journal. The report come against a backdrop of Musk and few other investors owning more than 90% of the equity in Boring. Also, years ago, Musk borrowed about $20M from SpaceX to help keep Tesla (NASDAQ:TSLA) rolling along and more recently (2015-2016) SpaceX purchased more than $250M worth of bonds from Tesla-owned SolarCity.Thiel has a long history of saying positive things about Elon Musk dating back to the PayPal days.  ",0.9351,positive,0.6888558869701726
6,2018-12-14,-11.08,China halts additional auto tariffs; Tesla cuts prices,"
China has confirmed it will suspend additional tariffs on U.S.-made vehicles and auto parts for three months starting Jan. 1, 2019, following a trade truce between the world���s two largest economies.Following the news, Tesla (NASDAQ:TSLA) slashed prices on certain Model S cars by up to 105,000 yuan ($15,200) and Model Xs by up to 65,000 yuan.Next steps? There's word China will soon restart corn purchases.ETFs: FXI, KWEB, ASHR, YINN, CAF, EWH, CQQQ, YANG, MCHI, GXC, CYB, FXP, PGJ, CN, KBA, TAO, CHIQ, HAO-OLD, CHIX, TDF, QQQC-OLD, CNY, PEK, CHN, CWEB, CXSE, CHAU, XPP, CNXT, ASHS, AFTY, CHAD, FCA, YAO, YXI, FXCH, ECNS, CHIM, CHII, CHIE, KFYP, EWHS, FCHI, OBOR, ASHX, CNYA, FHK, HAHA, XINA, CNHX, KGRN, CHIH, CHIK, CHIL, CHIR, CHIS, CHIU, FLCH, FLHK, WCHN ",0.8391,positive,0.6888558869701726
7,2018-12-14,-11.08,Tesla loses head of digital product,"
The turnover at Tesla (NASDAQ:TSLA) continues as Parag Vaish, head of digital product, jumps ship to join Google's internal incubator called Area 120.Vaish was originally hired by Jon McNeill, Tesla's former president of global sales and service who is now COO of Lyft.Vaish had also worked closely with Elon Musk on digital developments after McNeill left and most recently reported to Robin Ren, Tesla's VP of worldwide sales. ",0.7711,positive,0.6888558869701726
8,2018-12-12,-0.16,Oppenheimer sees Tesla outrunning the drama,"
 Oppenheimer stays bullish on Tesla (NASDAQ:TSLA) by backing its Outperform rating and 12-18 month price target of $418. ""After a drama-filled fall that concluded with a settlement with SEC and a new board chair, we believe TSLA is enjoying improving fundamentals based on increasingly efficient manufacturing, strong ASPs leading to better than expected cash flow, as well as slow and disappointing competition entering the market for EV/ PHEVs,"" writes analyst Colin Rusch. Rusch thinks Tesla is likely to top Street estimates for 66K Model 3 production in Q4 and sees Model 3 gross margin potentially rising into the low 20%s. Opeenheimer's price target of $418 works out to 25x 2021E EPS of $20.99 discounted two years at 12%. ""We believe this multiple is appropriate given TSLA's position as a leader in electric vehicle and advanced driver assistance system functionality which is disrupting the transportation market,"" notes Rusch. TSLA +0.90% premarket to $369.88.  ",0.9797,positive,0.6888558869701726
9,2018-11-27,-2.08,CNBC: Tesla head of global security dismissed after less than a year,"
 Tesla's (NASDAQ:TSLA) head of global security, Jeff Jones, is out of the company, dismissed after just 11 months, CNBC reports. The company has told employees that Jones' position was ""no longer needed"" and that he departed in mid-November, sources told CNBC. Tesla had also hired former CIA officer Karl Wagner as a senior director of global security in September, though it's not clear how Wagner's and Jones' jobs overlapped. The report notes one potentially related item: a former employee who filed a whistleblower complaint alleging that Tesla hid from investors the theft of tens of millions of dollars' worth of raw materials in the first half of this year.  ",0.923,positive,0.6888558869701726
