,Date,changed,title,details,news_score,news_result,average
0,2018-12-28,17.74,Wedbush sees Tesla board additions as `major step forward',"
Tesla's (TSLA +1.2%) move to add Oracle co-founder Larry Ellison to its board is ""another major step forward"" as the electric-carmaker seeks to build an independent board to guide its growth, according to Wedbush analyst Dan Ives.Ellison could help channel Elon Musk's energy into positives for the company and away from the ""going private"" narrative that hangs over the stock, Ives writes in a note.Walgreens Boots Alliance's Kathleen Wilson-Thompson is a ""second impressive"" independent board member, he adds.Keeps outperform rating and $440 price target.Source: Bloomberg First Word.Analyst ratings: 14 buys; 9 holds; 11 underperform/sells.Previously: Tesla +3.7% after proposing adding Ellison, Wilson-Thompson to board (Dec. 28) ",0.9819,positive,0.7437611620795107
1,2018-12-28,17.74,"Tesla +3.7% after proposing adding Ellison, Wilson-Thompson to board","
Tesla (NASDAQ:TSLA)��jumps 3.7%��in premarket trading after proposing to add Oracle Chairman Larry Ellison and Walgreens Boots Alliance executive Kathleen Wilson-Thompson to its board in compliance with an SEC settlement, CNBC reports.Wilson-Thompson is WBA's global head of human resources.In September, Tesla and CEO Elon Musk agreed to appoint a new chairman and two independent board members to settle SEC charges that Musk misled investors when he tweeted about a plan to take the company private at $420 per share.Previously: Tesla registers leasing company in China (Dec. 27) ",0.9651,positive,0.7437611620795107
2,2018-12-26,30.7,Musk tweets on European Supercharger availability,"
Elon Musk tweets that Tesla's (NASDAQ:TSLA) Supercharger coverage will extend to all of Europe next year.The tweet responded to a user saying some Supercharger locations weren't available in Ireland.Tesla shares are��up 8.8%��to $321.24.Post updated to improve headline. ",0.8454,positive,0.7437611620795107
3,2018-12-26,30.7,Tesla's Chinese gigafactory on pause?,"
""@Tesla's new Gigafactory in Lingang, Shanghai, shows no signs of ongoing construction work,"" reads a tweet from the Global Times.""The company signed a land leasing contract with local Shanghai authorities to build the factory on October 17."" ",-0.008,negative,0.7437611620795107
4,2018-12-26,30.7,"Wedbush remains bullish on Model 3, European demand","
Tesla (NASDAQ:TSLA) has turned the corner on Model 3 production, according to Wedbush analyst Daniel Ives, and demand looks strong heading into 2019.The EV maker is ""poised to generate improved profitability and cash flow that puts the risk of a capital raise in the background for now"" as European Model 3 delivery and shipments appear to be on schedule.""While there are worries that some European unit shipments might spill over into Q2 and out of Q1, we believe the Street is well aware of this potential timing dynamic as underlying pent-up demand looks robust on this new European frontier for Musk & Co heading into 2019, with China also a major growth catalyst on the heels of recent price cuts.""Ives reiterates his Outperform rating on Tesla stock and $440 price target, which is 49% above its current trading level.TSLA +1% premarket ",0.9826,positive,0.7437611620795107
5,2018-12-13,10.19,Wedbush raves on Tesla,"
Wedbush launches coverage on Tesla (NASDAQ:TSLA) with an Outperform rating.""The company has the most impressive product roadmap out of any technology/auto vendor around and will be a 'game changing' driving force for the EV transformation over the next decade with Model 3 front and center,"" raves analyst Daniel Ives.While Ives sees a bumpy road with Musk & Co. at the helm of the EV automaker, he calls the Model 3 ramp a golden opportunity for the company to generate massive free cash flow and profitability in the long-term range of 2022 to 2030.Wedbush's 12-month price target on Tesla is $440. ",0.9664,positive,0.7437611620795107
6,2018-12-13,10.19,Wired dives into Tesla's production hell,"
 Wired magazine posts a deep dive into Tesla's (NASDAQ:TSLA) year of production hell in a new article that details the pressures of the Model 3 production ramp. While the piece treads over the some of the well-known Elon Musk flareups, new reporting on the manner that one Gigafactory engineer was fired is sure to raise some eyebrows. TSLA +1.34% premarket to $371.25, with a positive Baird note in the mix.  ",0.6153,positive,0.7437611620795107
7,2018-12-13,10.19,Baird talks up Tesla again,"
 Robert W. Baird lifts its price target on Tesla (NASDAQ:TSLA) to $465 from $411 on what it sees as positive catalysts for the EV company ahead amid a changing narrative. ""The narrative on TSLA, particularly in the middle of 2018, was as negative as we have experienced in our coverage, but we believe sentiment will continue to improve as the company proves it can be self-supportive, which should drive sustained share appreciation,"" reasons Kallo ""We do not believe the strong Q3 results were a 'flash in the pan' and think TSLA could maintain profitability,"" he adds. Shares of Tesla are up 1.26% in premarket action to $370.95 vs. a 52-week trading range of $244.59 to $387.46.  ",0.9497,positive,0.7437611620795107
8,2018-12-13,10.19,U.S. solar takes hit from Trump tariffs,"
U.S. solar installations in the third quarter fell 30% to 678 megawatts from a year ago as the Trump administration's tariffs on overseas-made panels forced developers to put off large projects.That's according to a report by Wood Mackenzie for the U.S. Solar Energy Industries Association.Current weakness in the utility-scale market, however, will be offset by larger volumes of projects than had been expected over the next five years because solar energy is now cheaper than ever.Related tickers: ASYS, AXTI, CSIQ, CVV, DQ, EMKR, ENPH, FSLR, GEX, HQCL, JASO, JKS, RGSE, RUN, NRG, SEDG, SOL, SKYS, SPWR, SUNW, TAN, TERP, TSLA, VSLR, WHR, YGE ",0.6105,positive,0.7437611620795107
9,2018-12-11,1.61,Tesla seeks $167M in lawsuit against former employee,"
Tesla (TSLA +1.1%) seeks more than $167M in the lawsuit it filed in June against former employee Martin Tripp for taking data from the company and making false claims to media outlets.On the opposite side, Tripp's attorneys are fighting to depose Elon Musk and other top execs.The lawsuit is playing out in a Nevada courtroom. ",0.4883,positive,0.7437611620795107
10,2018-12-11,1.61,Musk sees chopping chairman role in three years,"
 Elon Musk says Tesla (TSLA +0.1%) will retire the ""honorific"" chairman position at the board in three years since it isn't needed to run the company. Musk also wants 60 Minutes to release the unedited version of what he told Leslie Stahl during the show about being replaced as chairman by Robyn Denholm. He says in talking about having Denholm looking over him that he actually stated he could call for a shareholder vote and get anything he wanted done provided he had the support of shareholders.  ",0.9269,positive,0.7437611620795107
