,news_title,news_dates,news_details
0,Intel slides as analysts praise AMD's roadmap,"Tue, May 28, 2:06 PM","
Analysts weigh in on AMD's (AMD +12%) Computex product roadmap and a followup statement that one third-gen Ryzen chip outperformed an Intel (INTC -2.4%) CPU by more than 16%.Stifel's Kevin Cassidy: ""This announcement represents the first time AMD has taken the desktop CPU lead process technology and performance lead from Intel in its 50-year history.""Cassidy expects AMD to accelerate its PC market share gains through a combination of higher performance, lower power usage, and upgrade ease.Wells Fargo's Aaron Rakers says the ""presentation reinforced our positive thesis on AMD’s product cycle/sustainable share gain story looking into 2H2019.”AMD will release new Radeon RX 5700-series graphics cards in July and third-gen, Zen 2-based Epyc server chips in Q3.AMD demonstrated the new Radeon cards outperforming rival Nvidia's (NVDA -0.2%) cards. "
1,AMD soars on 7nm product roadmap,"Tue, May 28, 9:39 AM","
AMD (AMD +5.3%) announces its 7nm product roadmap at Computex, which includes several products across all markets set to launch in the next six months.New products on the way: Zen 2 CPUs, third-gen AMD Ryzen desktop processors, AMD X570 chipset, RDNA gaming architecture, and the Radeon RX 5700-series gaming graphics card.Cowen analyst Matthew Ramsey weighs in on what the roadmap means for AMD and competitor Intel (INTC -0.9%): ""With 7nm Ryzen 3 PC and Rome server CPUs launching in mid-2019, Intel will no longer be able to rely on its n-node silicon advantage, and will instead lean on its incumbency and breadth of silicon as its 10nm chips are not expected out until late 2019 in PCs and 2020 in servers."" "
2,Chipmakers slip on Huawei blacklisting,"Mon, May 20, 4:14 AM","
Several key chipmaker suppliers, including Intel (NASDAQ:INTC), Qualcomm (NASDAQ:QCOM), Xilinx (NASDAQ:XLNX), Broadcom (NASDAQ:AVGO) and STMicroelectronics (NYSE:STM), have reportedly cut off Huawei after the Trump administration added the Chinese company to a trade blacklist last week.Over the weekend, Google suspended some trade with Huawei, leaving it with access only to the open-source version of Android.Nokia (NYSE:NOK), which usually benefits from Huawei's woes, is up 4.1% premarket, while Ericsson (NASDAQ:ERIC) shares are 1.6% higher.Update: Semis are falling on the latest news. QCOM -3.1%, INTC -1.8%; XLNX -2.7%, STM -7.4%, MU -3.7%  "
3,Semis slide after Huawei ban,"Thu, May 16, 9:37 AM","
The Philadelphia Semiconductor Index is down 1.6% in early trading after the White House bans U.S. firms from using telecom gear from Huawei citing national security concerns.The move means companies like Qualcomm (NASDAQ:QCOM) -3.5% might have to apply for U.S. export licenses to continue supplying to Huawei.The prior ban on ZTE sent semi stocks on a wild ride. Micron (NASDAQ:MU) -2.8%, Skyworks (NASDAQ:SWKS) -4.5%, and Qorvo (NASDAQ:QRVO) -6.1%.Updated to add some Huawei exposure data from Mizuho. Note that Huawei is broadly a major Micron customer: Skyworks, 10%+ (customer); Qualcomm, 10% (customer); Qorvo, 10% to 15%+ (customer); Broadcom (AVGO -2%), less than 5% (customer); Xilinx, about 10% (exposure); Intel (INTC +0.3%), about 2% (exposure).Semiconductor ETFs: SOXL, SOXX, SMH, USD, PSI, XSD, SOXS, SSG, FTXL, XTH "
4,Intel patches ZombieLoad chip flaw,"Tue, May 14, 1:52 PM","
Security researchers found a new class of Intel (NASDAQ:INTC) chip flaw dubbed ZombieLoad, which is made up of four bugs, affects nearly all Intel chips going back to 2011, and can allow a hacker to access sensitive data straight from the processor.AMD and ARM aren't vulnerable to this attack.The researchers informed Intel, which released microcode to patch the vulnerable processors. Consumer PC and device makers including Microsoft and Google are also issuing patches to serve as an initial defense.Intel tells TechCrunch that its patches could slow processors as much as 3% (consumer) to 9% (data center) but says the difference shouldn't be noticeable in most situations. "
5,Intelsat +4.6% as FCC's O'Rielly pushes mid-band reallocation,"Tue, May 14, 12:18 PM","
 Intelsat (NYSE:I) is up another 4.6% today as its push for monetizing mid-band spectrum picks up some regulatory steam. Yesterday, a pair of key senators wrote to the FCC pushing for quick action on freeing up spectrum in the 3.7 GHz to 4.2 GHz band for use by wireless carriers in 5G deployment. Intelsat shares rose in response. Now FCC Commissioner Michael O'Rielly is set to testify that action on the spectrum is ""highest priority,"" saying that companies may need more airwaves for 5G than they're currently proposing. O'Rielly is part of the Republican majority at the FCC, suggesting the issue is moving up the agenda there. He's urging ""quickest reallocation"" of that spectrum for wireless use. Intelsat and its partners in the C-Band Alliance, including SES (OTCPK:SGBAF) and Intel (INTC +1.1%) have been pressing a plan to monetize that spectrum by re-pointing it toward 5G use.  "
6,HP unveils dual-screen gaming laptop,"Tue, May 14, 12:00 PM","
HP (NYSE:HPQ) is out with a slate of new gaming products led by the 15-inch, dual-screen OMEN X 2S.The OMEN X 2S includes Intel (NASDAQ:INTC) 9th Gen Core processors, Nvidia (NASDAQ:NVDA) GeForce RTX graphics, and Nvidia MaxQ. The dual screens include a real-time mirroring feature that can cut and magnify parts of the main screen to the second screen.The other releases include the OMEN 15 and 17 and Pavilion Gaming 15 and 17 laptops.OMEN X 2S will be available in June with a starting price of $2,099.99. "
7,Intelsat +3.9% as senators urge quick deployment of mid-band spectrum,"Mon, May 13, 3:53 PM","
 Intelsat (NYSE:I) legged up to a 3.9% gain after a pair of key senators urged a speedy resolution at the FCC for deployment of 5G spectrum, particularly through mid-band deployment championed by Intelsat's C-Band Alliance. That group includes SES (SGBAF +0.3%) and Intel (INTC -3%). ""As the Commission has noted, mid-band spectrum offers favorable signal range and indoor penetration combined with increased capacity that comes from frequency reuse; this makes mid-band spectrum particularly important for the initial deployment of 5G,"" write Sen. Roger Wicker (chairman of Committee on Commerce, Science and Transportation) and Sen. John Thune (chairman of the Subcommittee on Communications, Technology, Innovation, and the Internet). Congress had directed the FCC to evaluate commercial use of C-band spectrum, and ""In the year since passage of that law, the need for action has become even more acute ... we urge the Commission to act quickly to make spectrum in the 3.7 GHz to 4.2 GHz band available for 5G.”  "
8,Intel -2.6% as RBC comes out bearish,"Mon, May 13, 9:10 AM","
RBC resumes Intel (NASDAQ:INTC) coverage at Underperform and a $41 PT, implying an 11% downside.Last week, Intel provided weak three-year guidance that forecasted flat PC sales, double-digit data center growth, and decelerating gross margin due to the 10nm product ramp.INTC's 2019 Annual Stockholders' Meeting is scheduled for this Thursday with a webcast starting here at 11:30 AM ET.Intel shares are down 2.6% pre-market to $45.01. "
9,BMO cuts Intel on margin deceleration,"Thu, May 9, 12:04 PM","
BMO downgrades Intel (NASDAQ:INTC) from Outperform to Market Perform and drops the PT from $68 to $50.The firm cites the decelerating gross margins that Intel forecasted at yesterday's investor event. The three-year outlook included flat PC revenue growth, double-digit data center growth, and lower gross margins due to the 10nm product ramp.Intel shares are down 5.1% to $46.72. "
