,news_title,news_dates,news_details
0,More film studios threaten Georgia boycott,"Fri, May 31, 1:09 AM","
WarnerMedia (NYSE:T), Sony Pictures (NYSE:SNE) and NBCUniversal (NASDAQ:CMCSA) have joined a growing number of major studios - including Disney and Netflix - which are threatening to pull their productions out of Georgia should the state's fetal-heartbeat bill go into effect.Known as the Hollywood of the South or Y'allywood, Georgia in recent years has become the country's third-largest production hub after Los Angeles and New York, thanks to tax credits of up to 30% it offers to movie and TV production companies.In 2018, the state reported some 92,000 jobs and an economic impact of more than $9B from film productions there. "
1,Australia drags Sony into court over digital game refunds,"Wed, May 29, 11:31 AM","
 Australian regulators have started Federal Court proceedings against Sony (SNE -1.9%), alleging the company misled customers of its PlayStation store. The Australian Competition & Consumer Commission says Sony Europe consistently told customers it wouldn't refund games (even if faulty) if they had already been downloaded from the store, or if 14 days had elapsed since purchase. That violates Australian laws on refund/repair/replacement that the ACCC says apply to digital purchases as well as physical ones: ""Consumers who buy digital products online have exactly the same rights as they would at a physical store,"" it says. The ACCC also objected to refunds being given in store credit rather than original payment.  "
2,Snap +2.4% could take on TikTok with music - WSJ,"Fri, May 24, 7:50 AM","
Snapchat (NYSE:SNAP) could soon let users add music to posts due to competitive pressure from the likes of Bytedance's TikTok, according to Wall Street Journal sources.Snap has previously obtained rights to songs on an individual basis. The company is now in talks to acquire broader rights to music from Vivendi SA’s (OTCPK:VIVHY) Universal Music Group, Sony (NYSE:SNE) Music Entertainment, and Access Industries' Warner Music Group.The license rights wouldn't let Snap create a streaming platform like Spotify, but could let users integrate music into the Snapchat social networking experience. Facebook secured similar broad licenses in late 2017.Talks have intensified in recent weeks, but details could still change.Snap shares are up 2.4% pre-market to $11.39. "
3,Software strength drives narrow gain in April videogame sales,"Tue, May 21, 6:53 PM","
 Videogame sales eked out an overall gain in April as a strong software showing made up for another year-over-year decline in hardware sales. Reversing course from last month's drop, overall sales rose 1% to $842M, according to NPD Group. Software sales rose 15% to $427M, while accessories and game card spending rose 5%, to $256M. Hardware slid 29% to $160M. Year-to-date overall sales are still down about 2%, with hardware the drag ahead of the next console refreshes. In hardware, growth in the Nintendo Switch (OTCPK:NTDOY) was offset by drops elsewhere, both for the quarter and year-to-date. The console was again the best-seller in unit and dollar sales; the year's best-selling individual item is the Switch 32GB with neon red and blue joy-cons. Game card and gamepad spending drove accessory growth. In software, Mortal Kombat 11 (NYSE:T) debuted at the top of the dollar-sales chart and becomes the No. 2 best-seller of the year, NPD's Mat Piscatella notes -- topping a pair of Sony (NYSE:SNE) releases: Days Gone at No. 2, and MLB 19: The Show at No. 3. Rounding out the top 10: No. 4, Tom Clancy's The Division 2 (OTCPK:UBSFY); No. 5, Super Smash Bros. Ultimate (OTCPK:NTDOY); No. 6, Grand Theft Auto V (NASDAQ:TTWO); No. 7, Sekiro: Shadows Die Twice (NASDAQ:ATVI); No. 8, Call of Duty: Black Ops 4 (ATVI); No. 9, NBA 2K19 (TTWO); No. 10, Yoshi's Crafted World (OTCPK:NTDOY). Related tickers with after-hours moves: OTCPK:NTDOY -0.1%, SNE +0.1%, MSFT, EA, ATVI, TTWO -0.1%, T +0.1%, OTCPK:UBSFY, OTC:NCBDY, OTCPK:SQNNY, OTCPK:CCOEY. Retail stock: GME +0.1%. ETFs: GAMR, ESPO  "
4,Japanese videogame sector lifted by Sony/Microsoft tie-up,"Fri, May 17, 10:14 AM","
 Japan's videogame publishers got a lift Friday following news of a Sony/Microsoft tie-up to explore innovation in game/content streaming and AI, strong news even for investors who are counting on technological shifts to shape the sector. They closed higher in Tokyo: Konami (OTCPK:KNMCY) up 3.8%, Bandai Namco (OTC:NCBDY) up 3%, Capcom (OTCPK:CCOEY) up 3.1%, and Square Enix (OTCPK:SQNNY) up 4.5%. Sony closed up 9.9% in Japan; the stock (NYSE:SNE) up 1.9% on NYSE. The move should expand business opportunities for Sony, Citi says, and might make the market rethink its pessimism on the shares since Google rolled out its anti-console Stadia project.  "
5,"Sony surges 10% on buyback, Microsoft deal","Fri, May 17, 3:14 AM","
Soaring to levels not seen since December 2018, Sony (NYSE:SNE) shares closed Friday's session nearly 10% higher in Tokyo.The jump followed the company's announcement that it would repurchase up to 4.8% of its total number of shares issued - worth up to ¥200B ($1.82B).Sony further announced a new partnership with competitor Microsoft, with the gaming powerhouse set to use its Azure cloud services for streaming games and media, as well as deal to develop chips for intelligent image sensors. "
6,"Sony, Microsoft team on innovation for game/entertainment streaming, AI","Thu, May 16, 1:08 PM","
 Sony (SNE +3.2%) and Microsoft (MSFT +2.3%) have signed a memorandum of understanding that will launch a partnership to explore innovations tied to the companies' direct-to-consumer entertainment and artificial intelligence efforts. Sony shares have legged up higher on the news. They'll explore using Microsoft Azure cloud solutions to support each of their services for game and content streaming, along with using existing Azure data center solutions for Sony's game and content streaming. The two companies will also consider collaboration on semiconductors and AI, possibly including jointly developing new intelligent image sensors, and otherwise incorporating Microsoft AI breakthroughs in Sony consumer products.  "
7,Sony Financial issues upbeat full-year forecast,"Wed, May 15, 1:29 PM","
 Sony Financial Holdings, the financial services business of Sony (SNE +3%), has issued upbeat profit guidance for the full year, topping even high estimates. It expects net income of ¥65B (about $594M) on net sales of ¥1.69T (about $15.44B). It logged net income in Q4 of ¥11.59B. It also sees its dividend coming in at ¥65 for the year, on the low end of estimates.  "
8,Sony up 8% with surprise profit despite slowdown warning,"Fri, Apr. 26, 12:39 PM","
 Sony (NYSE:SNE) is up 8%, a top gainer today after beating earnings expectations with a bounce back to profit, despite warning of a slowdown ahead and pulling several projections out of uncertainty. Demand for games were a lift this quarter at least, as well as a gain in its stake in Spotify, and strength in semiconductors, offset somewhat by continuing woes in mobile phones. It swung to a profit of ¥87.9B (about $787M) vs. a year-ago loss of ¥13.3B, on revenues that rose 9% to ¥2.13T. But the company expects a sharp drop in annual profits, and the upcoming end of the PlayStation 4 life cycle looks like it may sting. Sony pulled medium-term profit targets for its electronics and entertainment units out of uncertainty. It had just set those targets less than a year ago. Considering a major music acquisition, ongoing losses in mobile, and big growth in game software, ""we thought that perhaps it would be a bit misleading to discuss only the 2020 fiscal year,” says CFO Hiroki Totoki. Sony expects gaming operating profits will fall by 10% for the fiscal year. And while its Xperia phone business lost ¥41.1B this quarter, it's merging with the other electronics businesses, in a unit now projected for an operating profit of ¥121B this fiscal year (up 58%). Earnings call slidesPreviously: Sony beats by ¥41.94, beats on revenue (Apr. 26 2019) Press release  "
9,"Sony beats by ¥41.94, beats on revenue","Fri, Apr. 26, 5:52 AM","
Sony (NYSE:SNE): Q1 GAAP EPS of ¥68.23 beats by ¥41.94.Revenue of ¥2127.5B (+9.0% Y/Y) beats by ¥86.6B.Press Release "
