,news_title,news_details,date
4,FDA accepts Acer Therapeutics' NDA and priority review for EDSIVO for the treatment of vEDS,"
 Acer Therapeutics (NASDAQ:ACER) announces that the FDA has accepted for review Acer���s NDA for EDSIVO for the treatment of vascular Ehlers-Danlos syndrome (vEDS) in patients with a confirmed type III collagen (COL3A1) mutation.The FDA also granted a priority review of the NDA and assigned a PDUFA target action date of June 25, 2019.Priority Review shortens the review clock to six months from the standard 10 months.  ",2018-12-26
5,Acer Therapeutics files for $100M mixed shelf offering,"
Acer Therapeutics (NASDAQ:ACER) has filed a prospectus for a $100M mixed shelf offering. ",2018-11-9
6,Acer Therapeutics beats by $0.04,"
 Acer Therapeutics (NASDAQ:ACER): Q3 GAAP EPS of -$0.43��beats by $0.04. Cash and cash equivalents of $46.2M Press Release  ",2018-11-9
7,Acer files U.S. marketing application for Edsivo for connective tissue disorder,"
Acer Therapeutics (NASDAQ:ACER) has filed a New Drug Application (NDA) with the FDA seeking approval for EDSIVO (celiprolol) for the treatment of vascular Ehlers-Danlos syndrome (vEDS), a connective tissue disorder caused by defects in a gene that encodes collagen. The company has requested Priority Review status.Celiprolol, a medication developed to treat high blood pressure, is believed to benefit vEDS patients by promoting normal collagen synthesis in the blood vessels and by shifting the pressure load away from vessels at highest risk of rupture.Previously: Acer plans U.S. marketing application for Edsivo for rare connective tissue disorder; shares ahead 10% (Sept. 25, 2017) ",2018-10-29
8,Premarket analyst action - healthcare,"
Retrophin (NASDAQ:RTRX) initiated with Buy rating and $36 (33% upside) price target at Canaccord Genuity citing future catalysts such as proof-of-concept data on CNSA-001 in PKU in early 2019 and Phase 3 data on fosmetpantotenate in PKAN in H2 2019.Dar矇 Bioscience (NASDAQ:DARE) initiated with Buy rating at Maxim Group.Ligand Pharmaceuticals (NASDAQ:LGND) initiated with Neutral rating and $256 (8% upside) price target at Goldman Sachs.Esperion Therapeutics (NASDAQ:ESPR) upgraded to Buy at Citigroup. Shares up��3%��premarket.Acer Therapeutics (NASDAQ:ACER) upgraded to Strong Buy with a $46 (77% upside) price target at Raymond James. Shares up��10%��premarket.ATyr Pharma (NASDAQ:LIFE) upgraded to Neutral at Citigroup.Amicus Therapeutics (NASDAQ:FOLD) downgraded to Neutral with a $15 (11% upside) price target at Chardan Capital Markets citing diminished prospects for Galafold over the next six months. Shares down��3%��premarket. ",2018-08-17
9,Acer Therapeutics misses by $0.09,"
Acer Therapeutics (NASDAQ:ACER): Q2 EPS of -$0.64 misses by $0.09.Cash and cash equivalents of $8.3MPress Release ",2018-08-13
10,Acer on track for Q4 NDA for Edviso for vEDS,"
Acer Therapeutics (NASDAQ:ACER) Q2 results ($M): Operating expenses: 4.9 (+157.9%); net loss: (4.8) (-54.8%).Cash and equivalents: 8.3 (-46.8%). Net proceeds of $42.5M from recent stock offering should be sufficient to fund operations into H1 2020.U.S. marketing application for EDSIVO in vascular Ehlers-Danlos syndrome (vEDS) on tap for Q4. Will request priority review. ",2018-08-13
11,Acer prices stock offering at $18; shares up 4%,"
Acer Therapeutics (ACER +4%) prices its public offering of ~2.2M common shares at $18. Underwriters over-allotment is an additional ~333K shares. Closing date is August 3.Yesterday's close was $18. ",2018-08-1
12,Acer launches equity offering,"
Acer Therapeutics (NASDAQ:ACER) initiates a public offering of common stock. Price, volume and terms have yet to ge announced. ",2018-07-31
13,Acer Therapeutics on track for Edsivo NDA in June/July,"
Acer Therapeutics (NASDAQ:ACER) announces that it expects to submit its U.S. marketing application by the end of H1 seeking approval for EDSIVO (celiprolol) for the treatment of vascular Ehlers-Danlos syndrome��(vEDS), a rare inherited disorder of collagen production characterized by translucent skin, easy bruising and fragile arteries, muscles and internal organs.Celiprolol, a medication developed to treat high blood pressure, is believed to benefit vEDS patients by promoting normal collagen synthesis in the blood vessels and by shifting the pressure load away from vessels at highest risk of rupture. ",2018-05-14
