,news_title,news_details,date
231,Analyst: Market needs FAANG to recover,"
UBS' Art Cashin tells CNBC that if the market wants to head into 2019 higher, it needs ""unified and consistent"" FAANG stocks.Cashin, director of floor operations at the NYSE, says of FAANG: “If they don’t trade together again then we are going to have more volatility creep into the market.""Facebook (FB -2.2%), Apple (AAPL +0.9%), Amazon (AMZN +2%), Netflix (NFLX +4.5%), and Alphabet/Google (GOOGL -0.3%) lost a combined $1T in value in last month's rout but joined last week's rally.Facebook shares are down 21% in the quarter and 25% YTD after a year of user data scandals and rumored exec turmoil.Apple slips 31% in the quarter and nearly 8% YTD after a soft holiday quarter guidance, a wave of supplier guidance cuts, and supply chain chatter that the newest iPhones are underperforming with the iPhone XR indicated as the weakest selling model.Amazon followed its $15 an hour minimum wage by splitting its promised HQ2 between two locations. There were rumors that the grocery business wasn't going as smoothly as the company hoped after its Whole Foods acquisition. Amazon dropped 26% in the quarter but is up 26% YTD.Alphabet's Google had a year of antitrust acquisitions and fines related to its shopping service and the Android operating system. The company was also scrutinized for its use of user data. GOOGL is down 13% in the quarter and nearly 1% YTD.Related broad tech ETFs: XLK, VGT, TECL, FTEC, IYW, ROM, QTEC, RYT, FNG, TECS, IGM, FXL, XNTK, REW, JHMT, XITK. ",2018-12-31
232,Amazon targets rural India market,"
Amazon (NASDAQ:AMZN) turns to local help as it builds a logistics network targeting rural India and 800M people with little access to retailers.The potential customer base has little access to smartphones, credit cards, or a reliable and efficient postal system.Amazon has created package depots in small local stores and enlisted other retailers as learning centers for potential Amazon shoppers.Amazon started its India operations in 2013 and later pledged $5B in investments in the region including warehouses and logistics.Barclays data shows Amazon passed Walmart-owned Flipkart this year in gross merchandise volume. ",2018-12-31
233,Amazon plans to expand Whole Foods reach,"
Amazon (NASDAQ:AMZN) is planning to build and expand Whole Foods stores across the U.S. to put more customers within range of the its two-hour delivery service called Prime Now, WSJ reports.Whole Foods employees have already visited regions of Western North America for potential retail spaces in parts of Idaho, southern Utah and Wyoming where it currently has no stores. ",2018-12-31
234,Austria makes plans to tax digital giants,"
Having failed to broker a deal on a digital tax during its EU presidency, Austria said it plans to introduce its own levy on tech companies including Facebook (NASDAQ:FB) and Amazon (NASDAQ:AMZN) while the bloc works out its plan.Austria's six-month tenure of the rotating presidency ends Tuesday, when the role will pass to Romania.France has also announced plans to tax tech giants at a national level from 2019 if EU states cannot reach an agreement. ",2018-12-29
235,UBS: Holiday toy spending comes up short,"
U.S. toy sales fell at a high-single digit percentage in the fourth quarter, according to UBS data, with the two weeks before Christmas failing to provide as big a lift as it did in previous years.Retailers like Target (NYSE:TGT), Walmart (NYSE:WMT) and Amazon (NASDAQ:AMZN) fought hard for sales, but the loss of Toys ""R"" Us was in some ways an irreplaceable force in the industry.The results may prove worse at Hasbro (NASDAQ:HAS) and Mattel (NASDAQ:MAT), although the latter's Barbie sales were ""surprisingly robust."" ",2018-12-29
236,"Yankees in talks with Amazon, Sinclair for Yes Network","
The New York Yankees are in talks with Amazon (NASDAQ:AMZN) and Sinclair Broadcast Group (NASDAQ:SBGI) about a joint bid for the team's regional sports network, Yes, WSJ reports.The baseball team, which owns 20% of Yes, has also been talking to other potential partners including cable and satellite TV provider Altice USA (NYSE:ATUS) and RedBird Capital about buying the remaining 80% stake from Walt Disney (NYSE:DIS).Disney is seeking a valuation of $5B-$6B for Yes Network. ",2018-12-28
237,Jefferies says Amazon's Solimo label decelerating,"
Jefferies says Amazon's (NASDAQ:AMZN) Solimo-branded private label products shows decelerating growth with the number of SKUs increasing 3% this month, a smaller gain than between prior months.The data came from the firm's monthly web scrape of Amazon's private label products. Solimo includes a wide range of items including plastic cups, vitamins, and other goods commonly found in retail drugstores.But the firm notes the deceleration could simply mean that Amazon has already penetrated the non-prescription drug side of health care products. With this year's PillPack acquisition, Amazon started moving into the prescription side. ",2018-12-27
238,"India's new rules could hit Amazon, Walmart","
India will ban e-commerce companies from selling products in which they have an equity interest, which could impact Amazon (AMZN +5.9%) and Walmart's (WMT +3.3%) Flipkart.The companies also can't form exclusive agreements with sellers. But they can make bulk purchases through their wholesalers or retail groups and then sell those products to sellers with agreements.The rules, which are meant to appease local retailers, go into effect on February 1. ",2018-12-26
239,Report: Amazon advised U.S. government on portal,"
Amazon (NASDAQ:AMZN) exec Anne Rung privately advised a top U.S. Government Services Authority official Marie Davie on a procurement portal that could be worth billions, reports The Guardian with emails obtained from a Freedom of Information Act request.Rung formerly served in the Obama administration and was credited with transforming federal procurement policies before leaving for Amazon.The talks happened before the legislation that created the portal was signed into law in late 2017.The National Defense Authorization Act moves Defense Department of commercial products to online marketplaces, and the program must ""enable government-wide use of such marketplaces,"" which implies the need for a large-scale platform like Amazon.The emails don't show any illegal activity but put into focus Amazon's close ties to the government, which is a key point in competitor objections to the pending $10B winner-takes-all Pentagon cloud contract. ",2018-12-26
240,Amazon: 'This season was our best yet',"
""Amazon customers made this holiday season record-breaking with more items ordered worldwide than ever before,"" according to a company press release.Consumers purchased millions more Amazon Devices, and tens of millions of people worldwide started Prime free trials or began paid memberships.More than 50% of items sold in Amazon's (NASDAQ:AMZN) stores this holiday season also came from small and medium-sized businesses. ",2018-12-26
