,news_title,news_details,date
10,Helmerich & Payne forms new tech entity in bid for better well performance,"

Helmerich &��Payne (NYSE:HP) says it has formed a new business entity, H&P Technologies, to be used to drive development of advanced technologies and directional drilling automation solutions, resulting in greater reliability and well performance.
HP says a key benefit of its performance-driven drilling services is the reduced  positional uncertainty in the directional drilling process and that the technology can be used on any rig, regardless of the drilling or service provider.
HP also said it acquired Scotland-based Angus Jamieson Consulting, a software-based, training and consultancy firm.
 ",2018-11-29
11,Helmerich & Payne +3% as SunTrust issues two-notch upgrade to Buy,"

Helmerich & Payne (HP +2.8%) is higher after SunTrust upgrades shares two notches to Buy from Sell with a $75 price target, lifted from $58, saying the recent correction in its stock price has created an attractive entry point.
While most oilfield services names anticipate a pause in activity over their upcoming few quarters, HP has the ""contracts in hand"" to continue delivering ""12 super-spec rig upgrades per quarter"" into Q2 of next year, says SunTrust's Ken Sill, who also points to the company's dividend providing downside protection for the stock price and for its ""strong balance sheet"" to provide an advantage when the new rig build cycle starts in FY 2020.
Also, Citigroup upgrades shares to Buy from Neutral with a $74 price target, up from $70, believing HP ""offers a great combination of offensive and defensive qualities,"" and Credit Suisse raises the stock to Neutral from Underperform, citing the economic benefit of superspec rigs and the surety of the dividend.

Earlier: Helmerich &��Payne +4% as quarterly revenue rises 31% Y/Y��(Nov. 16)
 ",2018-11-19
12,Helmerich & Payne +4% as quarterly revenue rises 31% Y/Y,"

Helmerich &��Payne (HP +4.5%) is sharply higher after reporting better than expected FQ4 earnings and a 31% Y/Y revenue increase to $696M.
Q4 operating revenue in HP's U.S. Land segment jumped 33% Y/Y to $587M, with average rig revenue per operating day up 11% to $24,449, and average rig margin per day climbing 28% to $10,340; 65% utilization in Q4 vs. 55% in the year-ago quarter helped segment operating income swing to a $64.5M profit from a year-ago loss of $4.2M.
HP says it expects to see additional demand for its super-spec FlexRigs heading into the new fiscal year as customers continue to push increased lateral lengths and their use of pad drilling; it upgraded 54 FlexRigs to super-spec capacity during FY 2018, including 16 during Q4.
""The super-spec rig market in the U.S. is effectively fully utilized, and we continue to see indications that additional demand is forthcoming, even as oil prices have recently moved lower,"" says President and CEO��John Lindsay.
 ",2018-11-16
13,"Helmerich & Payne EPS in-line, beats on revenue","

Helmerich & Payne (NYSE:HP): Q4 Non-GAAP EPS of $0.19 in-line; GAAP EPS of $0.02 misses by $0.14.
Revenue of $696.83M (+30.9% Y/Y) beats by $14.63M.
Shares -0.07% AH.
Press Release
 ",2018-11-15
14,Helmerich & Payne goes ex-dividend tomorrow,"

Helmerich & Payne (NYSE:HP) had declared��$0.71/share quarterly dividend, in line with previous.
Payable Dec. 3; for shareholders of record Nov. 12; ex-div Nov. 8.
See HP Dividend Scorecard, Yield Chart, & Dividend Growth.
 ",2018-11-7
15,Helmerich & Payne +3% after B. Riley FBR upgrades to Buy,"
 Helmerich &��Payne (NYSE:HP) jumps at the open after B. Riley FBR upgrades shares to Buy from Neutral and raises its price target to $83 from $68, citing valuation as well as HP's technology and super spec strategy. The firm foresees HP reaping the rewards from a proven growth strategy for a U.S. super-spec land  drilling market with bullish cyclical and secular dynamics, and potential earnings upside that could be generated by HP's AutoSlide automated directional drilling service, which is set for commercial launch in H1 2019. In a full catch-up for CY Q2 results and  guidance as well as recent land drilling market trends, B. Riley raises its outlook for EBITDA and EPS for FY 2018 and 2019 from $608M/$0.02 and $795M/$1.28 to $625M/$0.13 and $901M/$1.95.  ",2018-09-25
16,Transocean +4% after RBC upgrade cites improved offshore drilling activity,"
 Transocean (NYSE:RIG) +3.8% pre-market after RBC Capital upgrades shares to Outperform from Sector Perform with a $30 price target, doubled from the firm's previous $15 target, citing ""definitive improvement"" in offshore drilling activity and higher asset utilization leading to renewed offshore spending. Hallead also lowers his implied enterprise value to expected EBITDA for 2022 multiple to 8.2x from 8.9x while raising his mid-cycle 2022 EPS target to $2.94 from $1.35 to reflect RIG's ""meaningful and sustained pricing power.""RBC also upgrades Rowan (NYSE:RDC), Diamond Offshore (NYSE:DO) and Helmerich &��Payne (NYSE:HP) to Outperform from Sector Perform.RIG rose 4% yesterday after Wells Fargo upgraded the stock and Morgan Stanley named RIG one of its favorites among smaller caps in the offshore drilling sector. ",2018-09-20
17,Helmerich & Payne goes ex-dividend tomorrow,"
Helmerich & Payne (NYSE:HP) had declared $0.71/share quarterly dividend, 1.4% increase from prior dividend of $0.70.Payable Aug. 31; for shareholders of record Aug. 17; ex-div Aug. 16.See HP Dividend Scorecard, Yield Chart, & Dividend Growth. ",2018-08-15
18,Oceaneering +6% after Gabelli ups to Buy on improving offshore drilling view,"
 Oceaneering (OII +6%) shoots higher after Gabelli upgrades  shares to Buy from Hold, as the firm sees an improving environment for offshore drilling via channel checks which have been reaffirmed by other offshore service providers. Gabelli says OII owns a unique set of assets in the oilfield service industry, continues to generate free cash flow and maintains a strong balance sheet, with debt/EBITDA of 4.2x and no debt maturity until 2024. The firm also sees increasing floater rig contracting activities benefiting OII. Other offshore drilling related names also are higher: RIG +5%, HP +4.8%, ESV +4.4%, NE +4.4%, NOV +3.2%, DO +2.2%, PTEN +2%, NBR +1.6%.  ",2018-07-30
19,"Helmerich & Payne misses by $0.06, beats on revenue","
Helmerich & Payne (NYSE:HP): Q3 EPS of -$0.01 misses by $0.06.Revenue of $648.8M (+30.1% Y/Y) beats by $31.74M.Press Release ",2018-07-25
