date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-12-28,18.74,18.74,17.50,18.25,32327,-0.28,-1.51%,18.25,583970.54,287
2018-12-27,18.09,18.6653,17.70,18.53,32121,0.11,0.60%,18.53,580785.17,335
2018-12-26,16.51,18.63,16.51,18.42,34922,1.87,11.30%,18.42,610492.71,372
2018-12-24,16.51,17.35,16.51,16.55,2081,-0.14,-0.84%,16.55,34663.54,30
2018-12-21,17.46,17.9699,16.60,16.69,42638,-0.77,-4.41%,16.69,738979.26,269
2018-12-20,17.01,18.86,16.815,17.46,91435,0.75,4.49%,17.46,1597761.52,576
2018-12-19,17.20,17.39,16.04,16.71,35452,-0.53,-3.07%,16.71,590642.94,411
2018-12-18,17.10,17.83,16.58,17.24,32497,-0.26,-1.49%,17.24,558799.30,438
2018-12-17,17.36,18.17,16.02,17.50,50237,-0.38,-2.13%,17.50,879950.24,527
2018-12-14,19.11,20.753,17.04,17.88,40623,-1.10,-5.80%,17.88,745075.62,351
2018-12-13,20.30,20.90,18.50,18.98,46558,-1.46,-7.14%,18.98,895720.14,576
2018-12-12,20.00,21.155,19.25,20.44,25091,0.62,3.13%,20.44,508266.40,238
2018-12-11,19.52,20.56,19.51,19.82,14091,0.14,0.71%,19.82,282235.32,241
2018-12-10,20.04,21.20,19.50,19.68,15043,-0.34,-1.70%,19.68,299866.41,157
2018-12-07,20.887,22.49,19.72,20.02,29250,-0.98,-4.67%,20.02,611195.60,415
2018-12-06,22.00,23.049,21.00,21.00,23320,-1.58,-7.00%,21.00,505871.48,279
2018-12-04,22.75,22.995,21.3782,22.58,23316,-0.37,-1.61%,22.58,512171.50,262
2018-12-03,23.40,23.40,22.00,22.95,10595,0.04,0.17%,22.95,241180.14,115
2018-11-30,23.41,23.66,22.24,22.91,15840,-0.80,-3.37%,22.91,366301.27,239
2018-11-29,23.0586,24.00,22.00,23.71,30756,0.09,0.38%,23.71,716982.67,344
2018-11-28,23.47,24.686,23.18,23.62,25960,0.28,1.20%,23.62,618325.43,270
