date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-12-28,157.50,158.52,154.55,156.23,42291424,0.079,0.05%,154.966,6613907967.76,272943
2018-12-27,155.84,156.77,150.07,156.15,53117065,-1.012,-0.65%,154.8867,8137891145.33,333542
2018-12-26,148.30,157.23,146.72,157.17,58582544,10.256,7.04%,155.8984,8874090502.11,355013
2018-12-24,148.15,151.55,146.59,146.83,37169232,-3.868,-2.59%,145.6421,5529257931.76,249068
2018-12-21,156.86,158.16,149.63,150.73,95744384,-6.051,-3.89%,149.5105,14656337462.95,423910
2018-12-20,160.40,162.11,155.30,156.83,64772960,-4.027,-2.52%,155.5611,10259871239.54,435886
2018-12-19,166.00,167.45,159.09,160.89,49047297,-5.138,-3.12%,159.5883,8008010400.33,313384
2018-12-18,165.38,167.53,164.39,166.07,33841518,2.113,1.30%,164.7264,5613969048.76,211725
2018-12-17,165.45,168.35,162.73,163.94,44287922,-1.528,-0.93%,162.6136,7329429695.68,283932
2018-12-14,169.00,169.08,165.28,165.48,40703710,-5.426,-3.20%,164.1412,6782391140.70,275809
2018-12-13,170.49,172.57,169.55,170.95,31897827,1.835,1.09%,169.5669,5453542136.19,191693
2018-12-12,170.40,171.92,169.02,169.10,35627674,0.466,0.28%,167.7319,6067836268.60,203713
2018-12-11,171.66,171.79,167.00,168.63,47281665,-0.962,-0.57%,167.2657,7987572568.82,260251
2018-12-10,165.00,170.09,163.33,169.60,62025994,1.101,0.66%,168.2278,10352903117.08,414563
2018-12-07,173.49,174.49,168.30,168.49,42281631,-6.18,-3.57%,167.1268,7205664052.84,313157
2018-12-06,171.76,174.78,170.42,174.72,43098410,-1.954,-1.11%,173.3064,7431392723.34,321507
2018-12-04,180.95,182.3899,176.27,176.69,41344282,-8.064,-4.40%,175.2605,7389135537.67,290089
2018-12-03,184.46,184.94,181.21,184.82,40798002,6.19,3.49%,183.3247,7464291638.55,277059
2018-11-30,180.29,180.33,177.03,178.58,39531549,-0.962,-0.54%,177.1352,7048134859.59,222915
2018-11-29,182.66,182.80,177.70,179.55,41769992,-1.379,-0.77%,178.0973,7491302580.32,268593
2018-11-28,176.73,181.29,174.93,180.94,46062539,6.646,3.85%,179.4761,8207833063.49,315258
2018-11-27,171.51,174.77,170.88,174.24,41387377,-0.377,-0.22%,172.8303,7171977172.95,265562
2018-11-26,174.24,174.95,170.26,174.62,44998520,2.311,1.35%,173.2072,7786233456.01,286208
2018-11-23,174.94,176.595,172.10,172.29,23623972,-4.454,-2.54%,170.8961,4108654184.42,162146
2018-11-21,179.73,180.27,176.55,176.78,31124210,-0.198,-0.11%,175.3497,5538804279.63,232596
2018-11-20,178.37,181.47,175.51,176.98,67825247,-8.808,-4.78%,175.5481,12102445765.24,534168
2018-11-19,190.00,190.70,184.99,185.86,41920872,-7.608,-3.96%,184.3563,7835840297.41,320750
2018-11-16,190.50,194.9695,189.46,193.53,36928253,2.103,1.11%,191.9642,7133122391.88,269241
2018-11-15,188.39,191.97,186.90,191.41,46478801,4.573,2.47%,189.8614,8822497710.21,340102
2018-11-14,193.90,194.48,185.93,186.80,60800957,-5.386,-2.82%,185.2887,11470262755.00,453450
2018-11-13,191.63,197.18,191.4501,192.23,46882936,-1.924,-1.00%,190.6747,9085388282.98,356241
2018-11-12,199.00,199.85,193.79,194.17,51135518,-10.217,-5.04%,192.599,10000613856.86,419181
2018-11-09,205.55,206.01,202.25,204.47,34365750,-3.987,-1.93%,202.8157,7014594925.09,237775
2018-11-08,209.98,210.12,206.75,208.49,25362636,-0.724,-0.35%,206.8032,5277395490.14,187591
2018-11-07,205.97,210.06,204.13,209.95,33424434,6.109,3.03%,207.5273,6926441741.80,259453
2018-11-06,201.92,204.72,201.69,203.77,31882881,2.155,1.08%,201.4186,6480153956.09,253890
2018-11-05,204.30,204.39,198.17,201.59,66163669,-5.822,-2.84%,199.2638,13285931176.30,569652
