date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-12-28,114.22,114.80,112.50,113.03,5117533,-0.733,-0.66%,110.4167,580685962.87,45924
2018-12-27,109.99,113.78,109.4699,113.78,6045590,2.335,2.15%,111.1493,673640868.72,53046
2018-12-26,108.00,111.39,105.94,111.39,6645794,3.732,3.55%,108.8146,721512574.75,59287
2018-12-24,109.90,111.00,107.50,107.57,3821376,-3.292,-3.04%,105.0829,417037351.91,34209
2018-12-21,112.50,115.28,110.44,110.94,10386453,-2.032,-1.84%,108.375,1166109720.78,66527
2018-12-20,115.70,116.45,111.70,113.02,8454350,-3.331,-2.93%,110.4069,960735298.48,72252
2018-12-19,117.15,120.27,115.97,116.43,6979823,-0.215,-0.19%,113.738,824814059.70,62231
2018-12-18,116.90,118.23,116.02,116.65,6290186,0.537,0.47%,113.953,737551884.68,55805
2018-12-17,119.07,119.78,115.07,116.10,7374476,-3.712,-3.17%,113.4157,863237680.12,63385
2018-12-14,119.50,121.11,119.44,119.90,4554204,-0.811,-0.69%,117.1278,547216971.55,39551
2018-12-13,121.26,121.79,120.17,120.73,3993597,-0.42,-0.35%,117.9386,482428450.50,38606
2018-12-12,122.51,122.88,121.00,121.16,3560790,0.264,0.22%,118.3587,434139549.94,32599
2018-12-11,123.25,123.81,120.00,120.89,5043081,-0.234,-0.20%,118.0949,614349020.05,44401
2018-12-10,119.74,121.6822,118.52,121.13,6549506,1.749,1.50%,118.3294,787943303.50,52946
2018-12-07,123.90,124.05,118.87,119.34,7019616,-4.464,-3.69%,116.5808,844805977.16,69921
2018-12-06,119.72,123.91,119.301,123.91,6938049,2.257,1.90%,121.0451,847189212.82,64398
2018-12-04,124.49,124.92,121.33,121.60,6000697,-3.624,-2.96%,118.7885,735892398.24,47643
2018-12-03,125.67,126.59,124.36,125.31,5843112,1.016,0.84%,122.4127,731447842.01,47587
2018-11-30,121.66,124.69,121.48,124.27,7251590,2.725,2.30%,121.3968,898339057.60,47253
2018-11-29,122.44,123.1208,121.40,121.48,5200113,-1.485,-1.24%,118.6713,635509808.62,46354
2018-11-28,121.01,123.09,120.22,123.00,5104520,2.901,2.47%,120.1561,622489909.92,44920
2018-11-27,118.38,120.04,118.37,120.03,4903771,0.459,0.39%,117.2548,586820177.23,37145
2018-11-26,118.37,120.25,118.06,119.56,5011130,2.315,2.02%,116.7957,598150741.25,38027
2018-11-23,118.09,118.3382,116.91,117.19,2334730,-1.348,-1.16%,114.4805,274249680.49,20490
2018-11-21,117.61,119.51,117.39,118.57,5335842,1.338,1.17%,115.8286,633818381.49,44516
2018-11-20,118.49,119.49,116.6955,117.20,6233777,-3.038,-2.58%,114.4902,734535350.68,53961
2018-11-19,121.63,122.18,119.77,120.31,4131238,-1.231,-1.04%,117.5283,499267317.18,37965
2018-11-16,120.89,121.85,120.5405,121.57,4076315,0.127,0.11%,118.7592,494313710.72,33215
2018-11-15,119.66,121.44,119.51,121.44,5207973,1.211,1.03%,118.6322,628510550.58,46408
2018-11-14,121.11,121.93,119.77,120.20,4762275,-0.625,-0.53%,117.4209,574191778.04,41581
2018-11-13,121.19,122.2505,119.90,120.84,4084385,-0.059,-0.05%,118.0461,494607697.50,34687
2018-11-12,123.50,123.57,120.65,120.90,5379113,-2.579,-2.14%,118.1047,653701849.76,45048
2018-11-09,123.61,124.57,121.96,123.54,6961902,0.156,0.13%,120.6837,857556213.87,47114
2018-11-08,122.66,124.404,122.63,123.38,10396439,0.107,0.09%,120.5274,1283004159.97,47158
2018-11-07,123.79,125.06,122.33,124.84,12382666,1.659,1.40%,120.4199,1535528520.50,56739
2018-11-06,120.70,123.81,120.31,123.12,9597392,2.952,2.55%,118.7608,1178074253.53,85955
2018-11-05,116.10,120.77,116.00,120.06,9144598,4.235,3.80%,115.8092,1093135780.26,75829
2018-11-02,117.51,117.75,114.5384,115.67,10592681,-1.119,-0.99%,111.5746,1227796065.81,73254
2018-11-01,115.50,117.00,115.11,116.83,13626730,1.35,1.21%,112.6935,1584275679.87,96407
2018-10-31,116.49,116.50,114.09,115.43,21644978,0.029,0.03%,111.3431,2491184630.44,139455
2018-10-30,120.48,121.50,115.15,115.40,21458594,-4.09,-3.54%,111.3141,2504741809.91,144527
2018-10-29,119.34,123.95,118.30,119.64,20450448,-4.968,-4.13%,115.404,2473251106.80,152820
2018-10-26,125.21,125.78,123.71,124.79,8767029,-1.601,-1.31%,120.3717,1093914319.55,83277
2018-10-25,127.25,127.79,125.14,126.45,10304327,-0.733,-0.60%,121.9729,1302599353.71,85880
2018-10-24,131.17,131.69,127.00,127.21,5710320,-3.858,-3.05%,122.706,734899082.98,50350
2018-10-23,129.02,131.90,128.41,131.21,6463580,1.148,0.92%,126.5644,841473430.17,60258
2018-10-22,129.58,130.4379,128.40,130.02,5719518,0.887,0.71%,125.4165,740626883.19,50618
2018-10-19,130.65,131.89,127.96,129.10,7791636,-1.399,-1.11%,124.5291,1011256910.60,60090
2018-10-18,132.73,133.40,130.04,130.55,10011678,-3.376,-2.61%,125.9277,1315535890.83,83840
2018-10-17,135.89,137.15,133.4193,134.05,19463962,-10.678,-7.63%,129.3038,2626487975.50,157450
2018-10-16,142.93,145.45,141.58,145.12,8695489,3.849,2.83%,139.9819,1253376975.59,74712
2018-10-15,140.38,142.26,140.14,141.13,4965533,0.27,0.20%,136.1331,701842263.23,41809
2018-10-12,141.12,141.54,139.08,140.85,6563403,1.765,1.32%,135.8631,921391680.11,61252
2018-10-11,142.62,144.19,138.78,139.02,8710491,-3.54,-2.57%,134.0979,1228451634.19,73922
2018-10-10,147.50,147.69,142.50,142.69,5547697,-4.389,-3.09%,137.6379,801829318.13,51651
2018-10-09,148.08,148.36,146.93,147.24,3642496,-1.109,-0.77%,142.0268,536850198.15,31710
2018-10-08,148.50,149.07,147.18,148.39,3239347,-0.617,-0.43%,143.1361,480202101.50,29431
2018-10-05,150.90,151.79,147.87,149.03,4602252,-2.199,-1.51%,143.7534,685742253.48,44086
2018-10-04,151.69,152.80,150.36,151.31,4238143,-1.842,-1.25%,145.9527,641679634.86,40022
2018-10-03,154.00,154.36,152.80,153.22,3315298,-0.511,-0.34%,147.7951,508328989.76,26564
2018-10-02,152.99,153.84,152.50,153.75,3030125,0.723,0.49%,148.3063,464827417.06,32273
2018-10-01,151.71,153.42,151.71,153.00,3757419,1.727,1.18%,147.5829,574388049.31,29851
2018-09-28,151.16,151.625,150.79,151.21,3305798,-0.28,-0.19%,145.8563,499716941.43,26201
2018-09-27,152.01,152.3888,151.16,151.50,3477643,-0.106,-0.07%,146.136,527726521.06,27905
2018-09-26,152.40,153.35,151.34,151.61,7401862,2.604,1.81%,146.2421,1125792107.58,49388
2018-09-25,149.91,150.41,148.36,148.91,4397457,-1.08,-0.75%,143.6377,656188960.09,32551
2018-09-24,151.10,151.20,149.46,150.03,4264984,-1.273,-0.87%,144.718,639746393.01,35261
