date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-12-31,47.09,47.48,46.55,46.93,20490405,0.178,0.39%,46.3505,960935982.47,100914
2018-12-28,46.51,47.74,46.30,46.75,24729695,0.385,0.84%,46.1727,1159510903.51,150251
2018-12-27,45.62,46.38,44.67,46.36,29970725,0.168,0.37%,45.7876,1367155830.62,150932
2018-12-26,44.00,46.20,43.51,46.19,28677632,2.568,5.96%,45.6197,1291751585.07,163529
2018-12-24,44.63,45.17,43.54,43.59,19241563,-1.235,-2.79%,43.0518,851546434.46,121433
2018-12-21,45.75,46.65,44.80,44.84,52767741,-0.691,-1.54%,44.2863,2391861440.82,193795
2018-12-20,45.41,46.31,45.01,45.54,37750948,-0.03,-0.07%,44.9777,1722843788.97,218548
2018-12-19,47.49,47.73,45.38,45.57,39717559,-2.143,-4.55%,45.0073,1843069296.27,225919
2018-12-18,47.47,48.45,47.36,47.74,29014290,0.652,1.40%,47.1505,1390095495.17,158193
2018-12-17,47.86,48.41,46.66,47.08,26598676,-0.77,-1.63%,46.4987,1262283445.63,143455
2018-12-14,47.89,48.76,47.85,47.86,26372077,-0.425,-0.89%,47.269,1269700762.64,124969
2018-12-13,48.26,48.58,47.855,48.29,19525963,0.454,0.96%,47.6937,941986444.41,103113
2018-12-12,48.58,48.64,47.41,47.83,31305045,0.444,0.95%,47.2394,1503902845.47,131934
2018-12-11,47.90,48.59,47.13,47.38,23850962,0.168,0.36%,46.795,1140017524.89,135788
2018-12-10,46.28,47.46,46.01,47.21,23289000,0.958,2.10%,46.6271,1091032708.39,148006
2018-12-07,47.94,48.06,46.23,46.24,34016375,-2.104,-4.40%,45.669,1593787620.73,179319
2018-12-06,46.80,48.39,46.52,48.37,31661749,0.612,1.30%,47.7727,1510013874.70,189971
2018-12-04,49.52,49.60,47.675,47.75,35397722,-2.351,-4.75%,47.1604,1714846925.41,185597
2018-12-03,50.00,50.495,49.53,50.13,30866818,0.81,1.66%,49.511,1544248909.19,156603
2018-11-30,47.95,49.32,47.56,49.31,43312603,1.59,3.38%,48.7011,2117527736.17,142009
2018-11-29,48.49,48.56,47.63,47.70,23592512,-1.146,-2.37%,47.111,1131563028.92,136849
2018-11-28,47.935,48.88,47.65,48.86,28003222,0.78,1.64%,48.2567,1356011668.25,149029
2018-11-27,46.94,48.22,46.59,48.07,27621025,0.612,1.31%,47.4764,1316457218.11,148069
2018-11-26,47.27,47.46,46.70,47.45,20723037,0.899,1.96%,46.8641,977434015.75,104979
2018-11-23,46.69,47.07,46.52,46.54,8906879,-0.484,-1.04%,45.9653,416259213.55,56754
2018-11-21,47.85,47.88,47.02,47.03,19011435,-0.356,-0.76%,46.4493,901531905.51,110275
2018-11-20,47.40,48.12,47.09,47.39,29200847,-0.602,-1.27%,46.8048,1388020066.92,190781
2018-11-19,48.61,49.15,47.78,48.00,26859030,-0.82,-1.70%,47.4073,1297655142.57,162074
2018-11-16,47.77,49.05,47.69,48.83,31670572,0.711,1.50%,48.2271,1540336748.96,168747
2018-11-15,47.01,48.24,46.72,48.11,29580992,1.007,2.17%,47.516,1411364444.78,166823
2018-11-14,47.85,47.965,46.89,47.09,25632731,-0.296,-0.63%,46.5085,1213353543.52,156804
2018-11-13,46.99,48.25,46.99,47.39,29315924,0.731,1.59%,46.8048,1394264348.70,160803
2018-11-12,47.71,47.80,46.60,46.65,24412843,-1.442,-3.03%,46.074,1146893978.49,137842
2018-11-09,48.79,49.025,47.87,48.11,21761447,-0.869,-1.80%,47.516,1050733079.97,128290
2018-11-08,48.49,49.29,48.46,48.99,26581744,0.267,0.55%,48.3851,1302877706.74,129015
2018-11-07,47.63,48.75,47.59,48.72,29913193,1.452,3.11%,48.1184,1447272427.96,118703
2018-11-06,47.80,47.92,47.03,47.25,23839582,-0.415,-0.88%,46.6666,1130104680.74,125218
2018-11-05,47.34,48.25,46.92,47.97,23751221,0.844,1.83%,47.0814,1132545431.76,120391
2018-11-02,48.13,48.25,46.75,47.11,30759786,-1.089,-2.30%,46.2373,1455931880.28,187610
2018-11-01,46.95,48.47,46.86,48.22,28335329,1.315,2.86%,47.3268,1359412740.56,155696
2018-10-31,48.29,48.56,46.83,46.88,33369091,-0.864,-1.84%,46.0116,1583199325.50,183691
2018-10-30,45.53,47.88,45.46,47.76,43975214,2.316,5.20%,46.8753,2074032481.28,267372
2018-10-29,46.50,46.75,44.44,45.40,35732223,-0.285,-0.63%,44.559,1632386051.68,228210
2018-10-26,45.59,46.44,44.70,45.69,67280359,1.354,3.11%,44.8436,3075401424.46,362564
2018-10-25,43.54,44.94,43.28,44.31,48255281,1.855,4.46%,43.4892,2135985993.49,255064
2018-10-24,44.16,44.36,42.36,42.42,33631803,-2.041,-4.67%,41.6342,1456398188.95,196807
2018-10-23,44.18,45.09,43.91,44.50,38590347,-0.501,-1.13%,43.6757,1716468302.55,219458
2018-10-22,44.50,45.34,44.10,45.01,34508833,0.991,2.30%,44.1762,1543944720.42,178237
2018-10-19,45.02,45.18,43.86,44.00,28368505,-0.952,-2.16%,43.1849,1258698226.55,149623
2018-10-18,45.65,45.75,44.83,44.97,26638830,-0.903,-2.00%,44.137,1202713578.76,135706
2018-10-17,46.00,46.33,45.54,45.89,23124370,-0.049,-0.11%,45.0399,1061632241.91,109073
2018-10-16,44.90,46.01,44.825,45.94,21471984,1.384,3.17%,45.089,980358612.52,112931
2018-10-15,44.63,45.14,44.44,44.53,21632953,-0.344,-0.78%,43.7051,968412207.35,111059
