date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-12-28,102.09,102.41,99.52,100.39,38169312,-0.784,-0.78%,99.5944,3848408744.56,285144
2018-12-27,99.30,101.19,96.40,101.18,49498509,0.615,0.62%,100.3781,4889115932.47,338490
2018-12-26,95.14,100.69,93.96,100.56,51634793,6.379,6.83%,99.763,5050679996.60,371665
2018-12-24,97.68,97.97,93.98,94.13,43935192,-4.068,-4.17%,93.384,4203093884.91,330241
2018-12-21,101.63,103.00,97.46,98.23,111242070,-3.254,-3.23%,97.4515,11070645389.44,543596
2018-12-20,103.05,104.31,98.78,101.51,70334184,-2.163,-2.10%,100.7055,7137530224.20,496986
2018-12-19,103.65,106.88,101.35,103.69,68198186,-0.278,-0.27%,102.8682,7112356423.80,426356
2018-12-18,103.75,104.51,102.52,103.97,49319196,1.071,1.05%,103.146,5108151735.11,283347
2018-12-17,105.41,105.80,101.71,102.89,56957314,-3.115,-2.96%,102.0746,5891300432.05,333571
2018-12-14,108.25,109.26,105.50,106.03,47043136,-3.393,-3.12%,105.1897,5038790579.22,333364
2018-12-13,109.58,110.87,108.63,109.45,31333362,0.367,0.34%,108.5826,3426888786.57,215711
2018-12-12,110.89,111.27,109.04,109.08,36183020,0.486,0.45%,108.2155,3986313924.23,237366
2018-12-11,109.80,110.95,107.44,108.59,42381947,0.992,0.93%,107.7294,4628660806.79,301738
2018-12-10,104.80,107.98,103.89,107.59,40801525,2.748,2.64%,106.7373,4326830931.07,292427
2018-12-07,108.38,109.45,104.30,104.82,45044937,-4.335,-4.00%,103.9893,4783188617.11,323654
2018-12-06,105.82,109.24,105.00,109.19,49107431,0.665,0.62%,108.3246,5269410664.34,365107
2018-12-04,111.94,112.6373,108.2115,108.52,45196984,-3.542,-3.18%,107.6599,4973026047.79,295838
2018-12-03,113.00,113.42,110.73,112.09,34732772,1.19,1.08%,111.2017,3889565241.10,228792
2018-11-30,110.70,110.97,109.36,110.89,33665624,0.694,0.64%,110.0112,3716216398.78,188918
2018-11-29,110.33,111.115,109.03,110.19,28123195,-0.923,-0.84%,109.3167,3098689867.08,198240
2018-11-28,107.89,111.33,107.86,111.12,46788461,3.948,3.71%,110.2393,5141829993.02,329533
2018-11-27,106.27,107.33,105.36,107.14,29124486,0.665,0.63%,106.2909,3106198922.75,217311
2018-11-26,104.79,106.63,104.58,106.47,32336165,3.373,3.30%,105.6262,3418148387.39,231440
2018-11-23,102.17,103.8099,102.00,103.07,13823099,-0.04,-0.04%,102.2531,1425821366.35,95175
2018-11-21,103.60,104.43,102.24,103.11,28130621,1.389,1.38%,102.2928,2910894267.36,201119
2018-11-20,101.80,102.97,99.3528,101.71,64052457,-2.887,-2.78%,100.9039,6504936047.34,401824
2018-11-19,108.27,108.56,103.55,104.62,44773899,-3.641,-3.39%,103.7909,4699644937.75,287759
2018-11-16,107.08,108.88,106.80,108.29,33502121,1.002,0.94%,107.4318,3618225081.25,222816
2018-11-15,104.99,107.80,103.91,107.28,38505165,2.292,2.20%,106.4298,4090707560.71,267159
2018-11-14,108.10,108.26,104.47,104.97,39495141,-1.498,-1.42%,104.1381,4175121877.97,287569
2018-11-13,107.55,108.74,106.64,106.94,35374583,0.069,0.07%,105.6362,3804793398.00,244011
2018-11-12,109.42,109.96,106.10,106.87,33621807,-2.667,-2.46%,105.567,3605717636.50,249836
2018-11-09,110.85,111.45,108.76,109.57,32039223,-2.153,-1.95%,108.2341,3512569175.12,214770
2018-11-08,111.80,112.21,110.91,111.75,25644105,-0.207,-0.19%,110.3875,2858282352.40,187685
2018-11-07,109.44,112.24,109.40,111.96,37901704,4.188,3.94%,110.595,4224313345.97,261306
2018-11-06,107.38,108.84,106.28,107.72,24340248,0.207,0.20%,106.4067,2618240851.44,174887
2018-11-05,106.37,107.74,105.90,107.51,27922144,1.334,1.27%,106.1992,2981809108.42,198118
2018-11-02,106.48,107.32,104.975,106.16,37680194,0.237,0.23%,104.8657,3993658462.28,279522
2018-11-01,107.05,107.32,105.53,105.92,33384201,-0.879,-0.83%,104.6286,3544253529.38,248404
2018-10-31,105.435,108.14,105.39,106.81,51062383,3.042,2.97%,105.5077,5471901845.77,344704
2018-10-30,103.66,104.38,100.11,103.73,65350878,-0.119,-0.12%,102.4653,6700492440.64,468920
2018-10-29,108.105,108.70,101.63,103.85,55162001,-3.072,-2.91%,102.5838,5793565011.48,406533
2018-10-26,105.69,108.75,104.76,106.96,55523104,-1.324,-1.24%,105.6559,5922517858.40,418275
2018-10-25,106.55,109.27,106.15,108.30,61646819,5.907,5.84%,106.9796,6658950683.04,438344
2018-10-24,108.41,108.49,101.5901,102.32,63897759,-5.71,-5.35%,101.0725,6697834536.07,495734
2018-10-23,107.77,108.97,105.11,108.10,43770429,-1.511,-1.40%,106.782,4684282072.93,362186
2018-10-22,109.32,110.54,108.24,109.63,26545607,0.958,0.89%,108.2934,2908631651.16,198627
2018-10-19,108.93,110.86,108.21,108.66,32785475,0.158,0.15%,107.3352,3582757332.64,234727
2018-10-18,110.10,110.53,107.83,108.50,32506192,-2.183,-2.00%,107.1771,3537745516.27,246741
2018-10-17,111.68,111.81,109.5482,110.71,26548243,-0.286,-0.26%,109.3602,2933820210.46,201337
2018-10-16,109.54,111.41,108.95,111.00,31610164,3.359,3.16%,109.6467,3490450922.68,226296
2018-10-15,108.91,109.48,106.9468,107.60,32068103,-1.946,-1.80%,106.2881,3468962552.49,240515
2018-10-12,109.01,111.24,107.12,109.57,47742109,3.615,3.46%,108.2341,5188879427.74,386353
2018-10-11,105.35,108.93,104.20,105.91,63904282,-0.247,-0.24%,104.6187,6827373664.27,580833
2018-10-10,111.24,111.50,105.79,106.16,61376315,-6.026,-5.43%,104.8657,6638579029.53,449842
2018-10-09,111.14,113.08,110.80,112.26,26198594,1.393,1.27%,110.8913,2939596708.46,208550
2018-10-08,111.66,112.03,109.34,110.85,29640588,-1.264,-1.14%,109.4985,3283512045.25,232760
2018-10-05,112.63,113.17,110.64,112.13,29068859,-0.652,-0.59%,110.7629,3256022285.52,232118
2018-10-04,114.61,114.7588,111.63,112.79,34821717,-2.351,-2.07%,111.4148,3929210360.86,266275
2018-10-03,115.42,116.18,114.93,115.17,16648018,0.02,0.02%,113.7658,1923179721.93,130288
2018-10-02,115.30,115.84,114.44,115.15,20787239,-0.454,-0.40%,113.7461,2396182602.07,141360
2018-10-01,114.75,115.68,114.73,115.61,18883079,1.225,1.08%,114.2005,2179165797.50,134876
2018-09-28,114.19,114.57,113.68,114.37,21647811,-0.04,-0.03%,112.9756,2472788557.82,137443
2018-09-27,114.78,114.91,114.20,114.41,19091299,0.425,0.38%,113.0151,2187024146.45,115753
