date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-12-28,48.61,48.71,47.85,48.14,607769,-0.39,-0.80%,48.14,29319307.14,5179
2018-12-27,47.60,48.53,47.06,48.53,806095,0.91,1.91%,48.53,38455285.13,6830
2018-12-26,46.78,47.67,45.85,47.62,1151719,1.74,3.79%,47.62,54089387.55,9097
2018-12-24,46.07,46.57,45.635,45.88,807628,-0.85,-1.82%,45.88,37237038.49,7629
2018-12-21,47.38,47.91,46.69,46.73,1240622,-1.54,-3.19%,46.73,58523124.68,10315
2018-12-20,48.60,49.20,47.72,48.27,1314603,-0.49,-1.00%,48.27,63402931.97,9788
2018-12-19,49.39,49.98,48.34,48.76,1428486,-0.63,-1.28%,48.76,70363360.59,11686
2018-12-18,50.02,50.21,49.24,49.39,1163946,-1.11,-2.20%,49.39,57862373.37,8751
2018-12-17,51.19,51.28,50.26,50.50,711889,-0.79,-1.54%,50.50,36121412.31,6127
2018-12-14,51.61,51.91,51.15,51.29,750601,-0.91,-1.74%,51.29,38643174.02,6000
2018-12-13,52.59,52.80,52.03,52.20,620168,-0.42,-0.80%,52.20,32438266.78,5639
2018-12-12,52.56,53.31,52.43,52.62,926778,1.47,2.87%,52.62,49024114.14,8064
2018-12-11,51.63,51.80,50.90,51.15,1814742,0.04,0.08%,51.15,93218353.18,7254
2018-12-10,50.65,51.275,50.16,51.11,1023994,-0.02,-0.04%,51.11,52011764.11,9004
2018-12-07,52.00,52.32,51.01,51.13,635018,-0.73,-1.41%,51.13,32584557.98,5545
2018-12-06,50.66,51.92,50.63,51.86,783417,0.35,0.68%,51.86,40161023.28,7566
2018-12-04,53.09,53.21,51.4401,51.51,1113219,-2.66,-4.91%,51.51,58038963.90,9991
2018-12-03,54.08,54.34,53.87,54.17,1082747,1.35,2.56%,54.17,58629123.76,8027
2018-11-30,52.87,53.29,52.58,52.82,809493,0.94,1.81%,52.82,42773695.12,6618
2018-11-29,52.11,52.25,51.61,51.88,1099979,-1.03,-1.95%,51.88,57090862.56,9230
2018-11-28,51.82,52.92,51.45,52.91,1042259,1.54,3.00%,52.91,54553457.82,8605
2018-11-27,51.13,51.62,50.88,51.37,956970,0.35,0.69%,51.37,49196207.55,8887
2018-11-26,50.54,51.13,50.43,51.02,1280376,1.33,2.68%,51.02,65023899.00,10375
2018-11-23,49.86,50.30,49.66,49.69,362603,-0.83,-1.64%,49.69,18084503.36,3584
2018-11-21,50.54,50.92,50.3625,50.52,783064,0.99,2.00%,50.52,39695286.23,7713
2018-11-20,49.71,50.11,49.32,49.53,1413018,-1.46,-2.86%,49.53,70206411.17,11938
2018-11-19,51.88,52.07,50.92,50.99,1579972,0.18,0.35%,50.99,80935792.61,12842
2018-11-16,50.09,50.98,50.04,50.81,834852,-0.84,-1.63%,50.81,42333755.36,7338
2018-11-15,50.70,51.7804,50.60,51.65,712820,0.51,1.00%,51.65,36635855.07,6125
2018-11-14,51.59,51.66,50.72,51.14,872166,-0.10,-0.20%,51.14,44641003.85,7601
2018-11-13,51.46,51.92,51.09,51.24,949845,-0.29,-0.56%,51.24,48845986.19,8851
2018-11-12,52.69,52.72,51.45,51.53,1650011,-2.54,-4.70%,51.53,85490919.39,16014
2018-11-09,54.18,54.34,53.76,54.07,957762,-0.34,-0.62%,54.07,51753254.86,7692
2018-11-08,54.94,55.01,54.07,54.41,1076594,-0.85,-1.54%,54.41,58567990.44,10949
2018-11-07,54.49,55.47,54.26,55.26,1616235,1.76,3.29%,55.26,88924840.79,11078
2018-11-06,53.62,53.8699,53.23,53.50,711064,0.18,0.34%,53.50,38014033.94,7420
