date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-12-28,323.10,336.24,318.41,333.87,9938992,17.74,5.61%,333.87,3262892406.48,104621
2018-12-27,319.84,322.1717,301.50,316.13,8575133,-9.96,-3.05%,316.13,2663044220.42,98645
2018-12-26,300.00,326.97,294.09,326.09,8163138,30.70,10.39%,326.09,2516658931.68,95284
2018-12-24,313.50,314.50,295.195,295.39,5559913,-24.38,-7.62%,295.39,1674763832.55,69377
2018-12-21,317.40,323.47,312.44,319.77,8016801,4.39,1.39%,319.77,2552288090.69,91672
2018-12-20,327.0535,330.29,311.869,315.38,9071858,-17.59,-5.28%,315.38,2902472882.81,100230
2018-12-19,337.60,347.01,329.74,332.97,8274181,-4.06,-1.20%,332.97,2799488964.54,81948
2018-12-18,350.54,351.55,333.69,337.03,7099999,-11.39,-3.27%,337.03,2435596578.96,82159
2018-12-17,362.00,365.70,343.88,348.42,7674008,-17.29,-4.73%,348.42,2728289999.01,83587
2018-12-14,375.00,377.87,364.33,365.71,6337555,-11.08,-2.94%,365.71,2355642252.55,69792
2018-12-13,370.15,377.44,366.75,376.79,7365854,10.19,2.78%,376.79,2743840933.98,78728
2018-12-12,369.42,371.91,365.16,366.60,5027048,-0.16,-0.04%,366.60,1850982384.02,51191
2018-12-11,369.91,372.1689,360.23,366.76,6308769,1.61,0.44%,366.76,2316090025.18,68590
2018-12-10,360.00,365.98,353.12,365.15,6613455,7.185,2.01%,365.15,2382145215.52,73465
2018-12-07,369.00,379.49,357.65,357.965,11511177,-5.095,-1.40%,357.965,4259052126.06,128273
2018-12-06,356.01,367.38,350.76,363.06,7842508,3.36,0.93%,363.06,2815276567.14,89366
2018-12-04,356.05,368.68,352.00,359.70,8461945,1.21,0.34%,359.70,3059246391.98,91999
2018-12-03,360.00,366.00,352.00,358.49,8306511,8.01,2.29%,358.49,2994819649.34,91633
2018-11-30,341.83,351.60,338.2648,350.48,5628895,9.31,2.73%,350.48,1958298081.19,61720
2018-11-29,347.00,347.50,339.55,341.17,3080724,-6.70,-1.93%,341.17,1056025298.58,37508
2018-11-28,345.99,348.28,342.21,347.87,4127578,3.95,1.15%,347.87,1426668743.97,44521
2018-11-27,340.05,346.96,335.50,343.92,6358300,-2.08,-0.60%,343.92,2173897975.84,62724
2018-11-26,325.00,346.22,325.00,346.00,7992141,20.17,6.19%,346.00,2706326654.02,88916
2018-11-23,334.345,337.50,325.55,325.83,4202642,-12.36,-3.65%,325.83,1386033504.37,49602
2018-11-21,352.00,353.10,337.3995,338.19,4686808,-9.30,-2.68%,338.19,1602527897.03,53693
2018-11-20,341.75,349.80,333.55,347.49,8004709,-5.98,-1.69%,347.49,2752383240.50,91400
2018-11-19,356.34,366.75,352.88,353.47,9708871,-0.84,-0.24%,353.47,3488533342.46,102706
2018-11-16,345.19,355.70,345.1201,354.31,7206191,5.87,1.68%,354.31,2540790767.82,76534
2018-11-15,342.33,348.58,339.04,348.44,4625719,4.44,1.29%,348.44,1592762087.82,52151
2018-11-14,342.70,347.11,337.15,344.00,5040287,5.27,1.56%,344.00,1723682237.34,55994
2018-11-13,333.16,344.70,332.20,338.73,5448597,7.45,2.25%,338.73,1852207925.78,62006
2018-11-12,348.37,349.78,330.34,331.28,6941523,-19.23,-5.49%,331.28,2353328989.68,74515
2018-11-09,349.00,354.00,345.23,350.51,5098846,-0.89,-0.25%,350.51,1783214934.79,56047
2018-11-08,348.50,357.5755,348.44,351.40,7090674,3.24,0.93%,351.40,2501360843.52,71295
2018-11-07,343.34,351.18,340.80,348.16,7374522,7.10,2.08%,348.16,2567530334.43,76777
2018-11-06,339.07,348.80,336.09,341.06,6762889,-0.34,-0.10%,341.06,2328614962.67,70297
2018-11-05,340.50,343.955,330.14,341.40,7831048,-5.01,-1.45%,341.40,2641997344.39,81442
2018-11-02,343.74,349.20,340.91,346.41,7807971,2.13,0.62%,346.41,2691623447.25,77184
2018-11-01,338.26,347.84,334.725,344.28,8000132,6.96,2.06%,344.28,2749943997.33,86525
2018-10-31,332.54,342.00,329.10,337.32,7624348,7.42,2.25%,337.32,2570209385.49,86753
2018-10-30,328.39,337.8999,322.26,329.90,9126704,-4.95,-1.48%,329.90,3018614196.94,100164
2018-10-29,337.47,347.16,326.50,334.85,14486027,3.95,1.19%,334.85,4906708325.72,162820
2018-10-26,308.25,339.90,306.65,330.90,27425520,16.04,5.09%,330.90,8911312972.41,319694
2018-10-25,317.22,321.00,301.01,314.86,20840724,26.36,9.14%,314.86,6480423169.48,247722
2018-10-24,301.05,304.44,285.73,288.50,20058258,-5.64,-1.92%,288.50,5887480973.22,248809
2018-10-23,263.87,297.93,262.10,294.14,19027753,33.19,12.72%,294.14,5385657583.93,228208
2018-10-22,260.68,261.86,252.59,260.95,5600260,0.95,0.37%,260.95,1443498936.48,66101
2018-10-19,267.39,269.66,253.50,260.00,9375549,-3.91,-1.48%,260.00,2435153241.10,108935
